,Name,HR,HR,R,R,RBI,RBI,SB,SB,OBP,OBP,HR_sharpe,HR,HR,R_sharpe,R,R,RBI_sharpe,RBI,RBI,SB_sharpe,SB,SB,OBP_sharpe,OBP,OBP,Total_sharpe,POS,Salary
,,mean,std,mean,std,mean,std,mean,std,mean,std,,low,high,,low,high,,low,high,,low,high,,low,high,,,
12,Manny Machado,26.5,1.0690449676496967,78.875,2.474873734152916,88.0,2.9277002188455996,9.125,0.8345229603962802,0.324625,0.002559994419636778,21.046822800603437,23.29286509705091,29.70713490294909,24.014693159154586,71.45037879754125,86.29962120245875,23.795696778728402,79.2168993434632,96.7831006565368,5.242516033258683,6.621431118811159,11.62856888118884,6.4941547811494145,0.31694501674108966,0.33230498325891034,80.59388355289452,3B,21.26210859749159
53,Willi Castro,12.625,0.7440238091428449,68.0,4.535573676110727,53.25,2.815771906346718,15.0,1.0690449676496976,0.33125000000000004,0.003918819064098645,11.592370961806262,10.392928572571465,14.857071427428535,10.706106173314852,54.39327897166782,81.60672102833217,12.400388890863248,44.802684280959845,61.697315719040155,9.587997053608225,11.792865097050907,18.207134902949093,5.932909792391169,0.3194935428077041,0.343006457192296,50.21977287198376,2B/3B/OF,7.459490269995888
69,Colt Keith,14.625,0.5175491695067657,62.375,3.5831949031954338,59.375,4.8678977568791,3.125,0.8345229603962802,0.328125,0.003979860011895602,20.529450390435038,13.072352491479704,16.177647508520298,11.98185822798703,51.6254152904137,73.1245847095863,8.431086418910173,44.7713067293627,73.97869327063731,-1.9472202409246537,0.6214311188111594,5.628568881188841,5.056710522442344,0.3161854199643132,0.3400645800356868,44.051885318849926,1B/2B/3B/DH,8.208354049303985
84,Jonathan India,11.625,0.744023809142845,61.25,4.166190448976481,49.75,3.1959796173138706,5.625,1.5979898086569355,0.34175,0.0037701837772561417,10.248327951741766,9.392928572571465,13.857071427428535,10.0351469394791,48.751428653070555,73.74857134692944,9.830058519919936,40.162061148058385,59.337938851941615,0.5475629414279009,0.8310305740291932,10.418969425970808,8.951818265093307,0.33043944866823155,0.35306055133176845,39.61291461766201,2B/3B/OF/DH,3.891935116858853
88,Alex Bregman,21.75,1.7525491637693285,79.375,4.533604683755678,79.375,4.596194077712558,2.5,0.5345224838248488,0.336625,0.004340424600691234,10.128103888294836,16.492352508692015,27.007647491307985,13.219796941731605,65.77418594873296,92.97581405126704,13.280915826131954,65.58641776686233,93.16358223313767,-4.209364560120684,0.8964325485254536,4.103567451474547,6.594976905126135,0.3236037261979263,0.3496462738020737,39.01442900116385,3B,21.52797061646272
92,Carlos Correa,16.5,0.9258200997725514,62.875,2.9001231500945406,63.375,3.0676887530703434,0.25,0.46291004988627577,0.33137500000000003,0.004867897756879107,13.501543121683042,13.722539700682345,19.277460299317653,14.976375514232048,54.174630549716376,71.57536945028362,14.682606448123535,54.17193374078897,72.57806625921103,-9.721111047611789,-1.1387301496588274,1.6387301496588274,4.801867493409753,0.3167713067293627,0.34597869327063735,38.24128152983659,3B/SS,7.409947708034354
112,Josh Smith,10.625,1.3024701806293193,60.0,4.309458036856673,47.875,2.6423744732991303,9.5,0.9258200997725514,0.331,0.007540367554512374,5.086488810668183,6.717589458112042,14.532410541887959,9.411469606260912,47.07162588942998,72.92837411057002,11.179969745084046,39.94787658010261,55.80212341989739,5.130586386239556,6.722539700682345,12.277460299317655,3.050249186624352,0.3083788973364629,0.35362110266353713,33.858763734877044,1B/3B/SS/OF,5.0765379865366
132,Alec Bohm,14.75,1.164964745021435,65.5,3.891382420536068,71.25,5.063877678504597,3.125,0.3535533905932738,0.326,0.005952190473142791,9.227747059248735,11.255105764935696,18.244894235064304,11.835982269506296,53.825852738391795,77.1741472616082,10.4498311425037,56.05836696448621,86.44163303551379,-4.596194077712559,2.0643398282201786,4.185660171779821,3.0240967726450987,0.30814342858057164,0.3438565714194284,29.941463166191266,3B,8.5904151346307
134,Jared Triolo,8.5,0.7559289460184545,53.625,4.926241685388278,43.5,2.9277002188456005,12.75,1.58113883008419,0.324125,0.005083235752381129,5.952940449895328,6.232213161944637,10.767786838055363,6.939028881738498,38.84627494383517,68.40372505616483,8.596053142554995,34.7168993434632,52.2831006565368,5.059644256269406,8.00658350974743,17.49341649025257,3.172192041741641,0.30887529274285663,0.33937470725714336,29.719858772199867,1B/3B/SS,1.0
