,Name,HR,HR,R,R,RBI,RBI,SB,SB,OBP,OBP,HR_sharpe,HR,HR,R_sharpe,R,R,RBI_sharpe,RBI,RBI,SB_sharpe,SB,SB,OBP_sharpe,OBP,OBP,Total_sharpe,POS,Salary
,,mean,std,mean,std,mean,std,mean,std,mean,std,,low,high,,low,high,,low,high,,low,high,,low,high,,,
16,Adley Rutschman,17.5,0.5345224838248491,66.75,2.5495097567963927,65.5,1.927248223318864,1.0,0.0,0.3385,0.0039641248358604575,25.256187360724088,15.896432548525453,19.103567451474547,18.555854986324533,59.101470729610824,74.39852927038918,24.473581605094015,59.718255330043405,71.2817446699566,1.0,1.0,1.0,7.694005931420084,0.3266076254924187,0.3503923745075814,76.97962988356271,C/DH,12.30970230668711
24,William Contreras,19.75,0.7071067811865471,77.625,5.208166663999915,77.875,2.90012315009454,6.0,0.5345224838248488,0.35462499999999997,0.003622844186547355,22.27386360737626,17.628679656440358,21.871320343559642,11.17155749555989,62.00050000800026,93.24949999199974,20.530737346352236,69.17463054971638,86.57536945028362,2.338535866733713,4.396432548525453,7.603567451474547,12.869722681734915,0.3437564674403579,0.365493532559642,69.18441699775703,C/DH,21.231185902661142
77,Yainer Diaz,18.625,1.1877349391654208,58.875,1.9594095320493143,68.0,3.116774889895919,1.5,0.5345224838248488,0.304875,0.0032705394924123178,12.313353356664297,15.061795182503737,22.188204817496263,20.125110492899722,52.99677140385206,64.75322859614795,15.935275540007071,58.64967533031224,77.35032466968775,-6.080193253507654,-0.10356745147454638,3.1035674514745466,-0.9554998517064289,0.29506338152276307,0.31468661847723695,41.338046284357006,C/DH,6.256829689151229
80,Will Smith,19.625,1.9955307206712851,67.0,3.4226138716316954,66.125,3.4820970692960316,2.5,0.5345224838248488,0.35362499999999997,0.004718883039751797,7.829997222364905,13.638407837986144,25.611592162013856,13.895325361566554,56.73215838510491,77.26784161489509,13.724966798909088,55.678708792111905,76.5712912078881,-4.209364560120684,0.8964325485254536,4.103567451474547,9.66860157703755,0.33946835088074456,0.36778164911925537,40.90952639975741,C,11.55591784451132
98,Gabriel Moreno,10.25,0.7071067811865476,50.0,3.338091841585122,50.25,2.8660575211055543,3.875,0.3535533905932738,0.3485,0.003927922024247837,8.838834764831843,8.128679656440358,12.371320343559642,9.154431568552202,39.98572447524464,60.01427552475536,11.136087266788392,41.651827436683334,58.848172563316666,-2.4748737341529163,2.8143398282201786,4.935660171779821,10.310795313650704,0.33671623392725647,0.3602837660727435,36.96527517967023,C,3.2322086314762943
103,Bo Naylor,16.125,0.8345229603962802,51.5,3.3806170189140663,51.5,2.618614682831907,4.25,1.035098339013531,0.30325,0.006041522986797284,14.529258720745494,13.62143111881116,18.62856888118884,9.48298288566011,41.3581489432578,61.6418510567422,12.665730045780734,43.64415595150428,59.35584404849572,-0.48304589153964805,1.1447049829594067,7.355295017040593,-0.7862255941722459,0.2851254310396082,0.32137456896039185,35.408700166474446,C,1.0
141,Austin Wells,18.0,1.0690449676496974,50.25,2.5495097567963922,58.75,7.741354624907157,4.5,0.7559289460184544,0.29874999999999996,0.00792374370393909,13.095800853708797,14.792865097050907,21.207134902949093,12.084022526764464,42.601470729610824,57.898529270389176,5.220877821128288,35.52593612527853,81.97406387472148,-0.33071891388307384,2.232213161944637,6.767786838055363,-1.167377485392622,0.2749787688881827,0.32252123111181724,28.90260480232585,C,1.0
147,Carson Kelly,11.625,0.7440238091428452,39.875,1.726888200533798,42.625,2.924648941081891,1.625,0.5175491695067657,0.313375,0.0014078859531733772,10.248327951741764,9.392928572571464,13.857071427428536,11.83245871216055,34.69433539839861,45.05566460160139,8.305840172968129,33.85105317675433,51.39894682324567,-6.0380736442456,0.07235249147970313,3.177647508520297,3.817780827974567,0.3091513421404799,0.31759865785952013,28.16633402059941,C,1.0
164,J.T. Realmuto,14.0,1.1952286093343936,55.25,5.0638776785046,55.0,4.407785320154717,7.375,1.1877349391654206,0.312875,0.005667892024377336,8.366600265340756,10.41431417199682,17.58568582800318,7.071326680210778,40.0583669644862,70.4416330355138,8.31861445225278,41.77664403953585,68.22335596046415,2.2100890640166693,3.8117951825037384,10.938204817496262,0.8601081282129006,0.295871323926868,0.32987867607313204,26.826738590033884,C,1.0
165,Logan O'Hoppe,19.0,1.3093073414159546,47.625,2.559994419636775,54.625,3.335416016031583,2.75,0.46291004988627577,0.29412499999999997,0.006289163014946557,11.456439237389597,15.072077975752137,22.927922024247863,11.009138581377137,39.945016741089674,55.304983258910326,10.880701685256591,44.61875195190525,64.63124804809475,-4.320493798938573,1.3612698503411726,4.138730149658827,-2.206175919915781,0.2752575109551603,0.3129924890448396,26.81960978516897,C,1.0
174,Salvador Perez,26.875,1.6420805617960927,62.375,5.73055719056059,87.5,3.6253078686998665,0.25,0.46291004988627577,0.30125,0.0012817398889233102,13.93049801099864,21.948758314611723,31.801241685388277,7.491999801354998,45.183328428318234,79.56667157168177,19.078839417704877,76.6240763939004,98.3759236060996,-9.721111047611789,-1.1387301496588274,1.6387301496588274,-5.266279108837073,0.2974047803332301,0.30509521966676995,25.513947073609657,C/1B/DH,12.96637145388186
183,Ryan Jeffers,15.25,1.3887301496588274,55.625,5.097268175909802,55.875,4.611708700997618,2.5,0.5345224838248487,0.326625,0.004340424600691259,8.100925873009825,11.083809551023517,19.416190448976483,7.098573605434267,40.333195472270596,70.91680452772941,8.140511272653788,42.03987389700714,69.71012610299286,-4.209364560120685,0.8964325485254538,4.103567451474547,4.291054842199948,0.3136037261979262,0.3396462738020738,23.421701033177143,C/DH,5.201167773156774
192,Danny Jansen,12.75,0.8864052604279183,37.375,1.922609833384967,38.625,1.8468119248354147,0.5,0.5345224838248488,0.308625,0.005655275665884266,9.871331309310909,10.090784218716244,15.409215781283756,9.327598882483493,31.607170499845097,43.1428295001549,10.98740288265955,33.08456422549376,44.16543577450624,-7.951021946894625,-1.1035674514745464,2.1035674514745466,0.11051627487769174,0.29165917300234717,0.3255908269976528,22.345827402437024,C,1.0
199,Tyler Stephenson,14.875,0.9910312089651149,48.625,3.420004177106889,52.75,4.713203338949606,0.75,0.4629100498862757,0.31825000000000003,0.00416619044897649,10.973418295631907,11.901906373104655,17.848093626895345,8.533127979399335,38.36498746867933,58.88501253132067,7.3021815931957725,38.61038998315118,66.88961001684882,-8.640987597877148,-0.6387301496588271,2.1387301496588274,2.460281191062247,0.3057514286530706,0.3307485713469295,20.628021461412114,C/DH,1.0
204,Kyle Teel,10.125,1.1259916264596033,46.75,8.892211680534185,40.625,6.300510183423926,5.25,0.8864052604279183,0.33287500000000003,0.0035632048174962768,5.439649688389352,6.74702512062119,13.50297487937881,3.0710395022549544,20.073364958397445,73.42663504160255,3.5380732698939257,21.72346944972822,59.52653055027178,0.5640760748177662,2.590784218716245,7.909215781283756,6.981074979989143,0.3221853855475112,0.34356461445248887,19.59391351534514,C,1.0
