,Name,HR,HR,R,R,RBI,RBI,SB,SB,OBP,OBP,HR_sharpe,HR,HR,R_sharpe,R,R,RBI_sharpe,RBI,RBI,SB_sharpe,SB,SB,OBP_sharpe,OBP,OBP,Total_sharpe,POS,Salary
,,mean,std,mean,std,mean,std,mean,std,mean,std,,low,high,,low,high,,low,high,,low,high,,low,high,,,
2,Juan Soto,37.125,1.6420805617960934,109.0,2.7255405754769866,100.125,5.514591035218684,20.5,2.329929490042869,0.40925,0.004062019202317984,20.172579086965236,32.19875831461172,42.05124168538828,32.8589249923972,100.82337827356903,117.17662172643097,14.831864438234481,83.58122689434396,116.66877310565604,6.759861217821752,13.510211529871393,27.48978847012861,24.926026923314858,0.39706394239304604,0.42143605760695396,99.54925665873353,OF,49.74441143213441
5,Ian Happ,21.875,0.8345229603962799,80.625,1.8468119248354147,77.375,3.77728171346236,8.0,0.5345224838248486,0.33875,0.0019086270308410502,21.4194226501712,19.37143111881116,24.37856888118884,33.12916302442977,75.08456422549375,86.16543577450625,15.630728959463141,66.04315485961291,88.70684514038709,6.080193253507657,6.396432548525454,9.603567451474547,16.111057583864245,0.33302411890747685,0.34447588109252314,92.37056547143601,OF,20.44182913538905
7,Corbin Carroll,26.0,1.0690449676496967,102.75,6.562882641905804,82.25,6.2962573917254305,33.75,1.035098339013531,0.345875,0.0025877458475338233,20.579115627256694,22.79286509705091,29.20713490294909,12.693863029240665,83.06135207428258,122.43864792571742,10.151533314166324,63.36122782482371,101.13877217517629,28.016661709299587,30.644704982959407,36.855295017040596,14.636290513651359,0.3381117624573985,0.3536382375426015,86.07746419361463,OF,36.36031286085792
9,Vladimir Guerrero Jr.,30.5,2.0701966780270626,94.625,2.5035688811888384,99.125,4.2236578595200776,5.375,0.5175491695067657,0.3795,0.0034226138716317053,12.80071612580067,24.289409965918814,36.710590034081186,30.030463271149156,87.11429335643348,102.13570664356652,19.128364406828826,86.45402642143976,111.79597357856024,1.20761472884912,3.822352491479703,6.927647508520296,20.89046637502025,0.36923215838510487,0.38976784161489514,84.05762490764803,1B/DH,37.43940730064207
12,Manny Machado,26.5,1.0690449676496967,78.875,2.474873734152916,88.0,2.9277002188455996,9.125,0.8345229603962802,0.324625,0.002559994419636778,21.046822800603437,23.29286509705091,29.70713490294909,24.014693159154586,71.45037879754125,86.29962120245875,23.795696778728402,79.2168993434632,96.7831006565368,5.242516033258683,6.621431118811159,11.62856888118884,6.4941547811494145,0.31694501674108966,0.33230498325891034,80.59388355289452,3B,21.26210859749159
13,Francisco Lindor,25.625,0.744023809142845,92.0,5.879747322073339,81.125,5.488624600025039,22.875,0.9910312089651149,0.3345,0.002828427124746199,29.06493009264468,23.392928572571464,27.857071427428536,12.340382904030577,74.36075803377999,109.63924196622001,11.440328177368919,64.65912619992488,97.59087380007512,18.289030492719846,19.901906373104655,25.848093626895345,9.369164850721733,0.3260147186257614,0.3429852813742386,80.50383651748575,SS,29.780309478544268
16,Adley Rutschman,17.5,0.5345224838248491,66.75,2.5495097567963927,65.5,1.927248223318864,1.0,0.0,0.3385,0.0039641248358604575,25.256187360724088,15.896432548525453,19.103567451474547,18.555854986324533,59.101470729610824,74.39852927038918,24.473581605094015,59.718255330043405,71.2817446699566,1.0,1.0,1.0,7.694005931420084,0.3266076254924187,0.3503923745075814,76.97962988356271,C/DH,12.30970230668711
17,Trea Turner,18.0,0.7559289460184537,87.625,3.5831949031954338,72.25,3.535533905932739,26.5,1.511857892036909,0.33275,0.0034537764010675958,18.520259177452154,15.732213161944639,20.26778683805536,19.028642084897093,76.8754152904137,98.3745847095863,15.24993624758987,61.64339828220179,82.85660171779821,14.38627275391371,21.964426323889274,31.035573676110726,7.1660689998198865,0.3223886707967972,0.34311132920320275,74.35117926367272,SS,23.09014181040955
18,Bobby Witt Jr.,28.75,1.832250762625808,102.375,3.814914340921881,95.0,4.6598589800857395,33.75,1.908627030841054,0.3485,0.00578174466995659,13.507976367017934,23.253247712122576,34.24675228787743,21.739238662248024,90.93025697723436,113.81974302276564,16.452572276179918,81.02042305974278,108.97957694025722,15.194168127871942,28.02411890747684,39.47588109252316,7.0048060424474015,0.3311547659901302,0.36584523400986974,73.89876147576523,SS,39.35441529610849
