,Name,W,W,SO,SO,WHIP,WHIP,ERA,ERA,ER,ER,BB,BB,H,H,IP,IP,W_sharpe,SO_sharpe,WHIP_sharpe,ERA_sharpe,Total_sharpe
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,,,,,
1,Tarik Skubal,14.25,0.7071067811865477,238.0,9.289010404005062,0.97,0.025071326821120364,2.65125,0.1121781109282402,57.375,3.1139088893910447,39.25,3.693623849670827,149.75,7.7781745930520225,194.65,7.1079432427993625,10.253048327204937,15.063499115004733,-12.364722545870713,-13.337606486858238,51.01887647493862
2,Max Fried,13.625,0.517549169506766,171.625,8.382592507265109,1.17125,0.024748737341529173,3.32625,0.043732139211339595,67.25,2.764571782909091,54.25,3.01188123461543,159.5,10.63686312513502,182.425,6.934334863561178,12.800716125800662,8.774135201759476,-4.39416356880212,-18.777665918228593,44.74668081459085
3,MacKenzie Gore,10.5,0.5345224838248487,180.5,2.7255405754769817,1.24,0.01690308509457035,3.8575,0.07741354624907158,68.5,1.1952286093343925,59.5,2.390457218668788,138.125,2.416461403433895,159.36249999999998,3.0780037593962084,6.547900426854398,30.24170718338151,-2.366431913239846,-3.7453070431258917,42.901346566601646
4,Paul Skenes,13.125,0.6408699444616558,221.25,12.668859459319926,1.05375,0.02326094212561974,2.8325,0.12464234547582242,59.0,3.3380918415851206,48.375,3.0676887530703447,149.0,6.8452277432633934,186.85,6.36036836309705,9.5573213456673,9.722658965119829,-9.726605172660095,-10.549685140954487,39.55627062440171
5,Garrett Crochet,14.125,1.125991626459604,230.5,15.023790657297038,1.0725,0.014880476182856768,2.9825,0.17152675759609212,62.25,2.6592157812837547,48.25,4.39967531269557,153.25,8.795290947839236,187.3375,10.26379733404192,6.32775575996312,8.814353382625265,-13.94444622941925,-6.791578855254595,35.87813422726223
6,Logan Webb,14.25,1.281739888923311,190.5,5.264435935053795,1.165,0.02618614682831912,3.2375,0.123143354324485,71.75,2.2519832529192056,45.375,2.2638462845343543,186.375,5.423164600647325,198.9375,4.3788248586643865,5.656373857639833,17.556486799388804,-4.391635040999341,-7.3892538090386735,34.993749507066646
7,Freddy Peralta,11.5,0.5345224838248488,179.125,5.488624600025034,1.2037499999999999,0.022638462845343554,3.79875,0.0535690475661351,69.125,1.2464234547582247,61.25,1.6690459207925614,135.125,5.540435774506239,163.1625,3.8291877169222954,8.418729120241368,14.76690535542007,-3.3681615452828244,-6.509122634101682,33.06291865504594
8,Yoshinobu Yamamoto,12.375,0.7440238091428447,171.25,5.994044663544928,1.11125,0.06424006315599098,3.3175,0.07667184247539263,58.125,2.587745847533829,46.375,4.033343171967536,128.875,5.962681563572837,157.48749999999998,5.548085255293031,7.224231179096658,12.207950408685093,-2.626865412479945,-10.824540968431315,32.88358796869301
9,Joe Ryan,10.875,0.35355339059327356,182.625,6.78101340930269,1.10625,0.028252686345094397,3.80875,0.143271719869225,70.5,3.54562104171167,39.375,2.2638462845343543,145.25,6.923046397979103,166.45,5.4884293876169234,10.960155108391493,12.468637782666546,-6.149857676460165,-2.363952218268516,31.94260278578672
10,Jesús Luzardo,11.75,0.7071067811865476,193.875,7.100050301632681,1.18125,0.012464234547582375,3.73375,0.18345396464196997,72.375,2.774243783705493,54.125,3.044315545875155,151.875,5.276294695549682,174.425,6.635349059609241,6.717514421272201,13.492862153099178,-7.922668626221749,-2.2549935119001376,30.38803871249327
11,Cristopher Sánchez,12.625,1.6850180160122066,188.75,10.319883720275145,1.145,0.018516401995450977,3.195,0.08734169352933009,68.375,3.0207614933986426,47.25,3.6154430670982185,173.25,8.413424646700909,192.55,8.910828084014257,3.3382432392694676,8.786436209727222,-7.290833285708864,-10.90472901902415,30.320241753729704
12,George Kirby,11.875,0.8345229603962802,164.125,9.627898450411106,1.1025,0.013887301496588272,3.5375,0.14897267247001073,65.875,3.758324094593225,32.25,2.6592157812837556,152.75,8.924284685220274,167.2875,9.736446623750519,5.841660722773962,6.8602717758390686,-12.781460821859946,-4.094291187014749,29.577684507487724
13,Jacob deGrom,10.5,0.5345224838248487,176.875,15.751984002023365,1.06875,0.022320714274285357,3.49625,0.08568005268772555,62.125,4.421942042651783,39.25,4.200340122282616,132.125,13.032240241581098,159.925,11.490586209091832,6.547900426854398,5.00254444074334,-9.464302862537473,-7.600222917384928,28.61497064752014
14,Logan Gilbert,10.5,1.1952286093343936,184.5,8.960229588895274,1.065,0.02203892660077356,3.39125,0.14788388302023595,61.75,2.314550249431378,38.625,1.1877349391654215,136.0,4.174754056057843,163.5625,2.5105136070988676,2.9283100928692645,9.645400170003406,-9.75546603946009,-5.11338683131904,27.442563133651802
15,Dylan Cease,12.0,0.7559289460184544,208.25,8.713700214522609,1.19875,0.026423744732991333,3.59875,0.11667261889578034,70.875,3.522884370187913,67.375,3.77728171346236,145.5,9.227288721117223,176.975,8.26312808289245,6.614378277661477,12.643882310339052,-3.0748858960386283,-4.702795781845984,27.03594226588514
16,Hunter Brown,12.5,0.7559289460184546,192.875,7.356969484781081,1.185,0.02828427124746195,3.40875,0.2517616503191631,67.875,5.841660722773963,59.625,2.1998376563477855,152.625,7.836498853806736,179.1625,5.464675522977426,7.275816105427623,12.88574054793989,-3.358757210636094,-2.9340747451549962,26.4543886091586
17,Framber Valdez,13.0,0.9258200997725514,173.0,7.819389819088006,1.2275,0.028157719063467205,3.4525,0.09437766079503583,71.875,3.2705394924123112,62.375,2.9246489410818914,168.0,9.531901324349871,187.3375,7.865101488764879,6.48074069840786,9.58194970879949,-1.8644976136620135,-7.363368557197304,25.290556578066667
18,Bryan Woo,12.75,0.8864052604279182,190.625,14.070612739221515,1.05,0.03891382420536064,3.37,0.1337374827253537,70.0,5.398412465054624,39.75,4.39967531269557,156.875,13.736681861768096,186.45,12.098996416468367,6.4868748604043125,6.577538712441355,-5.910495940625541,-5.813160859297484,24.788070372768694
19,Zack Wheeler,9.625,0.744023809142845,153.625,12.58045536309625,1.095,0.025634797778466157,3.2925,0.10152409988344085,50.0,4.27617987059879,37.25,2.251983252919207,112.125,12.040853078463455,136.65,10.878944276510872,3.5281129014192967,4.415579436254069,-7.216752852850841,-8.421030090210579,23.581475280734786
20,Chris Sale,11.375,1.1877349391654206,191.125,17.715509750337006,1.1,0.0169030850945703,3.2475,0.231439594093763,56.25,6.017830648521585,42.25,4.0970372570571385,129.625,11.096170510586076,155.5875,14.146926723295266,3.683481773361115,5.252459641937761,-10.648943609579325,-3.8884336257322003,23.473318650610402
