#	Name	Team	G	PA	AB	H	2B	3B	HR	R	RBI	BB	SO	HBP	SB	CS	AVG	OBP	SLG	OPS	wOBA	wRC+	BsR	Fld	Off	Def	WAR	ADP	Vol	Skew	Dim
1	Aaron Judge	NYY	145	638	512	149	25	1	47	107	113	114	157	6	9	3	.291	.422	.617	1.039	.433	182	-1.5	0.8	60.5	-6.2	7.8	2.0	3.78	-0.57	3.01
2	Bobby Witt Jr.	KCR	151	660	598	174	37	6	28	100	92	48	113	7	34	9	.291	.347	.513	.860	.364	135	3.3	5.0	30.5	12.0	6.6	2.8	2.95	-0.22	4.06
3	Shohei Ohtani	LAD	148	660	559	158	27	5	46	122	109	92	159	5	24	7	.283	.386	.599	.986	.411	167	1.2	0.0	53.5	-14.0	6.3	1.3	3.36	0.49	3.72
4	Juan Soto	NYM	154	675	542	148	25	1	38	108	99	124	121	4	21	5	.273	.409	.535	.945	.402	161	-0.2	-6.5	48.3	-13.9	5.9	4.3	1.32	0.40	4.05
5	Gunnar Henderson	BAL	153	658	580	156	33	4	26	96	84	67	140	6	24	5	.270	.349	.476	.825	.354	130	2.2	-0.4	25.5	6.6	5.6	13.1	1.94	0.06	4.47
6	Julio Rodríguez	SEA	151	659	599	162	28	3	30	93	91	47	145	9	28	6	.271	.332	.476	.807	.345	129	1.8	4.6	24.3	6.8	5.5	11.0	2.80	0.97	4.64
7	Cal Raleigh	SEA	151	626	540	124	23	0	40	85	102	76	169	6	8	2	.229	.328	.493	.820	.347	130	-1.6	3.3	20.6	10.0	5.3	18.4	2.51	-1.13	2.62
8	José Ramírez	CLE	151	650	575	157	33	3	28	92	89	64	74	4	33	8	.273	.347	.485	.832	.352	128	2.1	0.5	23.8	0.7	4.8	6.0	2.09	0.22	4.24
9	Fernando Tatis Jr.	SDP	148	648	567	153	28	2	28	99	79	71	128	6	26	6	.269	.355	.478	.833	.359	131	2.1	5.6	25.8	-1.5	4.7	15.5	2.93	0.31	4.30
10	Ketel Marte	ARI	141	616	536	148	30	2	28	89	87	68	100	7	5	2	.275	.361	.499	.859	.367	136	-0.7	0.2	25.5	0.3	4.7	32.3	3.36	-0.10	3.81
11	Francisco Lindor	NYM	144	633	560	145	28	1	25	93	78	56	116	11	23	5	.259	.336	.450	.785	.340	118	0.9	2.9	14.5	9.1	4.6	20.0	3.77	-0.82	4.27
12	Ronald Acuña Jr.	ATL	142	623	528	147	25	2	28	105	77	85	133	7	24	7	.279	.384	.491	.875	.378	144	2.2	-3.1	34.7	-10.5	4.6	7.3	3.83	-0.07	4.03
13	Kyle Tucker	LAD	143	619	527	142	28	2	30	94	89	84	92	3	23	5	.269	.370	.498	.869	.371	140	1.1	0.1	30.3	-6.6	4.6	14.8	1.83	-0.41	4.65
14	Corbin Carroll	ARI	145	632	550	141	28	10	27	101	81	67	134	8	33	7	.257	.343	.491	.835	.356	129	4.9	3.1	26.4	-3.3	4.5	9.5	1.22	0.87	3.68
15	Vladimir Guerrero Jr.	TOR	154	666	579	171	32	0	29	94	96	75	91	6	5	2	.294	.379	.501	.880	.376	144	-1.3	-1.0	33.2	-13.0	4.4	18.1	2.83	-0.26	3.20
16	Corey Seager	TEX	124	529	461	126	24	0	27	70	76	60	98	4	2	1	.273	.359	.498	.857	.363	136	-1.5	0.3	21.0	3.7	4.4	100.3	3.35	0.05	3.88
17	William Contreras	MIL	145	603	526	140	27	1	19	76	77	69	116	4	6	2	.266	.353	.431	.784	.341	120	-1.2	1.7	13.1	8.9	4.3	52.3	1.82	0.58	4.23
18	Will Smith	LAD	124	501	429	112	21	1	20	69	69	58	98	8	2	1	.262	.356	.457	.814	.352	126	-1.5	1.8	14.0	10.8	4.3	104.7	2.87	-0.18	4.28
19	Mookie Betts	LAD	142	622	546	146	30	2	22	89	80	66	72	4	9	2	.268	.349	.451	.800	.346	122	-0.6	-1.9	15.9	4.7	4.3	57.1	2.75	-0.91	4.14
20	Trea Turner	PHI	143	625	575	162	29	4	18	90	71	40	113	5	28	5	.283	.333	.440	.773	.335	113	3.7	0.6	13.5	7.2	4.2	28.9	2.36	-1.58	3.61
