#	Name	Team	G	PA	AB	H	2B	3B	HR	R	RBI	BB	SO	HBP	SB	CS	AVG	OBP	SLG	OPS	wOBA	wRC+	BsR	Fld	Off	Def	WAR	ADP
1	Aaron Judge	NYY	145	638	518	149	26	0	50	106	121	108	162	6	8	3	.287	.413	.627	1.040	.429	181	-0.7	-2.3	60.2	-9.4	7.4	2.0
2	Bobby Witt Jr.	KCR	151	660	599	175	35	5	31	104	96	48	113	6	37	9	.291	.347	.524	.872	.369	136	2.8	3.7	30.5	10.7	6.5	2.8
3	Cal Raleigh	SEA	151	626	541	121	22	1	39	82	104	74	173	6	7	3	.224	.322	.486	.808	.343	127	-0.5	15.0	19.5	21.7	6.4	18.4
4	Shohei Ohtani	LAD	148	660	559	159	31	3	48	121	119	91	157	5	25	8	.285	.387	.607	.993	.412	169	0.7	0.0	54.3	-14.0	6.4	1.3
5	Juan Soto	NYM	154	675	545	147	26	0	38	107	99	120	123	4	16	6	.270	.404	.529	.933	.397	161	-0.5	-3.0	48.4	-10.3	6.2	4.3
6	Julio Rodríguez	SEA	151	659	598	163	26	6	28	95	87	48	146	9	25	7	.273	.334	.478	.812	.347	130	1.4	0.5	25.0	2.7	5.1	11.0
7	Gunnar Henderson	BAL	153	658	581	155	35	3	25	94	80	65	140	6	20	5	.268	.344	.464	.808	.347	125	0.9	-1.3	20.5	5.7	5.0	13.1
8	Fernando Tatis Jr.	SDP	148	648	567	154	28	4	29	99	85	70	129	6	23	7	.272	.356	.490	.845	.363	138	0.7	4.3	29.6	-2.7	5.0	15.5
9	Vladimir Guerrero Jr.	TOR	154	666	581	174	31	1	32	98	98	72	89	7	6	2	.299	.381	.519	.900	.383	149	-1.0	-0.4	37.7	-12.4	4.9	18.1
10	Ketel Marte	ARI	141	616	537	148	31	2	29	86	95	67	102	6	5	2	.276	.360	.504	.865	.369	137	-0.8	-0.2	26.6	-0.2	4.8	32.3
11	Corbin Carroll	ARI	145	632	550	143	30	7	27	101	80	66	132	8	36	7	.259	.345	.487	.832	.356	129	3.3	7.1	24.7	0.6	4.7	9.5
12	Corey Seager	TEX	124	529	456	126	24	1	28	71	84	60	100	5	2	1	.275	.362	.514	.876	.370	141	-0.8	-0.1	24.7	3.3	4.7	100.3
13	William Contreras	MIL	145	603	527	138	27	0	21	72	82	67	120	5	5	2	.263	.348	.434	.782	.340	120	-0.8	5.5	13.1	12.7	4.7	52.3
14	Yordan Alvarez	HOU	128	551	469	137	27	1	33	83	91	69	92	8	3	1	.291	.387	.564	.951	.399	160	-0.7	-0.4	38.3	-12.1	4.6	36.0
15	Will Smith	LAD	124	501	428	116	21	2	24	73	73	56	95	9	3	1	.270	.363	.496	.859	.368	138	-0.7	-2.5	21.9	6.5	4.6	104.7
16	Francisco Lindor	NYM	144	633	557	143	28	2	25	87	78	55	118	10	22	7	.256	.331	.449	.779	.337	120	0.6	1.0	15.5	7.2	4.5	20.0
