#	Name	Team	G	PA	AB	H	2B	3B	HR	R	RBI	BB	SO	HBP	SB	CS	AVG	OBP	SLG	OPS	wOBA	wRC+	BsR	Fld	Off	Def	WAR	ADP
1	Aaron Judge	NYY	141	633	509	145	24	1	43	110	103	112	156	6	9	2	.285	.417	.588	1.005	.415	171	-1.7	-0.2	51.6	-7.5	6.7	2.0
2	Bobby Witt Jr.	KCR	140	634	574	169	37	5	27	98	87	47	106	6	31	10	.294	.352	.515	.867	.367	134	3.3	6.0	29.0	13.0	6.5	2.8
3	Cal Raleigh	SEA	138	615	527	122	22	0	38	89	91	76	163	6	8	3	.231	.331	.487	.818	.346	129	-1.9	1.0	19.3	7.4	5.9	18.4
4	Gunnar Henderson	BAL	141	626	548	151	30	4	27	89	88	66	126	6	21	6	.275	.357	.489	.846	.362	136	2.3	-1.6	28.5	5.4	5.7	13.1
5	Julio Rodríguez	SEA	139	618	560	154	27	2	30	85	91	44	134	8	23	6	.275	.334	.491	.825	.352	133	1.6	5.4	25.9	7.6	5.6	11.0
6	Juan Soto	NYM	138	621	494	135	23	1	34	105	89	117	110	4	20	6	.273	.413	.533	.946	.403	165	-0.6	-6.4	47.1	-13.5	5.6	4.3
7	Shohei Ohtani	LAD	142	658	555	153	25	6	44	120	99	91	161	5	22	6	.275	.380	.577	.957	.397	158	1.0	0.0	46.5	-16.6	5.3	1.3
8	Ronald Acuña Jr.	ATL	147	676	571	163	27	2	31	110	84	91	135	7	24	6	.285	.388	.503	.891	.383	148	2.5	-3.3	40.6	-11.5	5.3	7.3
9	Fernando Tatis Jr.	SDP	134	618	537	148	28	2	30	98	78	67	119	6	24	5	.275	.360	.502	.862	.369	142	2.2	3.1	32.8	-3.7	5.1	15.5
10	Vladimir Guerrero Jr.	TOR	143	637	551	165	31	1	32	94	100	74	87	6	5	2	.299	.385	.532	.917	.389	153	-1.4	-1.3	38.4	-13.4	4.8	18.1
