#	Name	Team	G	PA	AB	H	2B	3B	HR	R	RBI	BB	SO	HBP	SB	CS	AVG	OBP	SLG	OPS	wOBA	wRC+	BsR	Fld	Off	Def	WAR	ADP
1	Aaron Judge	NYY	149	644	516	149	26	1	43	110	119	117	158	6	8	2	.288	.421	.594	1.015	.419	175	-0.4	5.4	56.3	-1.8	7.8	2.0
2	Shohei Ohtani	LAD	157	679	578	167	29	5	51	135	135	93	162	5	28	5	.289	.389	.620	1.009	.417	172	2.6	0.0	60.5	-17.0	6.8	1.3
3	Cal Raleigh	SEA	159	637	552	127	23	0	42	84	111	77	172	5	7	2	.230	.329	.500	.829	.349	132	-0.3	8.5	23.6	15.7	6.3	18.4
4	Bobby Witt Jr.	KCR	157	679	617	174	35	9	28	101	96	47	121	7	33	9	.283	.337	.505	.842	.356	127	1.8	7.3	23.1	14.6	6.2	2.8
5	Juan Soto	NYM	159	686	551	149	24	1	38	112	105	127	119	3	24	3	.271	.408	.524	.932	.398	161	2.1	-7.1	51.9	-14.6	6.2	4.3
6	Gunnar Henderson	BAL	156	672	593	161	33	5	29	102	93	69	146	6	22	4	.272	.352	.491	.843	.361	135	1.5	-2.5	29.0	4.7	5.8	13.1
7	Julio Rodríguez	SEA	159	686	627	167	30	2	30	97	101	47	152	9	28	6	.266	.326	.463	.789	.338	124	2.0	6.9	21.3	9.2	5.5	11.0
8	Ronald Acuña Jr.	ATL	151	651	546	156	26	1	33	124	87	96	135	7	30	6	.286	.399	.520	.919	.395	156	2.1	-5.1	45.2	-12.9	5.5	7.3
9	Kyle Tucker	LAD	151	651	558	150	28	2	35	98	108	88	92	2	24	3	.268	.369	.514	.883	.376	144	2.2	1.0	36.2	-6.0	5.3	14.8
10	Fernando Tatis Jr.	SDP	156	672	586	155	29	2	27	105	83	77	131	6	26	5	.265	.356	.461	.816	.353	131	1.9	9.9	26.8	2.5	5.3	15.5
11	Francisco Lindor	NYM	146	630	559	147	28	1	25	96	84	54	113	11	22	4	.263	.338	.453	.791	.342	123	1.7	5.4	18.9	11.6	5.3	20.0
12	Matt Chapman	SFG	156	672	581	143	32	1	28	97	81	79	165	9	9	2	.245	.342	.450	.792	.344	124	-0.4	5.8	18.5	8.2	5.0	169.9
13	Mookie Betts	LAD	151	651	565	155	32	2	24	97	92	75	76	4	10	2	.274	.361	.468	.829	.357	131	-0.1	-4.1	23.6	2.9	4.9	57.1
14	Pete Crow-Armstrong	CHC	149	644	587	150	29	6	26	95	95	35	158	9	34	8	.255	.304	.461	.765	.327	111	2.4	13.1	10.9	15.4	4.9	29.5
15	José Ramírez	CLE	157	679	601	163	33	3	28	97	94	67	78	4	30	6	.271	.345	.475	.821	.343	122	2.4	3.5	19.9	3.7	4.8	6.0
16	Corbin Carroll	ARI	147	637	553	142	26	13	26	108	89	67	135	10	34	6	.256	.344	.490	.834	.356	128	3.4	7.0	24.9	0.5	4.8	9.5
17	Alejandro Kirk	TOR	125	495	434	117	18	0	15	45	64	50	58	4	1	0	.270	.347	.411	.758	.331	113	-0.7	13.2	6.9	21.9	4.7	161.9
18	Wyatt Langford	TEX	149	644	561	145	30	2	25	89	81	73	145	5	23	5	.259	.347	.452	.799	.346	124	1.2	8.8	19.5	4.2	4.7	41.8
19	Geraldo Perdomo	ARI	159	686	573	150	28	5	15	98	77	84	86	9	23	6	.262	.361	.405	.766	.337	116	0.9	1.6	13.8	8.9	4.7	82.1
20	Vladimir Guerrero Jr.	TOR	157	679	592	172	33	0	33	95	104	77	91	6	5	2	.291	.376	.512	.888	.378	145	-1.0	-1.2	35.3	-13.5	4.6	18.1
21	Trea Turner	PHI	149	644	593	169	30	3	19	93	78	43	120	5	28	4	.285	.337	.443	.780	.338	115	2.7	2.3	14.4	9.2	4.6	28.9
22	William Contreras	MIL	152	610	533	144	29	1	19	82	77	71	117	3	6	2	.270	.356	.435	.791	.344	122	-0.7	1.3	15.2	8.8	4.5	52.3
23	Zach Neto	LAA	154	665	593	153	35	1	28	95	92	46	160	20	26	9	.258	.331	.462	.793	.341	118	0.5	-0.8	14.6	6.4	4.5	27.4
24	Ketel Marte	ARI	147	637	554	148	29	3	27	92	88	70	103	7	6	1	.267	.353	.480	.833	.356	129	-0.4	0.8	21.2	0.9	4.4	32.3
25	Willy Adames	SFG	157	679	598	143	28	1	27	89	89	71	164	4	11	3	.240	.322	.427	.748	.324	110	0.0	5.0	8.1	12.2	4.4	136.1
26	Elly De La Cruz	CIN	156	672	603	158	31	7	24	102	89	64	178	3	41	10	.261	.334	.453	.788	.338	112	3.0	0.2	12.7	7.2	4.3	8.9
27	Junior Caminero	TBR	154	665	611	165	28	0	38	87	120	46	124	3	6	1	.270	.322	.501	.823	.350	125	-0.1	-2.2	19.5	-0.4	4.3	16.1
28	Bo Bichette	NYM	152	658	611	179	34	1	19	80	88	41	107	3	6	4	.294	.339	.445	.785	.340	121	-1.8	4.7	14.9	5.1	4.3	102.0
29	Adley Rutschman	BAL	143	573	502	127	29	1	19	67	68	64	91	3	1	0	.254	.338	.431	.770	.334	116	-0.7	5.8	10.1	11.7	4.3	156.5
30	Jordan Westburg	BAL	141	609	562	146	31	3	27	90	86	38	140	8	5	3	.260	.315	.472	.788	.339	119	-0.9	5.7	12.9	7.3	4.2	127.5
31	Pete Alonso	BAL	157	679	598	164	38	1	39	86	116	58	148	14	1	1	.274	.348	.536	.884	.373	143	-1.2	-2.7	32.9	-15.4	4.2	26.4
32	Corey Seager	TEX	130	560	488	127	25	0	24	73	72	64	102	5	2	0	.260	.349	.458	.807	.344	123	-0.4	3.2	14.8	6.7	4.2	100.3
33	Dansby Swanson	CHC	159	686	620	150	27	2	22	89	81	59	177	3	16	3	.241	.309	.398	.707	.309	99	0.7	10.8	-0.2	18.1	4.2	157.2
34	Jackson Merrill	SDP	146	630	576	155	28	6	23	82	86	41	120	3	7	3	.270	.320	.458	.778	.333	117	-1.0	5.7	11.9	7.8	4.2	69.4
35	Patrick Bailey	SFG	133	525	472	109	20	2	11	55	56	41	137	2	2	0	.230	.292	.351	.643	.283	82	-0.3	23.8	-11.5	34.1	4.1	999.0
36	Yordan Alvarez	HOU	130	560	475	137	27	1	28	76	85	71	98	7	2	1	.289	.385	.531	.916	.386	151	-1.0	0.0	32.5	-11.8	4.1	36.0
37	Nico Hoerner	CHC	154	665	608	169	29	3	9	86	65	42	60	10	27	6	.278	.333	.383	.716	.315	103	1.7	11.1	3.9	13.6	4.1	109.7
38	Freddie Freeman	LAD	151	651	567	164	40	2	24	89	89	70	120	9	9	2	.288	.372	.494	.866	.369	139	-0.2	-1.1	29.7	-12.8	4.0	72.2
39	Austin Riley	ATL	156	672	608	160	32	2	31	90	90	50	172	9	2	1	.262	.325	.477	.802	.344	120	-1.0	-1.5	15.3	0.5	3.9	73.5
40	Will Smith	LAD	126	500	424	109	21	1	20	69	68	60	97	9	2	1	.257	.355	.448	.803	.347	124	-0.9	-1.5	13.4	7.7	3.9	104.7
41	Gabriel Moreno	ARI	115	456	406	113	20	1	11	55	56	42	77	4	4	2	.278	.349	.416	.765	.333	113	-1.1	8.6	5.8	16.6	3.8	181.0
42	Jeremy Peña	HOU	151	651	596	160	29	2	18	80	72	37	117	12	18	4	.269	.323	.413	.736	.320	106	0.7	2.9	5.2	9.9	3.8	96.6
43	Roman Anthony	BOS	146	630	537	144	30	3	19	94	76	84	153	5	9	4	.267	.369	.443	.812	.355	125	-1.2	6.6	17.2	-1.6	3.8	54.3
44	Byron Buxton	MIN	130	560	502	125	26	5	28	89	79	44	154	9	17	0	.250	.319	.491	.810	.344	120	2.5	1.9	16.1	1.5	3.8	71.0
45	Riley Greene	DET	151	651	586	157	30	3	30	87	103	57	177	4	3	2	.268	.334	.487	.821	.351	126	-1.2	3.1	18.8	-4.5	3.8	80.7
