#	Name	Team	GS	G	IP	W	L	QS	SV	HLD	H	ER	HR	SO	BB	WHIP	K/9	BB/9	ERA	FIP	WAR	RA9-WAR	ADP	Vol	Skew	Dim
1	Tarik Skubal	DET	30	30	190.0	14	7	18	0	0	145	57	19	230	38	0.96	10.91	1.80	2.72	2.68	6.0	5.9	6.5	3.42	2.12	2.29
2	Paul Skenes	PIT	30	30	184.2	12	8	17	0	0	143	56	15	222	46	1.02	10.81	2.22	2.75	2.66	5.7	6.0	10.0	2.69	-0.26	2.63
3	Garrett Crochet	BOS	29	29	176.2	13	8	15	0	0	142	60	19	217	45	1.06	11.06	2.31	3.05	2.93	4.9	4.9	11.1	5.00	1.28	3.13
4	Logan Webb	SFG	30	30	194.1	13	10	17	0	0	184	71	16	184	44	1.17	8.50	2.04	3.30	3.05	4.9	4.5	63.6	4.88	0.70	3.46
5	Cristopher Sánchez	PHI	29	29	187.1	12	8	17	0	0	168	67	16	181	46	1.14	8.70	2.20	3.20	3.15	4.5	4.9	27.2	3.70	0.87	3.52
6	Chris Sale	ATL	25	25	153.1	11	6	14	0	0	126	54	16	188	40	1.08	11.05	2.34	3.19	3.02	3.8	3.9	38.2	3.57	0.27	3.57
7	Yoshinobu Yamamoto	LAD	26	26	159.2	12	7	14	0	0	129	58	16	174	47	1.10	9.79	2.64	3.24	3.21	3.8	3.8	26.8	4.19	-0.13	3.63
8	Cole Ragans	KCR	26	26	150.1	10	8	13	0	0	119	57	16	186	53	1.14	11.15	3.16	3.42	3.18	3.7	3.2	45.5	4.10	0.29	3.84
9	Dylan Cease	TOR	29	29	172.2	11	10	13	0	0	143	72	21	205	66	1.21	10.66	3.45	3.74	3.60	3.6	2.8	80.0	5.89	1.17	3.50
10	Framber Valdez	DET	28	28	183.2	13	9	16	0	0	164	71	16	171	60	1.22	8.36	2.96	3.50	3.50	3.6	3.6	95.4	3.70	2.73	3.53
11	Jesús Luzardo	PHI	29	29	173.1	12	9	14	0	0	148	70	21	191	53	1.16	9.94	2.76	3.66	3.53	3.6	3.4	75.8	2.86	0.31	3.70
12	Max Fried	NYY	28	28	178.1	14	8	16	0	0	156	66	16	169	52	1.17	8.51	2.64	3.34	3.44	3.6	4.0	54.2	2.36	1.94	3.54
13	Hunter Brown	HOU	29	29	178.0	12	9	16	0	0	151	69	20	193	58	1.17	9.74	2.92	3.49	3.49	3.5	3.5	37.7	3.35	-0.41	3.63
14	Hunter Greene	CIN	28	28	165.2	10	8	14	0	0	132	67	24	199	53	1.11	10.80	2.89	3.66	3.78	3.5	3.6	43.3	1.97	-0.48	3.65
15	Sonny Gray	BOS	28	28	168.0	12	9	13	0	0	154	71	21	177	43	1.18	9.49	2.33	3.80	3.51	3.4	3.0	133.0	2.52	1.24	3.76
16	Bryan Woo	SEA	29	29	182.2	13	8	15	0	0	151	69	24	184	38	1.03	9.07	1.86	3.40	3.57	3.4	3.3	38.7	3.84	-0.15	3.19
17	Jacob deGrom	TEX	25	25	152.0	10	7	12	0	0	124	58	21	171	34	1.04	10.11	2.03	3.44	3.43	3.3	3.1	46.8	2.85	0.56	3.55
18	Logan Gilbert	SEA	28	28	164.1	10	8	13	0	0	135	63	22	184	36	1.04	10.05	1.98	3.43	3.38	3.3	2.9	32.8	2.29	0.43	3.43
19	Ranger Suárez	BOS	27	27	164.0	11	9	13	0	0	157	67	17	147	47	1.24	8.07	2.55	3.68	3.62	3.2	3.2	173.9	2.73	-0.65	3.87
20	Joe Ryan	MIN	28	28	168.1	11	10	13	0	0	145	71	25	185	38	1.09	9.90	2.03	3.81	3.71	3.2	2.6	71.9	1.85	-0.82	3.50
21	Kevin Gausman	TOR	29	29	179.1	11	10	14	0	0	163	78	24	175	51	1.19	8.80	2.55	3.93	3.83	3.1	2.5	125.7	3.36	0.13	3.65
22	George Kirby	SEA	28	28	165.0	12	9	14	0	0	151	67	20	161	31	1.10	8.78	1.71	3.63	3.47	3.1	2.5	69.6	2.95	0.40	3.77
23	Kyle Bradish	BAL	25	25	140.2	8	7	11	0	0	120	56	16	151	44	1.17	9.67	2.84	3.60	3.54	3.0	2.5	69.8	3.02	0.54	4.26
24	Nathan Eovaldi	TEX	25	25	153.0	11	8	13	0	0	134	62	18	148	37	1.11	8.69	2.16	3.65	3.58	2.9	2.7	150.7	5.39	-1.09	3.95
25	Chase Burns	CIN	24	29	131.2	7	8	10	0	0	112	53	18	156	41	1.16	10.64	2.84	3.61	3.54	2.9	2.9	104.5	4.64	0.73	4.20
26	Pablo López	MIN	26	26	154.2	10	8	12	0	0	144	65	19	155	39	1.18	9.01	2.29	3.79	3.62	2.9	2.5	140.0	2.95	1.52	4.16
27	Zack Wheeler	PHI	20	20	126.0	9	5	12	0	0	102	46	15	145	34	1.08	10.39	2.41	3.30	3.29	2.9	3.1	119.3	4.17	0.32	3.86
28	Freddy Peralta	NYM	28	28	164.0	12	9	12	0	0	134	69	22	183	60	1.19	10.02	3.32	3.76	3.88	2.9	2.7	58.7	3.45	0.40	3.67
29	Brandon Woodruff	MIL	25	25	143.2	10	7	11	0	0	121	59	20	152	39	1.11	9.54	2.43	3.71	3.79	2.8	2.6	105.1	2.97	0.66	4.01
30	Michael King	SDP	28	28	159.0	10	8	11	0	0	140	66	21	166	56	1.23	9.36	3.16	3.73	3.96	2.8	2.7	127.7	3.40	0.38	3.93
31	Blake Snell	LAD	24	24	136.0	10	7	11	0	0	105	52	14	167	58	1.20	11.04	3.84	3.44	3.41	2.8	2.8	94.5	2.64	-0.02	3.99
32	José Soriano	LAA	30	30	168.1	10	10	13	0	0	149	70	14	156	72	1.32	8.34	3.87	3.77	3.84	2.7	2.8	411.7	2.39	1.00	3.43
33	Drew Rasmussen	TBR	29	29	155.0	10	8	10	0	0	140	63	18	139	39	1.16	8.10	2.27	3.68	3.71	2.7	2.8	155.2	4.53	-0.43	4.23
34	Nick Pivetta	SDP	29	29	172.1	11	9	14	0	0	147	75	27	188	51	1.15	9.80	2.68	3.92	3.97	2.6	2.5	98.5	1.64	-1.04	3.60
35	Eury Pérez	MIA	27	27	144.0	9	9	9	0	0	119	63	20	160	48	1.16	10.01	2.97	3.92	3.83	2.6	2.4	85.6	2.87	0.39	4.07
36	MacKenzie Gore	TEX	28	28	157.2	10	10	12	0	0	138	69	20	177	60	1.26	10.12	3.44	3.92	3.84	2.6	2.1	176.6	4.44	1.54	3.66
37	Jack Flaherty	DET	28	28	156.1	10	10	12	0	0	140	70	21	172	54	1.24	9.91	3.08	4.05	3.85	2.6	2.0	228.0	2.62	0.82	3.67
38	Kris Bubic	KCR	23	29	133.1	8	8	10	0	1	122	55	14	129	43	1.24	8.73	2.91	3.73	3.61	2.5	2.2	214.2	2.57	-0.75	4.43
39	Spencer Strider	ATL	26	26	151.2	11	9	11	0	0	130	66	20	178	54	1.22	10.55	3.23	3.93	3.75	2.5	2.4	95.0	2.85	0.14	3.70
40	Matthew Boyd	CHC	27	27	156.1	10	9	12	0	0	143	68	21	143	44	1.19	8.21	2.52	3.88	4.00	2.5	2.4	232.1	3.99	-3.41	4.09
41	Tanner Bibee	CLE	29	29	176.1	11	10	12	0	0	162	78	24	165	52	1.22	8.41	2.67	3.98	4.07	2.5	2.2	185.1	3.11	1.88	3.72
42	Trevor Rogers	BAL	27	27	158.0	9	9	12	0	0	150	71	19	136	51	1.27	7.77	2.90	4.02	4.02	2.4	1.9	165.3	3.76	-1.20	3.97
43	Aaron Nola	PHI	27	27	162.1	10	10	12	0	0	153	75	25	159	45	1.22	8.79	2.47	4.15	4.08	2.4	2.2	209.1	3.77	0.71	3.74
44	Tyler Glasnow	LAD	23	23	130.2	8	6	11	0	0	104	54	16	153	49	1.16	10.52	3.34	3.69	3.58	2.4	2.4	118.8	2.47	0.81	4.27
45	Andrew Abbott	CIN	28	28	162.2	10	9	11	0	0	153	76	26	149	51	1.25	8.22	2.80	4.18	4.40	2.4	2.4	211.1	4.25	0.11	3.70
46	Sandy Alcantara	MIA	28	28	173.1	10	11	12	0	0	168	80	20	143	50	1.26	7.42	2.61	4.16	4.00	2.4	2.3	152.7	3.48	0.74	3.67
47	Shohei Ohtani	LAD	21	21	108.0	7	5	8	0	0	86	40	13	128	33	1.10	10.71	2.75	3.37	3.37	2.3	2.4	1.3	1.73	-0.19	4.01
48	Nick Lodolo	CIN	26	26	147.2	9	8	11	0	0	136	66	21	149	38	1.18	9.06	2.29	4.01	4.04	2.3	2.5	129.4	1.95	-0.07	4.11
49	Brady Singer	CIN	29	29	166.2	11	11	12	0	0	161	81	24	154	53	1.29	8.33	2.87	4.40	4.28	2.3	2.1	352.1	2.75	0.00	3.14
50	David Peterson	NYM	27	27	159.2	9	7	13	0	0	152	70	16	143	61	1.34	8.03	3.45	3.92	3.91	2.3	2.4	490.6	4.13	0.08	3.51
51	Mitch Keller	PIT	29	29	174.2	9	11	13	0	0	173	84	22	153	52	1.29	7.87	2.70	4.32	4.11	2.3	2.1	609.0	1.67	1.46	3.36
52	Nolan McLean	NYM	26	26	151.0	11	8	11	0	0	132	62	16	149	57	1.25	8.87	3.40	3.71	3.85	2.3	2.6	96.3	3.36	-1.57	3.91
53	Merrill Kelly	ARI	29	29	174.0	11	8	13	0	0	164	79	23	156	52	1.24	8.07	2.66	4.08	4.02	2.3	2.4	235.6	2.28	0.04	3.62
54	Emmet Sheehan	LAD	23	34	134.1	9	6	7	0	0	110	58	19	153	43	1.14	10.25	2.88	3.92	3.78	2.3	1.8	129.2	1.90	0.34	4.09
55	Luis Castillo	SEA	29	29	173.1	11	10	14	0	0	158	75	24	162	49	1.19	8.39	2.52	3.89	4.04	2.3	2.0	173.3	1.53	-0.34	3.87
56	Michael Wacha	KCR	28	28	163.2	10	10	12	0	0	162	79	22	126	49	1.29	6.91	2.67	4.33	4.29	2.2	1.6	689.9	4.49	-0.72	3.47
57	Yusei Kikuchi	LAA	29	29	167.0	8	10	11	0	0	160	79	25	168	59	1.31	9.08	3.20	4.24	4.26	2.1	1.9	552.3	4.01	0.30	3.31
58	Shane McClanahan	TBR	20	20	118.0	8	6	9	0	0	103	48	15	124	36	1.18	9.46	2.73	3.69	3.71	2.1	2.1	217.1	4.52	1.95	4.48
59	Trey Yesavage	TOR	25	30	135.1	8	6	9	0	0	112	58	17	151	57	1.24	10.05	3.77	3.86	3.86	2.1	1.9	144.4	3.18	0.27	4.22
60	Casey Mize	DET	26	26	143.2	9	8	9	0	0	141	66	19	125	38	1.25	7.82	2.41	4.11	4.06	2.1	1.8	281.0	2.08	-1.61	4.17
61	Cody Ponce	TOR	23	34	137.2	8	8	9	0	1	127	62	19	140	45	1.25	9.13	2.95	4.07	3.98	2.0	1.5	277.1	3.40	1.45	4.21
62	Zac Gallen	ARI	28	29	162.1	12	10	12	0	0	153	75	22	155	53	1.27	8.59	2.94	4.18	4.07	2.0	1.9	223.3	3.60	0.33	3.28
63	Joe Musgrove	SDP	24	24	136.1	8	8	11	0	0	128	59	19	130	35	1.19	8.55	2.31	3.91	3.98	2.0	2.1	218.9	2.14	0.34	4.48
64	Braxton Ashcraft	PIT	22	37	133.1	7	7	6	0	1	129	58	14	118	42	1.29	7.99	2.85	3.89	3.77	2.0	2.0	266.5	2.15	-0.64	4.45
65	Clay Holmes	NYM	27	28	143.0	10	8	9	0	0	136	61	13	118	54	1.32	7.41	3.38	3.86	3.97	2.0	2.2	410.7	2.61	-1.17	3.71
66	Shane Baz	BAL	27	27	156.1	9	9	11	0	0	143	72	22	154	53	1.25	8.84	3.06	4.17	4.17	2.0	1.6	200.1	3.22	2.27	3.78
67	Grayson Rodriguez	LAA	20	20	114.2	8	7	9	0	0	105	51	15	120	38	1.24	9.45	3.00	3.98	3.86	2.0	1.7	263.8	3.04	1.03	4.59
68	Bubba Chandler	PIT	25	30	141.0	8	8	9	0	0	132	67	17	131	50	1.29	8.34	3.20	4.27	4.12	1.9	1.6	152.4	3.93	-0.48	3.93
69	Robbie Ray	SFG	29	29	168.1	9	10	12	0	0	149	79	25	175	66	1.28	9.39	3.53	4.23	4.24	1.9	1.9	160.3	1.88	0.29	3.30
70	Shota Imanaga	CHC	25	25	151.2	10	8	12	0	0	140	68	27	138	33	1.14	8.16	1.93	4.02	4.37	1.9	2.1	175.1	3.40	-1.30	3.94
71	Gavin Williams	CLE	28	28	161.1	10	9	11	0	0	140	71	20	164	69	1.30	9.13	3.86	3.96	4.14	1.9	2.1	147.5	2.31	-0.60	3.53
72	Edward Cabrera	CHC	24	24	133.0	8	7	9	0	0	113	59	16	142	52	1.24	9.60	3.53	3.99	3.92	1.9	1.9	186.5	1.92	1.11	4.26
73	Chris Bassitt	BAL	26	27	148.0	10	9	11	0	0	143	69	19	136	51	1.31	8.26	3.08	4.17	4.17	1.9	1.7	622.0	1.83	0.09	3.59
74	Reid Detmers	LAA	23	34	136.2	8	9	7	0	0	124	65	19	150	50	1.27	9.90	3.31	4.26	3.97	1.9	1.4	353.6	4.68	1.58	3.90
75	Bailey Ober	MIN	24	30	142.2	8	8	10	0	0	137	69	24	130	33	1.19	8.20	2.08	4.36	4.32	1.8	1.3	320.3	1.39	0.29	3.94
76	Cam Schlittler	NYY	24	24	133.0	8	8	9	0	0	118	58	17	133	51	1.27	8.98	3.44	3.92	4.06	1.8	2.0	125.4	3.34	-1.00	4.29
77	Quinn Priester	MIL	28	28	162.0	10	9	11	0	0	157	75	19	131	53	1.30	7.31	2.93	4.15	4.18	1.8	2.0	276.4	2.60	-0.46	3.60
78	Carlos Rodón	NYY	24	24	143.2	11	8	11	0	0	123	65	21	152	52	1.22	9.53	3.26	4.07	4.13	1.8	1.9	195.9	2.94	-1.36	3.82
79	Jacob Misiorowski	MIL	25	32	140.0	9	7	9	0	0	113	63	18	160	64	1.26	10.26	4.09	4.03	4.06	1.8	1.9	121.9	2.82	-0.31	3.93
80	Ryan Pepiot	TBR	29	29	165.1	11	10	12	0	0	144	76	26	167	57	1.22	9.07	3.10	4.14	4.34	1.8	2.0	133.5	4.63	-0.75	3.56
81	Braxton Garrett	MIA	20	27	115.1	6	6	7	0	1	113	52	14	102	28	1.22	8.00	2.15	4.03	3.83	1.8	1.6	627.8	3.16	0.17	4.76
82	Jack Leiter	TEX	28	28	157.0	9	10	9	0	0	139	75	23	151	62	1.28	8.65	3.57	4.29	4.44	1.8	1.4	241.7	2.28	-0.75	3.56
83	Sean Manaea	NYM	23	33	132.0	7	7	8	0	0	116	61	19	138	40	1.19	9.38	2.76	4.16	4.01	1.8	1.5	281.5	2.95	0.34	4.20
84	Brayan Bello	BOS	27	27	155.2	10	9	11	0	0	154	74	18	127	54	1.34	7.34	3.13	4.26	4.23	1.8	1.9	453.3	3.01	0.20	3.34
85	Michael McGreevy	STL	24	28	143.0	8	8	10	0	0	147	66	16	97	34	1.27	6.12	2.14	4.13	4.07	1.8	1.8	999.0	2.70	1.07	4.28
86	Foster Griffin	WSN	22	29	130.0	6	7	9	0	0	124	60	16	118	42	1.28	8.18	2.91	4.15	4.04	1.8	1.6	735.6	3.76	1.71	4.50
87	Brandon Pfaadt	ARI	29	29	169.0	10	10	11	0	0	174	84	25	148	39	1.26	7.88	2.08	4.50	4.13	1.8	1.5	687.8	4.09	0.80	3.12
88	Zebby Matthews	MIN	21	33	122.0	7	7	7	0	0	118	56	18	119	31	1.23	8.79	2.31	4.10	3.94	1.7	1.4	311.2	5.55	1.62	4.61
89	Shane Bieber	TOR	18	18	102.2	6	5	7	0	0	96	43	13	95	25	1.18	8.32	2.18	3.76	3.78	1.7	1.6	210.7	1.69	-0.87	4.41
90	Shane Smith	CHW	28	28	156.2	8	9	10	0	0	139	72	21	152	58	1.26	8.76	3.31	4.14	4.25	1.7	2.0	254.7	3.42	-1.58	3.94
91	Jameson Taillon	CHC	26	26	153.2	10	9	12	0	0	153	75	25	118	36	1.23	6.94	2.11	4.39	4.50	1.7	1.5	404.9	4.06	-1.18	3.63
92	Cade Cavalli	WSN	24	24	137.0	7	9	9	0	0	135	64	16	115	49	1.34	7.55	3.21	4.23	4.21	1.7	1.6	394.1	3.54	0.18	4.01
93	Tyler Mahle	SFG	23	23	129.2	7	8	8	0	0	124	58	16	107	40	1.27	7.41	2.77	4.06	4.14	1.7	1.7	311.6	2.43	-3.00	4.57
94	Tatsuya Imai	HOU	26	26	150.1	8	7	11	0	0	134	72	20	148	63	1.31	8.85	3.78	4.31	4.30	1.7	1.4	999.0	6.32	-0.43	3.66
95	Ryne Nelson	ARI	28	28	159.2	9	7	12	0	0	158	75	22	130	44	1.26	7.35	2.46	4.25	4.18	1.6	1.9	257.8	2.28	-0.58	3.91
96	Cade Horton	CHC	23	23	127.1	9	7	8	0	0	116	56	16	110	40	1.23	7.77	2.85	3.98	4.14	1.6	1.8	195.6	5.59	-0.84	4.34
97	Gerrit Cole	NYY	18	18	110.0	7	5	8	0	0	98	48	16	111	33	1.19	9.08	2.68	3.92	3.98	1.6	1.7	277.5	2.77	-0.66	4.60
98	Noah Cameron	KCR	25	25	143.2	8	8	10	0	0	138	67	20	121	47	1.29	7.58	2.94	4.21	4.32	1.6	1.7	269.9	4.15	-2.47	4.04
