#	Name	Team	GS	G	IP	W	L	QS	SV	HLD	H	ER	HR	SO	BB	WHIP	K/9	BB/9	ERA	FIP	WAR	RA9-WAR	ADP
1	Tarik Skubal	DET	30	30	190.0	15	7	15	0	0	143	55	16	235	37	0.95	11.13	1.75	2.59	2.44	6.9	6.4	6.5
2	Paul Skenes	PIT	30	30	184.2	13	9	14	0	0	150	64	17	220	47	1.07	10.73	2.31	3.10	2.81	5.8	5.0	10.0
3	Cristopher Sánchez	PHI	29	29	187.1	14	8	15	0	0	165	64	14	191	44	1.12	9.17	2.12	3.07	2.87	5.2	5.0	27.2
4	Logan Webb	SFG	30	30	194.1	14	9	16	0	0	179	73	16	193	48	1.16	8.94	2.20	3.36	3.07	5.0	4.4	63.6
5	Garrett Crochet	BOS	29	29	176.2	13	8	14	0	0	147	64	20	210	41	1.06	10.68	2.06	3.26	3.03	5.0	4.3	11.1
6	Chris Sale	ATL	25	25	153.1	11	7	12	0	0	128	61	17	200	41	1.10	11.71	2.41	3.58	2.97	4.4	3.1	38.2
7	Bryan Woo	SEA	29	29	182.2	13	8	15	0	0	151	69	24	188	37	1.03	9.27	1.81	3.39	3.52	4.3	4.2	38.7
8	Hunter Greene	CIN	28	28	165.2	11	9	13	0	0	134	66	22	209	48	1.09	11.36	2.58	3.59	3.30	4.3	3.3	43.3
9	Dylan Cease	TOR	29	29	172.2	13	8	13	0	0	133	65	19	204	64	1.14	10.64	3.33	3.37	3.38	4.3	4.0	80.0
10	Max Fried	NYY	28	28	178.1	14	8	14	0	0	150	64	14	172	55	1.15	8.66	2.76	3.24	3.34	4.2	4.4	54.2
11	Jesús Luzardo	PHI	29	29	173.1	11	9	13	0	0	151	71	21	192	51	1.17	9.96	2.65	3.68	3.47	4.0	3.2	75.8
12	Yoshinobu Yamamoto	LAD	26	26	159.2	13	6	12	0	0	132	60	16	177	51	1.15	9.99	2.89	3.36	3.25	3.8	3.7	26.8
13	Cole Ragans	KCR	26	26	150.1	10	8	11	0	0	114	57	19	190	49	1.08	11.38	2.93	3.39	3.35	3.8	3.5	45.5
14	Framber Valdez	DET	28	28	183.2	13	9	15	0	0	158	68	14	167	59	1.18	8.20	2.87	3.33	3.42	3.8	4.3	95.4
15	Logan Gilbert	SEA	28	28	164.1	11	8	12	0	0	134	65	24	200	39	1.05	10.96	2.12	3.57	3.45	3.8	3.3	32.8
16	George Kirby	SEA	28	28	165.0	11	9	13	0	0	150	68	20	160	35	1.12	8.74	1.90	3.70	3.51	3.8	3.1	69.6
17	Hunter Brown	HOU	29	29	178.0	12	9	14	0	0	154	74	20	188	61	1.21	9.51	3.10	3.74	3.60	3.7	3.2	37.7
18	Jacob deGrom	TEX	25	25	152.0	10	8	12	0	0	120	58	19	169	39	1.05	9.98	2.32	3.45	3.39	3.6	3.4	46.8
