#	Name	Team	GS	G	IP	W	L	QS	SV	HLD	H	ER	HR	SO	BB	WHIP	K/9	BB/9	ERA	FIP	WAR	RA9-WAR	ADP
1	Tarik Skubal	DET	32	32	205.0	15	7	23	0	0	158	58	20	252	45	0.99	11.09	1.99	2.55	2.70	6.2	6.8	6.5
2	Paul Skenes	PIT	32	32	198.0	14	7	22	0	0	159	60	17	240	54	1.07	10.90	2.43	2.74	2.79	5.7	6.4	10.0
3	Garrett Crochet	BOS	32	32	197.0	14	8	22	0	0	159	64	19	242	52	1.07	11.02	2.38	2.90	2.86	5.6	5.8	11.1
4	Cristopher Sánchez	PHI	32	32	204.0	15	8	21	0	0	177	70	18	207	53	1.13	9.14	2.33	3.09	3.13	5.2	5.7	27.2
5	Logan Webb	SFG	32	32	205.0	13	9	21	0	0	192	74	17	201	48	1.18	8.83	2.12	3.25	3.09	4.6	4.6	63.6
6	Hunter Greene	CIN	31	31	183.0	12	8	20	0	0	141	66	25	233	64	1.12	11.47	3.16	3.24	3.54	4.1	4.8	43.3
7	Chris Sale	ATL	28	28	166.0	13	7	18	0	0	132	56	19	201	48	1.08	10.87	2.59	3.02	3.15	3.9	4.6	38.2
8	Bryan Woo	SEA	32	32	200.0	14	9	21	0	0	167	70	25	214	46	1.06	9.59	2.06	3.14	3.44	3.9	4.3	38.7
9	Max Fried	NYY	31	31	188.0	14	9	19	0	0	164	69	18	184	59	1.19	8.81	2.85	3.32	3.51	3.9	3.9	54.2
10	Hunter Brown	HOU	31	31	183.0	12	9	19	0	0	157	68	19	201	62	1.20	9.91	3.04	3.36	3.44	3.8	4.0	37.7
11	Cole Ragans	KCR	29	29	173.0	12	8	18	0	0	142	65	19	206	62	1.18	10.73	3.21	3.37	3.38	3.8	3.9	45.5
12	Sonny Gray	BOS	31	31	180.0	12	9	18	0	0	168	73	21	190	49	1.21	9.53	2.48	3.68	3.49	3.8	3.5	133.0
13	Framber Valdez	DET	31	31	189.0	13	9	19	0	0	173	74	16	177	64	1.25	8.47	3.03	3.52	3.48	3.8	3.6	95.4
14	Jesús Luzardo	PHI	31	31	180.0	13	9	18	0	0	152	70	22	203	58	1.17	10.14	2.89	3.48	3.60	3.7	4.0	75.8
15	Jacob deGrom	TEX	29	29	174.0	11	8	18	0	0	145	66	23	192	48	1.10	9.92	2.46	3.41	3.58	3.6	3.5	46.8
16	Drew Rasmussen	TBR	31	31	170.0	11	9	19	0	0	151	64	18	167	49	1.18	8.85	2.62	3.38	3.53	3.5	3.6	155.2
17	George Kirby	SEA	31	31	177.0	13	8	19	0	0	156	63	21	176	35	1.08	8.94	1.78	3.21	3.38	3.5	3.6	69.6
18	Logan Gilbert	SEA	29	29	167.0	12	7	19	0	0	136	57	20	189	40	1.06	10.17	2.16	3.05	3.30	3.5	3.7	32.8
19	Zack Wheeler	PHI	24	24	146.0	11	6	15	0	0	118	52	18	172	40	1.08	10.61	2.47	3.19	3.31	3.5	3.9	119.3
20	Yoshinobu Yamamoto	LAD	26	26	149.0	13	7	16	0	0	123	53	16	170	51	1.16	10.29	3.06	3.22	3.36	3.5	3.7	26.8
21	Dylan Cease	TOR	32	32	189.0	13	10	19	0	0	156	75	23	220	75	1.22	10.45	3.55	3.55	3.74	3.4	3.4	80.0
22	Nathan Eovaldi	TEX	29	29	176.0	11	9	17	0	0	161	71	20	168	49	1.19	8.57	2.50	3.65	3.65	3.4	3.0	150.7
23	José Soriano	LAA	31	31	176.0	11	9	18	0	0	159	70	13	167	77	1.34	8.57	3.95	3.59	3.64	3.3	3.3	411.7
24	Chase Burns	CIN	23	31	130.0	9	4	15	0	1	99	43	15	171	44	1.10	11.80	3.06	2.96	3.18	3.2	3.7	104.5
25	Joe Ryan	MIN	29	29	171.0	11	9	17	0	0	150	69	25	188	42	1.12	9.89	2.21	3.62	3.72	3.2	3.2	71.9
26	Pablo López	MIN	29	29	171.0	11	9	16	0	0	160	72	21	169	45	1.20	8.90	2.37	3.78	3.70	3.1	2.8	140.0
27	Blake Snell	LAD	26	26	152.0	13	7	16	0	0	117	56	17	188	68	1.22	11.15	4.06	3.33	3.60	3.1	3.6	94.5
28	Ranger Suárez	BOS	29	29	170.0	11	10	15	0	0	168	77	19	152	50	1.28	8.07	2.64	4.06	3.78	3.0	2.4	173.9
29	Tyler Glasnow	LAD	24	24	138.0	12	7	15	0	0	111	52	16	161	52	1.18	10.48	3.39	3.39	3.58	2.9	3.1	118.8
30	Kyle Bradish	BAL	26	26	146.0	10	8	15	0	0	129	57	17	159	48	1.21	9.79	2.93	3.52	3.54	2.9	2.8	69.8
31	Trey Yesavage	TOR	26	36	158.0	11	5	16	0	1	124	60	19	194	69	1.22	11.03	3.95	3.39	3.67	2.8	3.0	144.4
32	Ryan Pepiot	TBR	31	31	174.0	10	9	18	0	0	151	72	24	186	62	1.22	9.61	3.21	3.73	3.98	2.8	2.9	133.5
33	Kevin Gausman	TOR	31	31	184.0	12	10	17	0	0	170	80	25	180	58	1.24	8.84	2.85	3.94	4.02	2.8	2.4	125.7
34	Nick Lodolo	CIN	28	28	151.0	10	9	15	0	0	139	64	21	156	43	1.20	9.28	2.54	3.79	3.89	2.8	2.9	129.4
35	Emmet Sheehan	LAD	24	44	152.0	11	4	15	0	1	122	58	21	189	53	1.15	11.15	3.11	3.43	3.65	2.8	2.9	129.2
36	Reid Detmers	LAA	24	34	151.0	10	5	15	0	1	125	58	19	174	55	1.20	10.39	3.28	3.45	3.68	2.8	3.0	353.6
37	Sandy Alcantara	MIA	31	31	186.0	11	10	17	0	0	181	83	21	162	60	1.30	7.87	2.90	4.05	3.97	2.7	2.7	152.7
38	Jack Flaherty	DET	29	29	167.0	11	9	16	0	0	150	70	22	181	58	1.24	9.76	3.11	3.79	3.85	2.7	2.6	228.0
39	MacKenzie Gore	TEX	29	29	166.0	11	9	16	0	0	141	70	22	184	64	1.24	10.00	3.47	3.78	3.90	2.7	2.6	176.6
40	Aaron Nola	PHI	31	31	180.0	12	10	16	0	0	168	81	26	175	51	1.22	8.75	2.56	4.06	4.06	2.7	2.6	209.1
41	Shohei Ohtani	LAD	23	23	115.0	10	6	14	0	0	88	40	13	141	40	1.11	10.99	3.12	3.08	3.35	2.7	3.0	1.3
42	Tanner Bibee	CLE	31	31	181.0	10	10	17	0	0	168	77	24	172	54	1.23	8.56	2.70	3.86	3.96	2.7	2.5	185.1
43	Nick Pivetta	SDP	29	29	176.0	11	9	17	0	0	150	73	26	192	57	1.18	9.82	2.90	3.76	3.98	2.6	2.8	98.5
44	Grayson Rodriguez	LAA	23	23	127.0	8	6	14	0	0	108	48	15	143	42	1.18	10.14	2.97	3.41	3.56	2.6	2.7	263.8
45	Eury Pérez	MIA	28	28	151.0	9	8	16	0	0	126	60	21	173	54	1.19	10.26	3.18	3.59	3.82	2.6	3.0	85.6
46	Michael King	SDP	29	29	166.0	10	9	17	0	0	143	68	21	174	59	1.22	9.47	3.23	3.71	3.91	2.6	2.8	127.7
47	Quinn Priester	MIL	29	29	170.0	11	9	16	0	0	163	73	19	151	55	1.28	7.99	2.91	3.89	3.95	2.5	2.6	276.4
48	Mitch Keller	PIT	31	31	179.0	11	10	16	0	0	179	83	23	158	54	1.30	7.97	2.71	4.18	4.04	2.5	2.3	609.0
49	Cody Ponce	TOR	24	47	177.0	10	10	14	0	1	168	80	24	172	52	1.25	8.79	2.66	4.06	3.94	2.5	1.9	277.1
50	Spencer Strider	ATL	28	28	158.0	11	9	16	0	0	135	67	22	181	57	1.21	10.31	3.23	3.80	3.84	2.5	2.7	95.0
51	Gavin Williams	CLE	31	31	176.0	10	10	17	0	0	155	75	20	182	77	1.32	9.32	3.92	3.86	4.00	2.5	2.5	147.5
52	Yusei Kikuchi	LAA	31	31	177.0	10	10	16	0	0	160	80	25	173	62	1.25	8.80	3.15	4.09	4.17	2.5	2.2	552.3
53	Freddy Peralta	NYM	29	29	167.0	12	9	16	0	0	141	70	23	184	64	1.22	9.89	3.42	3.74	3.98	2.4	2.6	58.7
54	Joe Musgrove	SDP	28	28	156.0	10	9	16	0	0	144	66	21	149	42	1.19	8.57	2.41	3.77	3.90	2.4	2.4	218.9
55	Brady Singer	CIN	31	31	175.0	11	11	16	0	0	171	84	25	161	59	1.31	8.29	3.01	4.32	4.28	2.4	2.2	352.1
56	David Peterson	NYM	29	29	171.0	12	9	16	0	0	163	75	17	151	66	1.34	7.93	3.47	3.97	3.98	2.3	2.2	490.6
57	Kris Bubic	KCR	24	34	151.0	9	5	13	0	1	147	68	17	139	49	1.30	8.30	2.93	4.08	3.85	2.3	1.9	214.2
58	Edward Cabrera	CHC	26	26	142.0	10	8	15	0	0	120	57	16	157	60	1.27	10.00	3.82	3.61	3.78	2.3	2.7	186.5
59	Braxton Garrett	MIA	23	31	134.0	8	4	13	0	1	135	59	16	119	31	1.23	7.98	2.05	3.94	3.69	2.3	2.0	627.8
60	Zac Gallen	ARI	31	31	187.0	11	11	16	0	0	184	87	24	174	62	1.32	8.40	3.01	4.21	4.07	2.3	2.3	223.3
61	Nolan McLean	NYM	26	26	151.0	11	8	15	0	0	133	62	15	149	64	1.30	8.91	3.79	3.69	3.89	2.3	2.5	96.3
62	Gerrit Cole	NYY	23	23	129.0	9	7	13	0	0	111	52	18	140	40	1.17	9.75	2.76	3.59	3.83	2.3	2.3	277.5
63	Braxton Ashcraft	PIT	23	45	143.0	9	4	13	0	1	136	59	15	136	48	1.28	8.54	3.00	3.73	3.69	2.2	2.3	266.5
64	Luis Castillo	SEA	31	31	180.0	12	10	17	0	0	162	76	25	170	53	1.20	8.53	2.67	3.79	4.04	2.2	2.1	173.3
65	Shane McClanahan	TBR	24	24	144.0	8	8	13	0	0	127	63	18	138	50	1.23	8.63	3.11	3.92	4.04	2.2	2.1	217.1
66	Brayan Bello	BOS	28	28	160.0	10	10	14	0	0	168	78	18	133	56	1.40	7.51	3.15	4.42	4.10	2.2	1.6	453.3
67	Bubba Chandler	PIT	26	36	160.0	10	6	15	0	1	147	70	18	159	66	1.33	8.97	3.71	3.92	4.02	2.2	2.5	152.4
68	Jacob Misiorowski	MIL	24	36	145.0	10	4	15	0	1	109	55	17	181	75	1.28	11.25	4.70	3.41	3.86	2.2	2.9	121.9
69	Brandon Woodruff	MIL	28	28	157.0	10	9	15	0	0	137	69	24	158	47	1.17	9.03	2.70	3.92	4.12	2.2	2.3	105.1
70	Shane Baz	BAL	28	28	160.0	11	9	15	0	0	145	71	21	163	61	1.29	9.19	3.47	4.02	4.10	2.1	1.9	200.1
71	Casey Mize	DET	28	28	154.0	10	9	14	0	0	151	71	20	135	44	1.27	7.90	2.58	4.13	4.08	2.1	1.8	281.0
72	Mason Miller	SDP	0	66	66.0	5	3	0	32	2	38	15	6	102	27	0.99	13.97	3.66	2.06	2.49	2.1	2.9	28.4
73	Jhoan Duran	PHI	0	70	70.0	6	3	0	29	3	53	19	4	85	23	1.09	10.90	3.00	2.42	2.63	2.1	2.6	39.9
74	Carlos Rodón	NYY	28	28	159.0	11	9	15	0	0	136	69	23	167	61	1.24	9.43	3.42	3.90	4.21	2.1	2.1	195.9
75	Shane Bieber	TOR	21	21	124.0	8	7	11	0	0	120	54	15	113	34	1.24	8.24	2.44	3.95	3.83	2.1	1.7	210.7
