#	Name	Team	GS	G	IP	W	L	QS	SV	HLD	H	ER	HR	SO	BB	WHIP	K/9	BB/9	ERA	FIP	WAR	RA9-WAR	ADP
1	Tarik Skubal	DET	32	32	199.2	14	9	23	0	0	160	62	20	243	44	1.02	10.93	1.96	2.80	2.78	5.9	5.8	6.5
2	Paul Skenes	PIT	32	32	194.0	13	9	21	0	0	158	63	18	237	52	1.08	10.99	2.40	2.92	2.78	5.7	5.7	10.0
3	Garrett Crochet	BOS	32	32	193.0	14	9	21	0	0	158	65	20	238	50	1.08	11.11	2.33	3.03	2.86	5.5	5.4	11.1
4	Cristopher Sánchez	PHI	32	32	198.0	14	9	21	0	0	182	69	17	191	51	1.18	8.70	2.30	3.14	3.21	4.7	5.1	27.2
5	Cole Ragans	KCR	29	29	172.0	12	9	17	0	0	140	63	18	210	62	1.18	11.01	3.26	3.28	3.24	4.2	4.2	45.5
6	Chris Sale	ATL	28	28	168.2	12	8	18	0	0	140	60	18	206	44	1.09	10.98	2.36	3.20	3.04	4.2	4.3	38.2
7	Logan Webb	SFG	32	32	199.1	13	10	21	0	0	194	74	17	187	47	1.21	8.45	2.13	3.32	3.14	4.1	3.9	63.6
8	Jacob deGrom	TEX	29	29	174.2	11	9	17	0	0	152	68	24	202	40	1.10	10.43	2.05	3.52	3.35	4.0	3.4	46.8
9	Dylan Cease	TOR	32	32	185.0	12	10	17	0	0	157	73	22	217	68	1.21	10.56	3.29	3.58	3.54	3.9	3.4	80.0
10	Sonny Gray	BOS	31	31	181.1	12	10	17	0	0	172	75	21	189	48	1.21	9.39	2.38	3.71	3.46	3.8	3.5	133.0
11	Framber Valdez	DET	31	31	190.1	12	10	19	0	0	180	73	16	176	62	1.27	8.32	2.93	3.44	3.45	3.7	3.6	95.4
12	Max Fried	NYY	31	31	189.1	13	9	20	0	0	177	70	19	179	54	1.22	8.53	2.58	3.33	3.51	3.7	3.7	54.2
13	Hunter Brown	HOU	31	31	184.1	12	10	18	0	0	165	74	21	200	61	1.23	9.77	2.98	3.63	3.55	3.6	3.3	37.7
14	Hunter Greene	CIN	31	31	183.2	11	11	17	0	0	156	80	28	220	62	1.18	10.78	3.01	3.92	3.91	3.6	3.5	43.3
15	Jesús Luzardo	PHI	31	31	181.0	12	10	17	0	0	158	72	23	198	57	1.19	9.83	2.86	3.56	3.66	3.5	3.9	75.8
16	Zack Wheeler	PHI	24	24	145.0	10	7	15	0	0	121	51	17	167	37	1.09	10.33	2.27	3.19	3.22	3.5	3.8	119.3
17	Yoshinobu Yamamoto	LAD	26	26	154.1	11	7	15	0	0	139	59	17	163	47	1.20	9.47	2.75	3.45	3.46	3.4	3.3	26.8
18	Nathan Eovaldi	TEX	29	29	174.2	11	9	17	0	0	165	71	20	171	45	1.20	8.83	2.30	3.65	3.59	3.4	3.0	150.7
19	Joe Ryan	MIN	29	29	172.2	11	10	16	0	0	155	73	25	189	42	1.14	9.85	2.18	3.81	3.69	3.3	3.0	71.9
20	Bryan Woo	SEA	32	32	195.0	12	10	19	0	0	176	78	26	195	44	1.13	9.02	2.03	3.60	3.67	3.3	2.9	38.7
21	Ranger Suárez	BOS	29	29	171.2	11	10	16	0	0	170	72	18	153	49	1.28	8.02	2.59	3.75	3.71	3.2	3.2	173.9
22	Logan Gilbert	SEA	29	29	166.1	11	9	16	0	0	145	63	21	182	39	1.10	9.82	2.09	3.41	3.40	3.1	2.9	32.8
23	George Kirby	SEA	31	31	178.1	12	10	17	0	0	166	70	22	174	34	1.12	8.77	1.70	3.52	3.50	3.1	2.8	69.6
24	Pablo López	MIN	29	29	172.1	11	10	16	0	0	164	73	21	172	45	1.21	8.97	2.33	3.80	3.67	3.1	2.8	140.0
25	Brandon Woodruff	MIL	28	28	163.2	10	9	15	0	0	147	70	24	172	45	1.17	9.46	2.46	3.84	3.86	3.0	2.8	105.1
26	José Soriano	LAA	31	31	177.1	11	11	16	0	0	169	72	15	164	75	1.38	8.35	3.83	3.67	3.79	3.0	3.1	411.7
27	Blake Snell	LAD	26	26	151.0	11	7	14	0	0	123	59	18	185	66	1.25	11.03	3.94	3.54	3.59	3.0	3.1	94.5
28	Aaron Nola	PHI	31	31	180.2	11	10	16	0	0	174	80	26	175	47	1.22	8.71	2.33	3.97	3.97	3.0	3.0	209.1
29	Michael King	SDP	29	29	166.2	11	10	15	0	0	150	70	22	173	58	1.25	9.34	3.12	3.81	3.93	2.9	2.7	127.7
30	Kevin Gausman	TOR	31	31	185.1	11	10	17	0	0	177	83	25	181	55	1.25	8.80	2.65	4.02	3.92	2.9	2.3	125.7
31	Shane McClanahan	TBR	24	24	142.1	9	8	14	0	0	129	56	18	154	42	1.20	9.72	2.63	3.57	3.57	2.9	2.7	217.1
32	Tyler Glasnow	LAD	24	24	138.2	10	7	13	0	0	117	55	16	161	51	1.21	10.49	3.31	3.60	3.53	2.9	2.8	118.8
33	Kyle Bradish	BAL	26	26	145.0	10	8	13	0	0	134	60	17	153	45	1.24	9.47	2.81	3.71	3.66	2.8	2.4	69.8
34	Drew Rasmussen	TBR	31	31	171.0	10	10	15	0	0	170	75	22	156	45	1.26	8.23	2.36	3.93	3.83	2.8	2.5	155.2
35	Freddy Peralta	NYM	29	29	168.1	11	9	15	0	0	145	71	22	185	62	1.23	9.90	3.33	3.80	3.92	2.7	2.6	58.7
36	MacKenzie Gore	TEX	29	29	161.1	10	9	14	0	0	142	69	21	182	61	1.26	10.16	3.41	3.82	3.82	2.7	2.5	176.6
37	Spencer Strider	ATL	28	28	161.0	11	9	15	0	0	139	68	21	187	58	1.23	10.49	3.23	3.83	3.73	2.7	2.9	95.0
38	Chase Burns	CIN	23	31	132.0	8	8	11	0	1	116	54	18	150	42	1.19	10.21	2.83	3.72	3.69	2.6	2.6	104.5
39	Eury Pérez	MIA	28	28	154.0	9	10	13	0	0	135	69	22	171	54	1.22	10.01	3.14	4.01	3.92	2.6	2.5	85.6
40	Nick Pivetta	SDP	29	29	174.0	11	10	16	0	0	156	77	27	191	54	1.20	9.90	2.79	3.97	3.97	2.6	2.5	98.5
41	Jack Flaherty	DET	29	29	163.0	10	10	14	0	0	149	71	21	176	57	1.27	9.73	3.16	3.90	3.86	2.6	2.4	228.0
42	Yusei Kikuchi	LAA	31	31	177.2	10	11	15	0	0	166	81	26	182	63	1.29	9.20	3.19	4.10	4.15	2.6	2.4	552.3
43	Shohei Ohtani	LAD	23	23	117.0	9	6	10	0	0	98	45	15	136	36	1.15	10.49	2.79	3.46	3.49	2.6	2.5	1.3
44	Sandy Alcantara	MIA	31	31	186.2	10	12	16	0	0	190	86	22	158	56	1.32	7.63	2.70	4.17	4.01	2.5	2.5	152.7
45	Cody Ponce	TOR	24	47	161.2	10	9	12	0	1	157	71	20	157	46	1.25	8.76	2.56	3.94	3.81	2.5	1.9	277.1
46	Emmet Sheehan	LAD	24	44	153.2	10	8	11	0	1	134	67	23	173	54	1.22	10.15	3.14	3.93	3.99	2.4	2.3	129.2
47	Nick Lodolo	CIN	28	28	154.1	9	9	13	0	0	146	69	22	158	43	1.22	9.18	2.50	4.03	4.05	2.4	2.6	129.4
48	Kris Bubic	KCR	24	34	149.1	9	9	12	0	1	143	64	17	141	52	1.31	8.51	3.13	3.88	3.87	2.4	2.3	214.2
49	Merrill Kelly	ARI	29	29	172.2	10	10	15	0	0	173	79	22	158	53	1.31	8.23	2.75	4.12	3.96	2.4	2.5	235.6
50	Trey Yesavage	TOR	26	36	160.2	10	9	14	0	1	139	68	20	177	65	1.27	9.94	3.65	3.79	3.84	2.4	2.4	144.4
51	Luis Castillo	SEA	31	31	181.1	11	10	16	0	0	171	78	25	171	51	1.22	8.50	2.53	3.87	3.99	2.3	2.0	173.3
52	Tanner Bibee	CLE	31	31	182.0	10	11	16	0	0	175	83	26	172	56	1.27	8.48	2.75	4.09	4.15	2.3	2.1	185.1
53	Joe Musgrove	SDP	28	28	159.0	10	9	14	0	0	153	69	22	150	41	1.22	8.51	2.31	3.91	3.97	2.3	2.2	218.9
54	Grayson Rodriguez	LAA	23	23	129.0	8	8	11	0	0	117	55	17	136	44	1.25	9.46	3.05	3.81	3.83	2.3	2.2	263.8
55	Mitch Keller	PIT	31	31	179.2	10	12	15	0	0	182	87	23	155	55	1.32	7.78	2.75	4.35	4.15	2.3	2.1	609.0
56	Brady Singer	CIN	31	31	175.2	10	11	14	0	0	176	85	27	164	56	1.32	8.39	2.87	4.37	4.36	2.3	2.3	352.1
57	Carlos Rodón	NYY	28	28	161.2	10	9	14	0	0	145	72	23	175	59	1.26	9.74	3.26	4.02	4.05	2.2	2.1	195.9
