i#	Name	Team	GS	G	IP	W	L	QS	SV	HLD	H	ER	HR	SO	BB	WHIP	K/9	BB/9	ERA	FIP	WAR	RA9-WAR	ADP
1	Tarik Skubal	DET	30	30	184.0	13	5		0	0	140	52	16	226	34	0.95	11.05	1.66	2.54	2.46	6.3	6.2	6.5
2	Garrett Crochet	BOS	30	30	184.1	15	6		0	0	152	57	18	230	49	1.09	11.23	2.39	2.78	2.77	5.5	5.8	11.1
3	Paul Skenes	PIT	32	32	179.2	13	6		0	0	143	55	16	204	46	1.05	10.22	2.30	2.75	2.87	5.0	5.9	10.0
4	Logan Webb	SFG	32	32	200.1	16	8		0	0	184	68	15	190	42	1.13	8.54	1.89	3.06	2.92	5.0	5.2	63.6
5	Cristopher Sánchez	PHI	29	29	178.1	10	6		0	0	162	65	16	172	42	1.14	8.68	2.12	3.28	3.18	4.3	4.5	27.2
6	Yoshinobu Yamamoto	LAD	28	28	168.2	13	7		0	0	129	62	18	180	43	1.02	9.60	2.29	3.31	3.24	4.1	4.0	26.8
7	Max Fried	NYY	28	28	171.0	13	8		0	0	147	64	14	156	49	1.15	8.21	2.58	3.37	3.34	3.8	3.7	54.2
8	Hunter Brown	HOU	28	30	167.2	13	6		0	0	138	57	16	178	55	1.15	9.55	2.95	3.06	3.34	3.6	4.3	37.7
9	Dylan Cease	TOR	30	30	164.2	11	8		0	0	136	66	19	192	64	1.21	10.49	3.50	3.61	3.54	3.6	3.1	80.0
10	Andrew Abbott	CIN	30	30	166.0	9	8		0	0	156	70	20	148	48	1.23	8.02	2.60	3.80	3.86	3.4	3.2	211.1
11	Ranger Suárez	BOS	27	28	155.0	12	7		0	0	150	60	14	135	45	1.26	7.84	2.61	3.48	3.52	3.2	3.4	173.9
12	Hunter Greene	CIN	24	24	137.0	8	6		0	0	100	54	16	159	43	1.04	10.45	2.82	3.55	3.56	3.2	3.2	43.3
13	Bryan Woo	SEA	27	28	162.0	11	8		0	0	133	60	20	165	34	1.03	9.17	1.89	3.33	3.48	3.2	3.1	38.7
14	Jesús Luzardo	PHI	28	28	160.1	11	9		0	0	142	71	21	179	49	1.19	10.05	2.75	3.99	3.60	3.2	2.5	75.8
15	Sonny Gray	BOS	27	27	154.0	11	8		0	0	147	64	19	160	41	1.22	9.35	2.40	3.74	3.54	3.1	2.9	133.0
16	Framber Valdez	DET	27	27	175.0	13	8		0	0	153	66	16	162	59	1.21	8.33	3.03	3.39	3.62	3.1	3.8	95.4
17	Cole Ragans	KCR	22	24	118.0	8	5		0	0	95	46	12	148	41	1.15	11.29	3.13	3.51	3.07	3.1	2.5	45.5
18	MacKenzie Gore	TEX	29	29	157.2	11	9		0	0	136	67	18	181	58	1.23	10.33	3.31	3.82	3.60	3.0	2.4	176.6
19	George Kirby	SEA	27	27	147.2	11	7		0	0	136	58	17	146	27	1.10	8.90	1.65	3.53	3.32	3.0	2.4	69.6
20	Logan Gilbert	SEA	29	30	160.1	9	6		0	0	133	61	21	175	39	1.07	9.83	2.19	3.42	3.48	3.0	2.9	32.8
21	Chris Sale	ATL	21	22	124.2	9	4		0	0	105	43	13	150	34	1.11	10.83	2.45	3.10	3.10	2.9	3.4	38.2
22	Kevin Gausman	TOR	28	28	162.1	11	9		0	0	152	68	21	157	46	1.22	8.71	2.55	3.77	3.77	2.9	2.6	125.7
23	Jacob deGrom	TEX	26	26	144.2	10	7		0	0	119	56	20	154	35	1.06	9.58	2.18	3.48	3.57	2.9	2.8	46.8
24	Joe Ryan	MIN	28	28	155.1	11	10		0	0	134	65	23	169	36	1.09	9.79	2.09	3.77	3.75	2.9	2.7	71.9
25	Pablo López	MIN	25	25	141.1	10	7		0	0	131	58	16	141	37	1.19	8.98	2.36	3.69	3.52	2.8	2.5	140.0
26	Zack Wheeler	PHI	21	21	128.2	9	5		0	0	110	49	14	133	35	1.13	9.30	2.45	3.43	3.44	2.7	3.0	119.3
27	Freddy Peralta	NYM	30	30	160.2	12	9		0	0	133	69	21	174	61	1.21	9.74	3.42	3.86	3.94	2.6	2.4	58.7
28	Spencer Strider	ATL	24	25	137.1	11	9		0	0	117	59	17	164	46	1.19	10.75	3.02	3.87	3.51	2.6	2.3	95.0
29	Corbin Burnes	ARI	25	25	155.0	11	6		0	0	132	55	15	144	48	1.16	8.36	2.79	3.19	3.58	2.6	4.1	735.1
30	Tanner Bibee	CLE	28	28	165.0	11	9		0	0	150	68	21	153	48	1.20	8.35	2.62	3.71	3.94	2.5	2.7	185.1
31	Chase Burns	CIN	21	27	104.2	7	6		0	1	92	44	14	123	28	1.15	10.57	2.41	3.78	3.33	2.5	2.0	104.5
32	Aaron Nola	PHI	24	24	139.2	9	8		0	0	133	66	20	140	34	1.20	9.02	2.19	4.25	3.81	2.5	1.8	209.1
33	Shane McClanahan	TBR	20	20	111.1	8	5		0	0	95	41	13	117	30	1.12	9.46	2.43	3.32	3.41	2.5	2.6	217.1
34	Sandy Alcantara	MIA	26	26	160.0	10	9		0	0	148	71	17	130	44	1.20	7.31	2.48	3.99	3.83	2.5	2.5	152.7
35	Spencer Schwellenbach	ATL	20	20	124.2	8	5		0	0	111	47	15	122	23	1.07	8.81	1.66	3.39	3.42	2.4	2.8	198.4
36	Brady Singer	CIN	31	31	164.0	11	12		0	0	155	80	23	158	53	1.27	8.67	2.91	4.39	4.20	2.4	2.1	352.1
37	Jack Leiter	TEX	28	28	149.0	10	9		0	0	126	67	17	140	59	1.24	8.46	3.56	4.05	4.03	2.4	1.9	241.7
38	Drew Rasmussen	TBR	28	29	136.2	8	6		0	0	120	54	16	116	35	1.13	7.64	2.30	3.56	3.82	2.3	2.7	155.2
39	Matthew Boyd	CHC	26	26	143.0	10	7		0	0	132	61	17	126	40	1.20	7.93	2.52	3.84	3.88	2.3	2.3	232.1
40	Justin Steele	CHC	24	24	130.1	8	5		0	0	119	51	14	121	35	1.18	8.36	2.42	3.52	3.57	2.3	2.6	420.3
41	Mitch Keller	PIT	29	29	161.0	9	10		0	0	157	72	19	140	48	1.27	7.83	2.68	4.02	4.03	2.3	2.5	609.0
42	Kyle Bradish	BAL	20	20	100.0	5	4		0	0	85	39	10	106	32	1.17	9.54	2.88	3.51	3.43	2.3	1.9	69.8
43	Bailey Ober	MIN	27	27	147.0	7	8		0	1	142	69	23	132	34	1.20	8.08	2.08	4.22	4.17	2.2	1.6	320.3
44	Nick Pivetta	SDP	26	28	156.0	9	9		0	0	131	67	25	170	46	1.13	9.81	2.65	3.87	4.00	2.2	2.3	98.5
45	Kris Bubic	KCR	19	23	106.0	8	5		0	1	98	42	10	105	35	1.25	8.92	2.97	3.57	3.46	2.2	2.2	214.2
46	David Peterson	NYM	27	28	146.0	7	7		0	0	140	66	13	133	58	1.36	8.20	3.58	4.07	3.81	2.2	1.8	490.6
47	Brandon Pfaadt	ARI	29	29	159.1	10	9		0	0	160	73	21	145	35	1.22	8.19	1.98	4.12	3.84	2.2	2.2	687.8
48	Michael King	SDP	22	23	119.0	8	6		0	0	103	47	14	127	45	1.24	9.61	3.40	3.55	3.82	2.2	2.2	127.7
49	Blake Snell	LAD	21	21	106.1	8	5		0	0	83	42	12	134	48	1.23	11.35	4.06	3.56	3.49	2.2	2.2	94.5
50	Jack Flaherty	DET	26	27	141.1	10	9		0	0	127	65	19	157	53	1.27	10.00	3.38	4.14	3.93	2.2	1.7	228.0
51	Brayan Bello	BOS	30	31	163.1	11	10		0	0	157	73	17	136	58	1.32	7.50	3.20	4.02	4.05	2.2	2.5	453.3
