#	Name	Team	GS	G	IP	W	L	QS	SV	HLD	H	ER	HR	SO	BB	WHIP	K/9	BB/9	ERA	FIP	WAR	RA9-WAR	ADP
1	Tarik Skubal	DET	32	32	199.0	14	5		0	0	151	56	17	244	37	0.95	11.05	1.66	2.54	2.46	6.8	6.8	6.5
2	Garrett Crochet	BOS	32	32	199.0	16	6		0	0	164	62	19	248	53	1.09	11.23	2.39	2.78	2.77	5.9	6.3	11.1
3	Paul Skenes	PIT	32	32	182.0	13	6		0	0	145	56	16	207	47	1.05	10.22	2.30	2.75	2.87	5.1	5.9	10.0
4	Logan Webb	SFG	32	32	203.0	16	8		0	0	186	69	15	192	43	1.13	8.54	1.89	3.06	2.92	5.1	5.3	63.6
5	Cristopher Sánchez	PHI	32	32	199.0	11	7		0	0	181	73	18	192	47	1.14	8.68	2.12	3.28	3.18	4.7	5.0	27.2
6	Max Fried	NYY	31	31	188.0	14	9		0	0	162	70	15	171	54	1.15	8.21	2.58	3.37	3.34	4.2	4.0	54.2
7	Hunter Greene	CIN	31	31	176.0	10	8		0	0	128	69	21	204	55	1.04	10.45	2.82	3.55	3.56	4.1	4.1	43.3
8	Cole Ragans	KCR	29	29	154.0	10	7		0	0	124	60	16	193	53	1.15	11.29	3.13	3.51	3.07	4.0	3.3	45.5
9	Hunter Brown	HOU	31	31	182.0	14	7		0	0	150	62	17	193	60	1.15	9.55	2.95	3.06	3.34	4.0	4.7	37.7
10	Dylan Cease	TOR	32	32	178.0	12	9		0	0	147	71	21	207	69	1.21	10.49	3.50	3.61	3.54	3.9	3.3	80.0
11	Chris Sale	ATL	28	28	162.0	12	5		0	0	137	56	17	195	44	1.11	10.83	2.45	3.10	3.10	3.8	4.4	38.2
12	Bryan Woo	SEA	32	32	193.0	13	10		0	0	159	72	24	197	41	1.03	9.17	1.89	3.33	3.48	3.8	3.6	38.7
13	Yoshinobu Yamamoto	LAD	26	26	156.0	12	6		0	0	119	57	17	167	40	1.02	9.60	2.29	3.31	3.24	3.8	3.7	26.8
14	Framber Valdez	DET	31	31	200.0	15	9		0	0	174	75	18	185	67	1.21	8.33	3.03	3.39	3.62	3.6	4.4	95.4
15	Sonny Gray	BOS	31	31	176.0	13	9		0	0	168	73	22	182	47	1.22	9.35	2.40	3.74	3.54	3.6	3.3	133.0
16	Jesús Luzardo	PHI	31	31	176.0	12	10		0	0	156	78	23	197	54	1.19	10.05	2.75	3.99	3.60	3.5	2.7	75.8
17	Ranger Suárez	BOS	29	29	166.0	13	8		0	0	161	64	15	145	48	1.26	7.84	2.61	3.48	3.52	3.5	3.6	173.9
18	George Kirby	SEA	31	31	168.0	13	8		0	0	155	66	19	166	31	1.10	8.90	1.65	3.53	3.32	3.4	2.7	69.6
19	Andrew Abbott	CIN	29	29	161.0	9	8		0	0	152	68	19	144	47	1.23	8.02	2.60	3.80	3.86	3.3	3.1	211.1
20	Jacob deGrom	TEX	29	29	162.0	11	8		0	0	133	63	22	173	39	1.06	9.58	2.18	3.48	3.57	3.3	3.2	46.8
21	Pablo López	MIN	29	29	165.0	12	8		0	0	153	68	19	164	43	1.19	8.98	2.36	3.69	3.52	3.3	3.0	140.0
22	Kevin Gausman	TOR	31	31	178.0	12	10		0	0	167	75	23	173	51	1.22	8.71	2.55	3.77	3.77	3.2	2.8	125.7
23	Aaron Nola	PHI	31	31	179.0	12	10		0	0	171	85	26	180	44	1.20	9.02	2.19	4.25	3.81	3.2	2.3	209.1
24	Zack Wheeler	PHI	24	24	149.0	10	6		0	0	127	57	16	154	40	1.13	9.30	2.45	3.43	3.44	3.1	3.5	119.3
25	MacKenzie Gore	TEX	29	29	159.0	11	9		0	0	137	67	18	182	58	1.23	10.33	3.31	3.82	3.60	3.0	2.5	176.6
26	Shane McClanahan	TBR	24	24	135.0	10	6		0	0	115	50	16	142	36	1.12	9.46	2.43	3.32	3.41	3.0	3.2	217.1
27	Spencer Strider	ATL	28	28	156.0	13	10		0	0	133	67	19	187	52	1.19	10.75	3.02	3.87	3.51	3.0	2.6	95.0
28	Joe Ryan	MIN	29	29	162.0	11	10		0	0	140	68	24	176	37	1.09	9.79	2.09	3.77	3.75	3.0	2.8	71.9
29	Logan Gilbert	SEA	29	29	160.0	9	6		0	0	133	61	21	175	39	1.07	9.83	2.19	3.42	3.48	3.0	2.8	32.8
30	Sandy Alcantara	MIA	31	31	189.0	12	11		0	0	175	84	20	154	52	1.20	7.31	2.48	3.99	3.83	2.9	2.9	152.7
31	Kyle Bradish	BAL	26	26	130.0	6	5		0	0	110	51	13	137	41	1.17	9.54	2.88	3.51	3.43	2.9	2.6	69.8
32	Michael King	SDP	29	29	156.0	11	8		0	0	135	62	18	167	59	1.24	9.61	3.40	3.55	3.82	2.9	2.9	127.7
33	Kris Bubic	KCR	24	34	140.0	11	7		0	1	130	56	13	139	46	1.25	8.92	2.97	3.57	3.46	2.8	2.8	214.2
34	Tanner Bibee	CLE	31	31	181.0	12	10		0	0	165	75	23	168	53	1.20	8.35	2.62	3.71	3.94	2.8	3.0	185.1
35	Brandon Woodruff	MIL	28	28	134.0	10	7		0	0	116	54	18	143	36	1.13	9.62	2.40	3.61	3.66	2.8	2.6	105.1
36	Chase Burns	CIN	23	31	115.0	8	7		0	1	101	48	15	135	31	1.15	10.57	2.41	3.78	3.33	2.7	2.1	104.5
37	Blake Snell	LAD	26	26	131.0	10	6		0	0	102	52	15	165	59	1.23	11.35	4.06	3.56	3.49	2.7	2.7	94.5
38	José Soriano	LAA	31	31	175.0	11	10		0	0	156	79	15	163	77	1.34	8.41	3.98	4.05	3.90	2.7	2.4	411.7
39	Matthew Boyd	CHC	29	29	160.0	11	8		0	0	148	68	19	141	45	1.20	7.93	2.52	3.84	3.88	2.6	2.5	232.1
40	Freddy Peralta	NYM	29	29	156.0	12	9		0	0	129	67	20	169	59	1.21	9.74	3.42	3.86	3.94	2.5	2.3	58.7
41	Nathan Eovaldi	TEX	29	29	172.0	10	10		0	0	156	75	23	156	45	1.17	8.15	2.38	3.91	3.95	2.5	2.4	150.7
42	Drew Rasmussen	TBR	31	31	149.0	9	7		0	0	131	59	17	127	38	1.13	7.64	2.30	3.56	3.82	2.5	3.0	155.2
43	Steven Matz	TBR	23	37	136.0	6	6		0	1	137	58	17	126	35	1.26	8.36	2.33	3.84	3.73	2.5	2.0	718.4
44	Nick Pivetta	SDP	29	29	173.0	10	10		0	0	145	74	28	188	51	1.13	9.81	2.65	3.87	4.00	2.5	2.6	98.5
45	Jack Flaherty	DET	29	29	157.0	11	10		0	0	141	72	21	175	59	1.27	10.00	3.38	4.14	3.93	2.4	1.9	228.0
46	Reid Detmers	LAA	24	34	141.0	9	9		0	1	123	65	17	160	48	1.21	10.21	3.09	4.12	3.65	2.4	1.6	353.6
47	Braxton Ashcraft	PIT	23	45	153.0	9	9		0	1	147	61	16	140	43	1.24	8.22	2.52	3.61	3.62	2.4	2.9	266.5
48	Brady Singer	CIN	31	31	163.0	11	12		0	0	154	79	23	157	53	1.27	8.67	2.91	4.39	4.20	2.4	2.1	352.1
49	Mitch Keller	PIT	31	31	171.0	10	11		0	0	167	76	20	149	51	1.27	7.83	2.68	4.02	4.03	2.4	2.6	609.0
50	Jhoan Duran	PHI	0	70	70.0	9	3		29	3	54	20	3	85	21	1.06	10.93	2.70	2.56	2.37	2.4	2.4	39.9
51	David Peterson	NYM	29	29	157.0	8	8		0	0	150	71	14	143	62	1.36	8.20	3.58	4.07	3.81	2.4	2.0	490.6
52	Carlos Rodón	NYY	28	28	148.0	11	9		0	0	130	67	18	150	54	1.24	9.12	3.27	4.04	3.92	2.4	1.8	195.9
53	Jack Leiter	TEX	28	28	147.0	10	9		0	0	124	66	17	138	58	1.24	8.46	3.56	4.05	4.03	2.4	1.9	241.7
54	Luis Castillo	SEA	31	31	177.0	11	9		0	0	162	74	24	163	50	1.20	8.26	2.55	3.77	4.02	2.4	2.2	173.3
55	Tyler Glasnow	LAD	24	24	127.0	6	5		0	0	102	53	17	148	47	1.18	10.51	3.33	3.76	3.67	2.4	2.2	118.8
56	Clay Holmes	NYM	28	28	151.0	11	9		0	0	153	66	12	121	52	1.35	7.21	3.11	3.90	3.80	2.3	2.2	410.7
57	Michael Wacha	KCR	29	29	159.0	10	11		0	0	154	72	19	121	46	1.27	6.86	2.63	4.10	4.16	2.3	2.2	689.9
58	Nick Lodolo	CIN	28	28	148.0	9	8		0	0	134	70	20	151	40	1.18	9.15	2.45	4.24	4.04	2.3	2.2	129.4
59	Mason Miller	SDP	0	66	66.0	3	1		32	2	37	18	6	108	24	0.92	14.73	3.21	2.48	2.29	2.3	2.4	28.4
60	Jeffrey Springs	ATH	31	31	166.0	11	11		0	0	161	76	25	141	51	1.28	7.67	2.79	4.12	4.33	2.3	2.3	702.8
61	Luis Severino	ATH	31	31	179.0	9	12		0	0	178	88	22	140	55	1.31	7.04	2.78	4.46	4.30	2.3	1.7	688.4
62	Emmet Sheehan	LAD	24	44	136.0	8	6		0	1	111	60	19	156	48	1.17	10.33	3.17	3.99	3.81	2.2	1.8	129.2
63	Trevor Rogers	BAL	26	26	135.0	8	6		0	0	130	59	16	117	41	1.27	7.82	2.77	3.95	3.91	2.2	1.8	165.3
64	Brandon Pfaadt	ARI	29	29	160.0	10	9		0	0	161	73	21	146	35	1.22	8.19	1.98	4.12	3.84	2.2	2.2	687.8
65	Shane Smith	CHW	29	29	151.0	7	8		0	0	127	67	18	146	55	1.21	8.71	3.30	3.98	4.08	2.2	2.1	254.7
66	Gavin Williams	CLE	31	31	160.0	10	7		0	0	136	64	19	163	66	1.26	9.22	3.71	3.59	3.98	2.2	2.9	147.5
67	Gerrit Cole	NYY	23	23	137.0	8	6		0	0	121	60	19	132	39	1.17	8.69	2.58	3.91	3.98	2.2	2.0	277.5
68	Joe Musgrove	SDP	28	28	156.0	9	9		0	0	148	67	19	139	41	1.21	8.04	2.38	3.87	4.02	2.1	2.3	218.9
