#	Name	Team	G	PA	AB	H	2B	3B	HR	R	RBI	BB	SO	HBP	SB	CS	AVG	OBP	SLG	OPS	wOBA	wRC+	BsR	Fld	Off	Def	WAR	ADP	Vol	Skew	Dim
1	Aaron Judge	NYY	145	638	512	149	25	1	47	108	112	114	157	6	9	3	.290	.422	.615	1.037	.432	182	-1.5	0.8	60.0	-6.2	7.7	1.9	4.12	-1.04	3.02
2	Bobby Witt Jr.	KCR	151	659	598	174	37	6	28	100	92	48	113	7	34	9	.291	.347	.516	.864	.365	136	3.3	5.0	31.1	12.0	6.7	3.1	3.31	-0.39	4.11
3	Shohei Ohtani	LAD	149	660	559	158	27	5	46	121	109	92	159	5	24	7	.283	.386	.598	.984	.410	167	1.2	0.0	53.2	-14.0	6.3	1.3	4.08	0.97	3.71
4	Juan Soto	NYM	155	678	544	149	25	1	39	109	99	125	122	4	21	5	.273	.409	.535	.945	.402	161	-0.2	-6.6	48.6	-13.9	5.9	4.7	1.00	0.63	4.02
5	Gunnar Henderson	BAL	152	660	582	157	33	4	26	97	82	67	140	6	24	5	.270	.349	.477	.825	.354	130	2.5	-0.4	25.8	6.7	5.6	12.5	2.27	-0.33	4.41
6	Julio Rodríguez	SEA	152	660	600	163	28	3	30	95	91	47	146	9	28	6	.271	.332	.478	.810	.346	130	1.8	4.6	24.9	6.8	5.6	9.5	2.16	1.15	4.64
7	Cal Raleigh	SEA	149	619	534	122	22	0	39	85	100	75	167	6	8	2	.229	.328	.494	.822	.348	131	-1.6	3.3	20.8	10.0	5.3	18.7	2.74	-1.20	2.67
8	José Ramírez	CLE	151	649	575	157	33	3	28	92	89	64	74	4	33	8	.273	.347	.485	.833	.353	129	2.1	0.5	24.0	1.3	4.9	6.3	2.70	0.91	4.27
9	Fernando Tatis Jr.	SDP	149	648	567	153	28	2	29	99	80	71	128	6	26	6	.270	.355	.479	.834	.359	131	1.9	5.6	25.9	-1.5	4.7	14.0	2.69	-0.13	4.32
10	Ketel Marte	ARI	140	612	532	147	29	2	28	88	85	67	99	7	5	2	.275	.361	.499	.860	.367	136	-0.6	0.2	25.5	0.2	4.7	32.6	3.23	-0.58	3.83
11	Ronald Acuña Jr.	ATL	144	629	533	149	25	2	28	105	77	86	134	7	25	7	.280	.385	.494	.879	.379	145	2.2	-3.2	35.7	-10.6	4.7	5.3	3.26	0.51	4.04
12	Kyle Tucker	LAD	143	620	528	142	28	2	30	94	88	85	92	3	23	5	.269	.371	.498	.869	.372	140	1.1	0.1	30.5	-6.5	4.6	13.1	1.81	-0.32	4.63
13	Francisco Lindor	NYM	142	628	555	143	28	1	25	92	77	56	115	11	23	5	.258	.335	.447	.782	.339	117	0.9	2.9	13.8	9.0	4.5	25.4	2.97	-1.23	4.28
14	Corey Seager	TEX	123	526	459	125	24	0	26	71	76	59	98	4	2	1	.273	.360	.499	.859	.364	136	-1.5	0.3	21.2	4.3	4.5	95.1	3.00	0.35	3.89
