#	Name	Team	G	PA	AB	H	2B	3B	HR	R	RBI	BB	SO	HBP	SB	CS	AVG	OBP	SLG	OPS	wOBA	wRC+	BsR	Fld	Off	Def	WAR	ADP
1	Aaron Judge	NYY	145	638	518	149	24	1	49	105	118	109	159	6	8	3	.287	.414	.618	1.032	.426	179	-0.7	-2.3	58.9	-9.3	7.3	1.9
2	Cal Raleigh	SEA	149	619	534	125	23	0	43	87	110	73	169	6	8	2	.234	.331	.523	.853	.359	139	-0.2	15.0	27.9	21.6	7.3	18.7
3	Shohei Ohtani	LAD	149	660	560	159	26	6	46	122	116	90	156	5	23	11	.284	.385	.600	.985	.409	166	-0.9	0.0	51.1	-14.0	6.0	1.3
4	Juan Soto	NYM	155	678	547	146	25	1	37	107	97	122	121	4	17	6	.266	.402	.518	.920	.393	158	-0.2	-3.0	46.4	-10.3	6.0	4.7
5	Bobby Witt Jr.	KCR	151	659	599	170	36	6	27	100	91	48	114	6	35	10	.285	.341	.502	.843	.358	128	2.0	3.7	23.7	10.7	5.8	3.1
6	Julio Rodríguez	SEA	152	660	599	166	28	4	30	96	91	48	148	9	25	7	.277	.338	.486	.824	.352	134	1.2	0.5	27.4	2.7	5.4	9.5
7	Gunnar Henderson	BAL	152	660	583	157	33	4	27	97	83	65	142	6	20	5	.269	.345	.479	.824	.353	129	0.9	-1.3	23.7	5.7	5.3	12.5
8	José Ramírez	CLE	151	649	576	160	33	3	29	94	90	61	74	4	33	10	.277	.348	.499	.847	.355	130	1.4	0.6	24.5	1.4	4.9	6.3
9	Francisco Lindor	NYM	142	628	553	143	27	2	27	88	80	54	117	10	22	6	.259	.333	.461	.794	.342	123	0.9	1.0	18.3	7.1	4.7	25.4
10	Corey Seager	TEX	123	526	454	125	24	1	27	70	83	59	97	5	2	1	.276	.362	.511	.872	.369	140	-0.8	-0.1	24.1	4.0	4.7	95.1
11	William Contreras	MIL	144	600	523	138	26	1	19	72	76	67	118	5	6	2	.265	.351	.427	.778	.339	119	-0.6	5.5	12.7	12.6	4.6	56.6
12	Kyle Tucker	LAD	143	620	528	144	29	2	29	96	88	82	88	4	18	6	.272	.371	.502	.873	.372	141	0.3	0.4	30.6	-6.3	4.6	13.1
13	Yordan Alvarez	HOU	131	559	476	141	29	1	30	83	89	70	91	8	4	1	.296	.391	.553	.944	.397	159	-0.7	-0.4	38.1	-12.4	4.6	33.4
14	Ketel Marte	ARI	140	612	533	146	29	3	28	85	93	67	101	6	5	2	.273	.358	.497	.855	.365	135	-0.8	-0.2	24.5	-0.2	4.6	32.6
15	Corbin Carroll	ARI	139	606	527	137	28	9	25	98	75	64	129	8	33	7	.259	.346	.488	.834	.357	129	2.7	7.1	23.5	0.9	4.6	14.1
16	Fernando Tatis Jr.	SDP	149	648	567	151	27	3	27	96	83	70	129	6	24	7	.267	.352	.471	.822	.354	132	0.9	4.3	25.4	-2.7	4.5	14.0
17	Ronald Acuña Jr.	ATL	144	629	533	146	25	2	28	100	82	83	136	8	28	8	.275	.379	.487	.867	.374	141	1.3	-2.8	32.0	-10.2	4.4	5.3
18	Junior Caminero	TBR	149	636	584	159	25	1	37	83	106	41	122	5	5	1	.271	.322	.508	.830	.352	126	-0.4	-0.4	19.4	1.3	4.4	16.5
19	Mookie Betts	LAD	143	622	544	146	30	2	22	85	80	64	71	6	9	3	.268	.347	.454	.801	.346	123	-0.4	-1.6	16.8	4.9	4.3	60.6
20	Vladimir Guerrero Jr.	TOR	153	663	578	169	32	1	27	92	92	73	89	7	6	2	.292	.376	.490	.866	.371	141	-0.9	-0.4	30.9	-12.4	4.2	18.0
21	Trea Turner	PHI	143	627	572	163	29	4	19	86	76	39	114	5	25	6	.284	.333	.448	.781	.338	115	1.3	-0.4	12.6	6.2	4.1	26.8
22	Willy Adames	SFG	152	649	568	134	27	1	28	83	84	68	165	4	12	3	.236	.320	.436	.755	.327	112	0.1	0.8	9.2	7.8	4.0	133.9
23	Wyatt Langford	TEX	143	613	533	133	28	2	23	85	73	70	144	6	20	5	.250	.342	.444	.786	.341	121	0.8	5.5	15.8	1.7	3.9	37.8
24	Will Smith	LAD	124	497	424	110	21	2	20	68	67	57	93	9	3	1	.260	.356	.460	.815	.352	127	-0.7	-2.5	15.5	6.4	3.9	95.7
25	Elly De La Cruz	CIN	149	640	574	148	30	5	23	94	72	57	179	3	39	11	.258	.326	.446	.772	.331	108	2.6	0.6	8.4	7.2	3.8	8.4
26	Adley Rutschman	BAL	138	559	489	122	25	1	17	65	64	61	89	4	1	0	.250	.335	.410	.745	.325	110	-0.9	5.6	5.8	11.5	3.7	148.9
27	Alejandro Kirk	TOR	122	484	428	113	20	0	13	55	55	46	58	5	0	0	.263	.338	.403	.741	.324	108	-0.8	7.3	4.0	15.9	3.7	160.3
28	Zach Neto	LAA	148	634	568	141	29	1	27	85	76	43	159	16	27	8	.249	.317	.449	.766	.330	111	1.2	-1.7	9.2	5.2	3.7	32.3
29	Jazz Chisholm Jr.	NYY	140	585	520	124	18	3	30	88	72	55	157	5	32	8	.239	.315	.459	.774	.332	115	2.3	1.8	12.2	3.8	3.7	19.5
30	Geraldo Perdomo	ARI	151	649	551	143	27	4	14	83	60	73	89	7	18	5	.259	.350	.395	.745	.329	110	0.3	-0.3	7.7	6.7	3.7	76.8
31	Shea Langeliers	ATH	128	525	478	123	25	2	30	73	79	39	120	4	6	2	.258	.317	.508	.825	.350	123	-0.2	-3.7	14.0	3.5	3.6	54.0
32	Nick Kurtz	ATH	143	579	499	128	25	2	37	88	93	72	178	4	3	1	.257	.353	.537	.890	.377	141	-0.7	-0.7	27.4	-11.9	3.6	19.9
33	Matt Chapman	SFG	145	614	534	127	27	3	24	81	74	69	150	6	9	2	.238	.329	.432	.761	.331	115	0.0	1.2	10.7	3.4	3.5	163.6
34	Pete Crow-Armstrong	CHC	147	619	563	139	28	5	23	88	70	35	153	8	34	8	.248	.298	.440	.739	.316	104	2.8	5.8	5.7	8.1	3.5	32.9
35	Jackson Merrill	SDP	143	606	555	149	32	2	22	76	79	41	119	3	9	3	.268	.319	.456	.775	.332	117	-0.2	0.1	11.9	2.1	3.5	70.8
36	Jeremy Peña	HOU	137	590	538	148	26	2	17	76	66	34	107	10	16	5	.275	.327	.425	.752	.327	110	0.4	-0.4	7.5	6.0	3.5	123.0
