#	Name	Team	G	PA	AB	H	2B	3B	HR	R	RBI	BB	SO	HBP	SB	CS	AVG	OBP	SLG	OPS	wOBA	wRC+	BsR	Fld	Off	Def	WAR	ADP
1	Aaron Judge	NYY	145	638	518	149	26	0	50	106	120	108	162	6	8	3	.287	.413	.626	1.039	.429	181	-0.7	-2.3	60.0	-9.3	7.4	1.9
2	Bobby Witt Jr.	KCR	151	659	599	175	35	6	31	105	97	48	113	6	37	8	.292	.348	.526	.873	.369	136	3.0	3.7	30.9	10.7	6.6	3.1
3	Cal Raleigh	SEA	149	619	534	120	22	1	39	81	102	73	171	6	7	3	.224	.323	.487	.809	.343	127	-0.5	15.0	19.5	21.6	6.4	18.7
4	Shohei Ohtani	LAD	149	660	559	159	31	3	47	121	118	91	157	5	25	8	.285	.387	.604	.991	.412	168	0.6	0.0	53.9	-14.0	6.3	1.3
5	Juan Soto	NYM	155	678	548	148	26	0	38	108	100	121	123	4	17	6	.270	.404	.528	.932	.397	161	-0.5	-3.0	48.5	-10.3	6.2	4.7
6	Julio Rodríguez	SEA	152	660	599	164	26	6	28	96	87	48	146	9	26	7	.273	.335	.478	.813	.348	131	1.4	0.5	25.2	2.7	5.2	9.5
7	Gunnar Henderson	BAL	152	660	583	156	35	3	25	94	80	65	140	6	21	5	.267	.344	.465	.808	.348	125	0.9	-1.3	20.7	5.7	5.0	12.5
8	Fernando Tatis Jr.	SDP	149	648	567	155	28	4	29	100	85	70	129	6	23	7	.273	.357	.490	.847	.363	138	0.6	4.3	29.9	-2.7	5.0	14.0
9	Vladimir Guerrero Jr.	TOR	153	663	579	173	31	1	32	98	98	72	88	7	6	2	.299	.381	.520	.901	.384	150	-1.0	-0.4	37.8	-12.4	4.9	18.0
10	Corey Seager	TEX	123	526	454	125	24	1	28	71	83	60	99	5	2	1	.276	.362	.515	.877	.371	141	-0.8	-0.1	24.8	4.0	4.8	95.1
11	Ketel Marte	ARI	140	612	533	147	31	2	29	86	95	67	101	6	5	2	.276	.361	.503	.864	.369	137	-0.8	-0.2	26.2	-0.2	4.7	32.6
12	Yordan Alvarez	HOU	131	559	476	139	27	1	33	84	92	70	93	8	4	1	.292	.387	.565	.952	.400	160	-0.7	-0.4	39.0	-12.4	4.7	33.4
