#	Name	Team	G	PA	AB	H	2B	3B	HR	R	RBI	BB	SO	HBP	SB	CS	AVG	OBP	SLG	OPS	wOBA	wRC+	BsR	Fld	Off	Def	WAR	ADP
1	Aaron Judge	NYY	149	644	518	148	25	1	44	111	114	114	160	6	9	2	.287	.418	.596	1.014	.419	174	-1.4	2.6	54.8	-4.6	7.4	1.9
2	Bobby Witt Jr.	KCR	157	679	615	179	39	7	29	104	96	51	115	7	33	10	.291	.348	.517	.866	.366	134	3.3	7.0	30.3	14.3	6.9	3.1
3	Cal Raleigh	SEA	159	637	549	127	23	0	40	89	102	78	173	5	7	2	.231	.330	.491	.821	.347	130	-1.7	4.7	20.8	11.9	6.3	18.7
4	Juan Soto	NYM	159	686	546	148	25	2	37	114	102	130	121	4	22	6	.271	.412	.529	.941	.401	163	0.2	-7.2	51.8	-14.7	6.1	4.7
5	Julio Rodríguez	SEA	159	686	623	170	30	2	32	97	102	49	151	10	27	7	.274	.335	.481	.816	.349	131	1.8	6.5	27.1	8.8	6.1	9.5
6	Gunnar Henderson	BAL	156	672	591	162	32	5	28	101	87	70	140	6	23	5	.274	.354	.487	.840	.360	134	2.6	-2.1	29.6	5.1	5.9	12.5
7	Shohei Ohtani	LAD	157	679	575	161	28	5	46	127	115	93	165	5	26	6	.280	.383	.587	.970	.402	162	1.8	0.0	51.5	-17.0	5.8	1.3
8	Fernando Tatis Jr.	SDP	156	672	586	160	30	2	31	105	89	75	132	6	25	6	.273	.360	.491	.851	.365	139	1.9	6.7	33.3	-0.7	5.6	14.0
9	Ronald Acuña Jr.	ATL	151	651	547	156	26	2	31	115	84	93	133	7	27	6	.286	.395	.511	.906	.390	152	2.8	-4.1	43.1	-11.9	5.4	5.3
10	Francisco Lindor	NYM	151	651	575	149	30	1	26	96	81	58	120	11	23	5	.260	.337	.451	.788	.341	122	1.1	3.6	18.4	10.1	5.1	25.4
11	José Ramírez	CLE	157	679	602	165	35	3	29	94	97	66	81	4	32	7	.274	.347	.488	.835	.349	126	2.2	1.7	23.3	2.5	5.0	6.3
12	Elly De La Cruz	CIN	156	672	598	158	32	7	25	98	91	66	175	4	41	10	.264	.339	.466	.806	.345	117	4.6	0.9	18.1	7.9	4.9	8.4
13	Corbin Carroll	ARI	147	637	554	143	26	12	27	104	87	68	136	9	34	7	.259	.346	.494	.840	.359	130	5.1	4.8	27.9	-1.8	4.8	14.1
14	Alejandro Kirk	TOR	125	495	435	118	20	0	15	52	62	50	61	4	1	0	.272	.349	.420	.768	.335	116	-2.1	5.9	7.2	14.6	4.8	160.3
15	Wyatt Langford	TEX	149	644	558	146	30	3	27	92	87	75	145	6	22	6	.262	.352	.471	.823	.354	130	1.4	4.6	24.2	0.6	4.8	37.8
16	Geraldo Perdomo	ARI	159	686	582	156	30	4	15	93	76	84	91	8	23	6	.269	.365	.411	.776	.342	119	1.1	0.4	16.4	7.8	4.8	76.8
17	Kyle Tucker	LAD	151	651	554	148	28	2	32	101	97	88	96	4	22	4	.267	.369	.498	.867	.371	140	1.6	-0.6	32.5	-7.6	4.8	13.1
18	Mookie Betts	LAD	151	651	567	155	31	3	23	94	87	73	77	4	9	2	.273	.357	.460	.817	.353	128	-0.5	-3.0	21.0	3.9	4.8	60.6
19	Vladimir Guerrero Jr.	TOR	157	679	590	174	34	0	32	97	104	77	92	6	5	2	.294	.380	.517	.896	.381	148	-1.4	-1.3	36.7	-13.6	4.8	18.0
20	Pete Crow-Armstrong	CHC	149	644	590	150	30	5	26	91	88	35	154	9	35	9	.254	.303	.456	.759	.325	110	3.2	11.9	10.6	14.2	4.7	32.9
21	Ketel Marte	ARI	147	637	554	152	31	3	27	95	84	70	105	7	6	1	.275	.361	.489	.849	.363	133	-0.5	-0.2	24.7	-0.1	4.7	32.6
22	Junior Caminero	TBR	154	665	610	165	29	1	39	88	116	46	127	4	6	2	.270	.323	.514	.837	.356	129	-0.4	-1.5	22.0	0.3	4.6	16.5
23	Patrick Bailey	SFG	133	525	474	108	21	2	11	53	53	41	136	3	3	0	.227	.290	.349	.639	.282	81	-0.7	12.2	-12.6	22.4	4.5	747.9
24	Jackson Merrill	SDP	146	630	577	157	31	5	24	80	88	41	121	4	7	3	.273	.323	.471	.794	.339	122	0.3	4.8	16.5	6.8	4.5	70.8
25	William Contreras	MIL	152	610	531	143	29	1	20	80	78	71	116	4	6	2	.270	.358	.440	.798	.347	124	-1.2	-0.1	16.0	7.5	4.5	56.6
26	Corey Seager	TEX	131	567	496	133	26	0	27	78	81	62	105	5	3	0	.269	.354	.486	.840	.356	131	-1.5	0.6	19.6	4.9	4.5	95.1
27	Yordan Alvarez	HOU	130	560	477	141	28	1	30	81	89	70	97	7	3	1	.295	.389	.549	.938	.394	157	-1.6	-0.1	35.9	-11.9	4.4	33.4
28	Matt Chapman	SFG	156	672	584	142	32	2	27	90	81	75	165	8	9	3	.243	.335	.444	.779	.338	119	-0.5	3.3	15.0	5.7	4.4	163.6
29	Trea Turner	PHI	149	644	590	166	30	4	19	92	72	43	117	6	27	5	.281	.334	.441	.775	.336	114	3.9	0.2	14.4	7.1	4.4	26.8
30	Bo Bichette	NYM	152	658	607	175	35	1	19	80	86	43	108	4	6	3	.289	.338	.447	.785	.339	121	-0.8	4.2	15.9	4.8	4.4	92.9
31	Zach Neto	LAA	154	665	594	150	34	1	28	93	85	47	162	18	28	9	.253	.324	.457	.781	.336	114	1.3	-1.4	12.7	5.7	4.2	32.3
32	Nico Hoerner	CHC	154	665	608	171	30	4	10	80	67	42	63	10	27	7	.282	.336	.392	.727	.319	106	2.3	7.7	7.0	10.1	4.0	101.9
33	Adley Rutschman	BAL	141	566	495	126	26	1	18	68	67	63	89	3	1	0	.255	.340	.423	.763	.333	115	-1.2	2.7	8.9	8.8	3.9	148.9
34	Willy Adames	SFG	157	679	597	140	29	1	26	83	85	72	167	4	12	4	.235	.319	.420	.739	.321	108	-0.1	2.1	6.2	9.4	3.9	133.9
35	Gabriel Moreno	ARI	112	443	393	110	20	1	11	52	53	43	76	4	4	2	.279	.352	.421	.773	.337	115	-0.5	5.3	7.6	13.0	3.8	181.2
36	Alex Bregman	CHC	156	672	584	147	29	1	23	85	85	73	95	9	3	1	.251	.340	.426	.766	.334	116	-1.7	0.9	11.3	3.3	3.8	119.2
37	Dansby Swanson	CHC	159	686	619	149	28	2	22	82	80	58	173	4	16	4	.241	.308	.399	.707	.308	98	1.3	6.6	0.1	13.9	3.8	152.3
38	Maikel Garcia	KCR	154	665	598	163	34	4	13	87	70	57	99	2	27	7	.272	.334	.407	.741	.324	104	1.9	6.1	5.3	8.6	3.8	63.2
39	Bryce Harper	PHI	154	665	573	156	37	0	29	90	95	82	143	5	11	3	.272	.365	.488	.853	.364	133	-0.2	0.5	26.1	-11.5	3.8	47.9
40	Masyn Winn	STL	149	644	585	150	30	3	15	83	66	46	116	6	12	4	.257	.315	.391	.707	.309	100	0.7	7.6	0.4	14.5	3.7	364.8
41	Austin Riley	ATL	156	672	606	159	31	2	30	88	93	53	174	8	3	1	.262	.326	.470	.797	.342	119	-1.0	-2.6	14.5	-0.6	3.7	59.4
42	Byron Buxton	MIN	130	560	501	124	25	5	30	86	78	44	156	9	17	2	.248	.318	.496	.814	.345	122	2.6	0.4	16.9	0.0	3.7	73.5
43	Jeremy Peña	HOU	144	623	570	154	29	2	18	79	69	36	111	11	17	5	.271	.325	.422	.747	.324	109	1.2	0.5	7.4	7.2	3.7	123.0
44	Michael Harris II	ATL	133	574	539	149	27	5	21	71	77	24	110	5	19	5	.276	.311	.459	.770	.329	111	1.4	5.1	8.8	7.2	3.6	99.1
45	Manny Machado	SDP	149	644	583	154	29	0	27	82	92	54	127	3	9	2	.265	.327	.455	.782	.335	119	-0.6	-0.1	14.0	-0.4	3.6	37.5
46	Cody Bellinger	NYY	143	616	554	148	26	3	24	82	90	50	91	4	11	3	.267	.329	.458	.787	.337	118	0.2	5.6	13.1	0.5	3.6	81.0
47	Jacob Wilson	ATH	143	616	568	167	35	1	14	75	80	35	48	7	6	2	.294	.341	.431	.772	.336	113	-0.7	-2.3	8.6	4.2	3.5	196.4
48	Nick Kurtz	ATH	143	616	534	138	28	1	36	97	98	74	173	4	3	1	.258	.350	.518	.868	.369	136	-0.7	-1.6	25.5	-12.8	3.5	19.9
49	Freddie Freeman	LAD	151	651	569	161	36	2	23	89	90	68	121	9	8	2	.284	.367	.478	.844	.361	134	-1.1	-0.9	24.8	-12.6	3.5	67.9
50	Riley Greene	DET	151	651	584	154	30	3	29	84	96	58	177	5	3	2	.263	.333	.474	.807	.346	123	-1.0	2.4	16.3	-4.9	3.5	78.5
51	Xander Bogaerts	SDP	141	609	547	147	28	1	14	69	65	50	108	5	16	3	.268	.332	.399	.731	.319	108	1.2	-0.3	7.0	6.3	3.4	237.2
52	Jackson Chourio	MIL	151	651	599	163	36	4	25	92	88	40	131	4	23	7	.272	.319	.469	.788	.337	117	1.9	3.7	14.9	-3.3	3.4	19.4
53	Austin Wells	NYY	117	461	411	95	21	1	19	53	64	39	113	5	5	1	.230	.302	.426	.728	.315	103	-0.2	0.2	1.3	8.9	3.4	246.1
54	Roman Anthony	BOS	146	630	536	141	30	3	19	92	71	83	157	5	9	4	.263	.365	.437	.803	.351	122	-0.5	3.3	16.1	-5.0	3.4	50.8
55	Pete Alonso	BAL	157	679	598	158	33	1	37	88	108	61	152	13	2	1	.263	.342	.506	.848	.360	134	-2.2	-2.7	24.9	-15.5	3.4	24.4
56	Steven Kwan	CLE	154	665	591	166	28	3	11	86	60	61	62	5	18	5	.280	.352	.395	.746	.329	112	1.0	-2.0	10.6	-0.9	3.3	169.6
57	Matt Olson	ATL	159	686	595	150	33	1	31	91	97	81	166	5	1	0	.253	.345	.471	.816	.351	126	-1.8	3.0	18.9	-9.3	3.3	48.0
58	James Wood	WSN	149	644	557	145	32	2	28	90	84	78	187	3	16	6	.261	.353	.476	.829	.356	129	0.0	-0.3	22.4	-11.4	3.3	37.8
59	Kevin McGonigle	DET	126	546	477	121	28	3	16	69	67	59	76	4	10	4	.253	.336	.426	.762	.332	113	-0.8	1.4	7.6	6.0	3.3	999.0
60	Brice Turang	MIL	151	651	582	152	27	3	15	83	70	60	134	2	29	7	.262	.330	.396	.726	.318	104	2.4	2.1	5.9	4.6	3.3	48.2
61	Luke Keaschall	MIN	131	567	494	132	29	2	12	72	68	56	94	13	25	7	.267	.354	.407	.760	.335	115	1.2	0.0	11.1	1.5	3.3	114.8
62	Will Smith	LAD	126	500	429	109	21	2	19	66	65	57	98	8	2	1	.255	.350	.442	.792	.343	121	-1.6	0.0	10.9	9.1	3.2	95.7
63	Jazz Chisholm Jr.	NYY	139	602	532	128	20	2	29	79	87	59	158	5	31	8	.241	.321	.447	.768	.331	114	2.5	-3.4	12.4	-1.4	3.2	19.5
64	Drake Baldwin	ATL	139	571	509	136	25	2	22	70	77	54	104	5	1	0	.267	.342	.457	.799	.346	122	-1.1	-0.9	13.9	-0.7	3.2	78.6
65	Brent Rooker	ATH	156	672	596	159	32	2	35	90	110	65	170	7	7	2	.266	.342	.504	.847	.361	130	-0.7	0.0	23.3	-15.5	3.2	42.1
66	Marcus Semien	NYM	149	644	574	138	24	2	20	82	75	59	107	5	9	2	.241	.314	.394	.708	.310	101	0.1	6.1	1.0	8.2	3.1	266.3
67	Ceddanne Rafaela	BOS	141	609	566	147	32	4	18	78	77	28	129	8	21	7	.259	.302	.426	.728	.314	96	1.1	8.9	-1.4	11.0	3.1	125.0
68	Brendan Donovan	SEA	130	560	493	133	27	1	12	69	56	51	81	10	5	3	.269	.347	.399	.746	.328	117	-1.3	-0.4	10.0	1.1	3.1	268.6
69	JJ Wetherholt	STL	136	588	514	131	23	2	12	75	62	60	100	10	14	3	.254	.341	.380	.721	.319	107	0.6	2.9	5.2	5.2	3.1	999.0
70	Oneil Cruz	PIT	130	560	490	117	23	3	24	77	69	61	169	4	30	6	.240	.326	.447	.773	.332	111	3.2	-1.1	10.7	0.7	3.1	92.9
71	Rafael Devers	SFG	159	686	590	149	32	1	31	91	94	84	168	7	2	1	.252	.349	.469	.818	.349	127	-1.6	0.4	20.2	-13.1	3.1	61.6
72	Xavier Edwards	MIA	139	602	538	153	23	4	5	73	51	53	83	3	28	7	.284	.349	.370	.718	.318	102	2.3	3.6	3.7	5.7	3.0	182.4
73	Andy Pages	LAD	141	609	556	143	29	2	25	76	84	37	133	9	10	4	.256	.310	.449	.759	.327	110	-0.2	0.1	7.0	2.0	3.0	133.4
74	CJ Abrams	WSN	146	630	572	146	31	5	20	84	73	39	119	13	31	7	.255	.315	.428	.743	.321	106	3.0	-5.2	7.2	0.8	3.0	65.0
75	Gleyber Torres	DET	152	658	573	149	27	1	18	83	70	74	115	4	6	2	.259	.346	.404	.749	.330	111	-1.8	-3.1	7.0	-0.7	3.0	261.5
76	Dillon Dingler	DET	109	429	391	95	20	2	13	46	54	28	107	6	1	1	.244	.304	.404	.708	.307	96	-0.6	5.2	-2.6	13.5	3.0	254.6
77	Josh Naylor	SEA	144	623	561	152	30	0	23	75	92	51	93	5	18	3	.271	.334	.450	.785	.336	123	0.6	1.2	17.3	-10.1	2.9	67.5
78	Ezequiel Tovar	COL	151	651	605	160	36	4	21	78	79	34	157	4	9	4	.265	.306	.442	.747	.321	92	-0.3	6.7	-6.7	13.6	2.9	209.2
79	Kyle Schwarber	PHI	159	686	571	129	20	1	43	102	103	102	194	8	7	2	.226	.349	.490	.840	.360	130	-2.0	0.0	22.6	-17.0	2.9	24.7
80	Shea Langeliers	ATH	131	524	475	121	25	1	29	71	85	40	118	4	5	1	.254	.315	.495	.810	.345	119	-0.4	-4.2	11.5	3.2	2.9	54.0
81	Iván Herrera	STL	139	594	515	141	24	1	20	75	77	63	117	11	10	3	.274	.362	.440	.801	.350	128	0.0	-0.1	19.4	-10.8	2.9	178.4
82	Bryson Stott	PHI	141	609	543	140	24	3	14	73	67	55	100	4	24	5	.259	.328	.394	.721	.316	100	2.1	3.4	2.4	5.6	2.9	181.4
83	Trent Grisham	NYY	126	546	464	102	18	1	24	74	65	71	136	5	6	2	.220	.328	.421	.749	.328	112	-0.5	0.2	7.1	2.2	2.9	253.8
84	Carlos Correa	HOU	131	567	509	133	26	1	18	65	68	51	114	4	0	0	.262	.331	.420	.752	.327	110	-0.9	0.3	5.9	2.6	2.9	281.2
85	Andrés Giménez	TOR	138	595	537	136	25	2	13	69	66	34	103	16	21	4	.253	.315	.380	.695	.305	95	1.4	2.9	-2.1	9.3	2.8	412.2
86	Matt McLain	CIN	144	623	549	132	26	2	20	81	73	61	170	7	18	5	.241	.323	.407	.731	.320	100	0.9	3.5	0.9	5.9	2.8	144.3
87	Ben Rice	NYY	128	546	478	118	24	2	27	75	81	56	117	8	4	2	.247	.334	.478	.812	.349	126	-1.0	0.4	15.9	-7.2	2.8	53.2
88	Michael Busch	CHC	139	602	528	133	27	3	28	83	83	62	148	8	4	1	.251	.337	.471	.808	.348	125	-1.1	1.1	17.1	-9.7	2.8	106.5
89	Francisco Alvarez	NYM	110	438	387	92	16	1	21	55	62	42	113	6	2	0	.237	.318	.448	.766	.331	116	-0.7	-3.5	7.5	3.5	2.8	165.3
90	Yandy Díaz	TBR	151	651	575	167	31	1	20	84	76	64	98	7	3	1	.290	.365	.453	.819	.355	128	-1.8	-0.1	20.0	-15.2	2.8	138.6
91	Caleb Durbin	BOS	130	560	495	131	31	2	11	69	62	41	59	18	23	7	.264	.339	.400	.739	.326	105	1.2	1.4	4.3	3.4	2.8	219.8
92	Otto Lopez	MIA	141	609	557	150	27	3	12	68	68	43	91	4	16	6	.269	.324	.393	.717	.313	99	0.3	0.7	-0.6	7.2	2.8	229.2
93	Ernie Clement	TOR	149	644	601	165	33	3	12	75	72	28	64	5	8	4	.274	.310	.402	.711	.308	97	-0.2	4.6	-2.3	7.0	2.7	337.7
94	Brandon Nimmo	TEX	146	630	554	140	26	2	21	81	72	61	139	10	9	2	.253	.335	.424	.759	.331	114	-0.2	2.4	10.4	-5.3	2.7	145.5
95	Taylor Ward	BAL	152	658	576	141	28	2	27	84	86	70	159	6	5	2	.245	.330	.443	.774	.335	117	-1.5	-0.7	11.8	-7.8	2.7	148.4
96	Jung Hoo Lee	SFG	143	616	559	152	29	8	11	69	65	47	65	6	8	4	.272	.332	.408	.740	.323	109	-0.2	4.5	6.3	-0.7	2.7	339.4
97	Ian Happ	CHC	152	658	568	138	32	1	23	83	80	81	156	5	8	3	.243	.340	.424	.763	.334	116	-0.9	-0.1	11.5	-7.3	2.7	184.9
98	Daulton Varsho	TOR	138	595	538	122	24	4	28	79	83	46	150	5	9	3	.227	.292	.442	.733	.314	102	-0.2	2.3	1.0	4.4	2.7	192.2
99	Joey Ortiz	MIL	146	630	568	143	31	4	13	75	67	48	109	6	15	5	.251	.313	.387	.701	.307	97	0.5	-0.5	-2.1	6.3	2.6	743.4
100	Royce Lewis	MIN	133	574	523	131	26	0	24	67	79	43	123	3	13	3	.250	.307	.438	.745	.321	105	0.2	0.3	3.4	1.9	2.6	193.6
101	Jeff McNeil	ATH	134	581	517	140	29	4	13	65	64	47	71	11	4	1	.271	.341	.418	.759	.330	109	-1.5	-1.6	4.9	-0.1	2.5	440.5
102	Chase Meidroth	CHW	130	560	481	123	20	1	8	69	46	65	84	9	14	4	.256	.353	.353	.706	.318	104	-0.3	0.9	2.1	3.4	2.5	646.9
103	Jarren Duran	BOS	139	602	541	140	35	8	17	80	71	49	142	7	22	5	.259	.327	.447	.774	.334	110	3.1	2.6	10.3	-6.4	2.5	64.0
104	Seiya Suzuki	CHC	131	567	498	128	25	3	24	72	80	60	143	3	7	3	.257	.338	.467	.805	.346	125	-1.2	-1.4	15.3	-9.5	2.5	113.4
105	Trevor Story	BOS	154	665	615	156	34	2	22	82	85	38	182	6	24	3	.253	.301	.423	.724	.312	95	2.6	-4.3	-1.2	2.8	2.5	111.3
106	Colson Montgomery	CHW	139	602	538	118	20	3	27	74	83	50	181	9	3	1	.219	.295	.414	.709	.308	96	-0.8	0.8	-3.4	7.2	2.5	254.8
107	Alec Bohm	PHI	141	609	556	155	30	2	16	70	78	41	94	5	3	1	.278	.331	.429	.759	.328	109	-1.0	-2.8	5.4	-1.2	2.5	239.9
108	J.P. Crawford	SEA	136	588	507	123	23	1	12	67	53	69	113	5	5	1	.242	.336	.360	.697	.311	105	-0.6	-5.3	3.2	1.0	2.5	748.5
109	Kazuma Okamoto	TOR	130	560	499	124	24	1	24	66	74	49	95	6	3	1	.248	.321	.444	.765	.328	111	-1.0	0.0	6.4	-1.4	2.5	999.0
110	Jose Altuve	HOU	144	623	560	149	27	1	21	82	72	52	109	6	12	4	.266	.333	.429	.762	.330	113	-0.6	-5.4	8.7	-5.8	2.5	116.5
111	Wilyer Abreu	BOS	120	518	454	112	25	1	22	67	71	57	128	3	8	3	.247	.332	.449	.781	.336	112	-0.5	5.1	6.7	-0.5	2.5	199.9
112	Yainer Diaz	HOU	130	517	486	132	24	2	19	59	69	23	89	3	1	1	.272	.306	.445	.751	.322	107	-0.8	-2.1	3.4	5.5	2.5	113.0
113	Bo Naylor	CLE	115	454	398	87	20	1	17	54	55	49	109	2	4	2	.219	.306	.406	.712	.310	99	-0.7	-0.2	-1.0	8.7	2.4	574.3
114	Jordan Westburg	BAL	99	427	392	102	21	2	17	58	58	27	95	6	4	2	.260	.315	.457	.773	.333	115	-0.4	1.4	7.3	1.7	2.4	646.8
115	Isaac Paredes	HOU	115	497	425	103	19	1	21	61	67	57	85	11	1	1	.243	.346	.441	.787	.344	122	-1.2	-0.5	11.6	-5.4	2.4	243.6
116	Mike Trout	LAA	130	560	471	110	19	2	26	75	71	77	173	7	3	1	.233	.346	.443	.789	.340	118	-1.0	-0.5	10.7	-6.7	2.4	178.4
117	Jakob Marsee	MIA	134	581	498	117	23	5	13	74	59	68	124	7	35	11	.234	.333	.381	.714	.317	101	2.1	-0.9	3.0	0.9	2.4	137.1
118	Konnor Griffin	PIT	109	469	423	109	19	2	12	65	57	30	116	12	22	6	.257	.322	.395	.718	.315	99	0.9	2.0	0.4	7.1	2.4	999.0
119	Jake Cronenworth	SDP	146	630	542	129	27	3	15	74	64	68	125	13	5	2	.237	.333	.381	.715	.317	106	-0.8	-3.2	3.8	-1.7	2.4	738.3
120	Lawrence Butler	ATH	134	581	523	128	27	2	22	75	75	51	150	2	19	5	.245	.313	.429	.742	.322	103	1.3	3.7	3.6	-0.5	2.4	157.2
121	Jonathan Aranda	TBR	141	609	531	140	26	0	21	78	76	62	157	10	2	1	.263	.349	.430	.780	.340	118	-2.5	3.5	10.2	-8.3	2.3	195.6
122	Luis Robert Jr.	NYM	131	567	515	121	24	0	21	69	76	42	160	6	29	8	.236	.299	.409	.708	.306	98	1.1	2.3	-0.1	4.1	2.3	105.6
123	Max Muncy	LAD	105	455	376	83	15	1	21	60	60	68	115	6	3	0	.220	.346	.432	.778	.340	119	-1.2	-2.6	8.9	-1.2	2.3	234.4
124	Matt Wallner	MIN	110	476	409	96	22	2	22	61	66	52	148	12	5	2	.235	.337	.466	.802	.347	123	-0.8	-0.7	12.0	-6.1	2.3	340.6
125	George Springer	TOR	138	595	522	134	23	2	23	85	74	61	116	7	13	3	.257	.341	.444	.784	.341	120	0.8	-0.1	14.7	-12.8	2.3	94.4
126	Ryan Jeffers	MIN	130	523	459	112	25	1	16	58	60	49	110	11	3	1	.244	.329	.408	.737	.323	106	-1.2	-2.6	2.8	2.0	2.3	298.1
127	Nolan Arenado	ARI	141	609	555	142	28	2	18	66	80	43	88	6	3	1	.256	.313	.407	.720	.311	98	-0.9	2.6	-2.7	4.6	2.3	638.1
