#	Name	Team	G	PA	AB	H	2B	3B	HR	R	RBI	BB	SO	HBP	SB	CS	AVG	OBP	SLG	OPS	wOBA	wRC+	BsR	Fld	Off	Def	WAR	ADP
1	Aaron Judge	NYY	149	644	527	160	26	1	52	112	126	107	157	6	11	2	.304	.424	.651	1.075	.447	193	-1.4	4.5	69.5	-2.7	9.1	2.0
2	Bobby Witt Jr.	KCR	157	679	615	186	38	7	32	110	104	52	109	7	35	11	.302	.361	.544	.904	.383	145	3.8	9.7	40.0	17.0	8.2	2.8
3	Juan Soto	NYM	159	686	557	158	27	2	39	111	107	121	119	4	22	8	.285	.412	.548	.960	.408	169	-0.8	-2.3	55.0	-9.9	7.0	4.3
4	Shohei Ohtani	LAD	157	679	582	168	29	6	50	124	122	88	164	5	25	7	.289	.384	.615	.998	.417	171	1.0	0.0	58.5	-17.0	6.6	1.3
5	Gunnar Henderson	BAL	156	672	590	166	34	6	28	109	98	71	143	6	24	5	.281	.362	.504	.865	.370	141	3.2	-2.3	35.3	4.9	6.5	13.1
6	Cal Raleigh	SEA	159	637	554	134	25	1	37	85	100	73	167	6	9	3	.243	.335	.489	.824	.352	134	-2.1	10.6	23.1	17.7	6.4	18.4
7	Julio Rodríguez	SEA	159	686	621	175	32	3	29	95	98	51	148	10	29	7	.283	.344	.484	.828	.354	135	2.5	2.5	31.0	4.7	6.1	11.0
8	Fernando Tatis Jr.	SDP	156	672	590	161	31	1	31	93	93	71	133	6	26	6	.273	.354	.486	.840	.360	136	2.3	10.8	31.2	3.4	5.8	15.5
9	Ronald Acuña Jr.	ATL	151	651	553	161	28	2	32	100	97	85	133	8	25	6	.291	.390	.521	.911	.390	152	2.8	-1.3	43.0	-9.0	5.7	7.3
10	Alejandro Kirk	TOR	125	495	437	121	22	0	16	61	60	50	58	4	1	0	.277	.353	.435	.789	.343	122	-2.6	16.1	10.0	24.8	5.3	161.9
11	Elly De La Cruz	CIN	156	672	601	160	32	8	27	101	90	62	184	4	41	11	.266	.336	.480	.816	.349	120	5.0	1.0	20.7	7.9	5.2	8.9
12	Vladimir Guerrero Jr.	TOR	157	679	592	180	35	1	33	98	105	75	91	6	6	3	.304	.385	.531	.916	.391	154	-1.7	-2.6	41.7	-14.9	5.1	18.1
13	Yordan Alvarez	HOU	130	560	482	145	28	1	33	87	95	67	95	8	5	2	.301	.392	.569	.961	.407	165	-1.6	1.1	41.4	-10.7	5.1	36.0
14	Corey Seager	TEX	130	560	492	136	25	0	29	76	85	59	102	5	3	1	.276	.357	.505	.862	.368	140	-1.8	2.6	24.5	6.1	5.1	100.3
