#	Name	Team	G	PA	AB	H	2B	3B	HR	R	RBI	BB	SO	HBP	SB	CS	AVG	OBP	SLG	OPS	wOBA	wRC+	BsR	Fld	Off	Def	WAR	ADP
1	Aaron Judge	NYY	141	633	509	144	23	1	42	109	102	112	156	6	9	2	.283	.415	.583	.998	.412	170	-1.7	-0.2	50.3	-7.5	6.6	1.9
2	Bobby Witt Jr.	KCR	140	634	574	168	36	5	28	99	89	47	106	6	31	10	.293	.351	.519	.870	.368	135	3.3	6.0	29.6	13.0	6.6	3.1
3	Gunnar Henderson	BAL	146	666	582	160	32	4	28	101	84	71	134	6	24	6	.275	.357	.489	.846	.362	136	2.7	-1.7	30.6	5.6	6.1	12.5
4	Cal Raleigh	SEA	138	615	527	122	22	0	38	89	91	76	164	6	8	3	.230	.331	.487	.818	.346	129	-1.9	1.0	19.2	7.4	5.9	18.7
5	Julio Rodríguez	SEA	139	618	560	154	27	2	30	85	91	44	134	8	23	6	.275	.334	.491	.825	.352	133	1.6	5.4	25.9	7.6	5.6	9.5
6	Juan Soto	NYM	138	621	494	135	23	1	34	105	89	117	111	4	20	6	.273	.413	.533	.946	.403	165	-0.6	-6.4	47.1	-13.5	5.5	4.7
7	Shohei Ohtani	LAD	142	658	555	153	25	6	44	120	99	91	161	5	22	6	.275	.380	.578	.958	.398	158	1.0	0.0	46.5	-16.6	5.3	1.3
8	Ronald Acuña Jr.	ATL	147	676	571	163	27	2	31	109	84	91	135	7	24	6	.286	.388	.503	.891	.383	148	2.5	-3.3	40.7	-11.5	5.3	5.3
9	Fernando Tatis Jr.	SDP	136	619	539	148	28	2	30	96	82	68	120	6	23	6	.275	.360	.503	.862	.369	142	1.9	3.2	32.6	-3.8	5.1	14.0
10	Francisco Lindor	NYM	139	644	569	147	29	1	26	94	73	58	119	10	23	5	.259	.336	.452	.788	.341	123	0.8	1.6	18.1	8.1	4.9	25.4
11	Vladimir Guerrero Jr.	TOR	143	637	551	164	31	1	32	94	99	74	88	6	5	2	.297	.383	.531	.914	.387	152	-1.4	-1.3	37.6	-13.4	4.7	18.0
12	Elly De La Cruz	CIN	140	617	544	143	29	5	23	83	82	63	154	4	38	11	.263	.342	.465	.807	.345	117	4.2	1.5	16.5	8.2	4.6	8.4
13	Corbin Carroll	ARI	135	610	530	138	25	10	27	96	81	66	126	8	33	8	.261	.349	.498	.847	.362	132	5.1	2.5	28.4	-4.1	4.6	14.1
14	Mookie Betts	LAD	132	591	518	142	28	3	22	84	79	64	70	4	8	2	.274	.355	.468	.823	.355	129	-0.6	-1.8	19.9	4.8	4.5	60.6
15	Yordan Alvarez	HOU	123	543	462	138	27	2	30	83	88	69	92	8	4	1	.299	.396	.558	.955	.401	161	-1.6	-0.7	37.7	-12.7	4.5	33.4
16	Ketel Marte	ARI	130	596	518	145	30	2	26	91	74	65	98	7	6	2	.280	.365	.494	.858	.367	136	-0.5	-1.2	25.0	-1.1	4.5	32.6
17	José Ramírez	CLE	136	604	536	148	31	2	27	83	88	58	72	4	30	7	.275	.349	.492	.840	.351	128	1.9	-0.3	21.8	0.4	4.4	6.3
18	William Contreras	MIL	132	586	508	137	28	1	20	74	74	69	110	4	6	2	.270	.359	.445	.804	.349	125	-1.3	-1.4	16.4	5.4	4.3	56.6
19	Junior Caminero	TBR	132	571	523	142	25	1	36	78	97	39	111	4	5	2	.271	.324	.526	.850	.360	132	-0.6	-0.9	20.9	0.8	4.2	16.5
20	Alejandro Kirk	TOR	107	446	392	107	19	1	14	54	56	46	55	4	1	0	.274	.353	.433	.786	.342	121	-2.3	-1.3	8.6	6.7	4.2	160.3
21	Pete Crow-Armstrong	CHC	134	587	541	136	28	4	24	79	73	33	138	8	33	9	.252	.302	.451	.753	.323	108	3.3	9.7	9.1	11.9	4.1	32.9
22	Jackson Merrill	SDP	134	579	531	143	28	5	22	71	80	39	112	4	7	2	.269	.322	.466	.788	.338	121	0.8	3.6	14.9	5.6	4.1	70.8
23	Corey Seager	TEX	116	515	450	124	23	1	25	72	75	56	93	5	3	1	.276	.359	.499	.858	.363	136	-1.7	-2.1	20.1	2.0	4.1	95.1
24	Trea Turner	PHI	132	609	557	156	28	4	18	86	65	40	110	5	26	5	.280	.332	.442	.774	.335	113	3.9	-1.7	13.6	4.9	4.0	26.8
25	Kyle Tucker	LAD	125	562	477	128	24	2	27	90	78	76	85	4	18	4	.269	.371	.496	.867	.371	140	1.0	-1.8	27.7	-8.0	3.9	13.1
26	Masyn Winn	STL	146	649	589	154	32	2	16	78	68	47	111	6	13	4	.261	.320	.405	.725	.316	104	1.2	4.4	4.5	11.6	3.9	364.8
27	Geraldo Perdomo	ARI	128	557	478	129	25	3	12	71	61	67	74	6	18	5	.270	.364	.412	.776	.342	119	0.7	-0.5	13.2	5.8	3.8	76.8
28	Alex Bregman	CHC	143	635	556	144	28	1	23	80	81	67	89	8	3	1	.260	.345	.439	.783	.341	121	-1.7	-0.6	13.9	1.8	3.8	119.2
29	Nick Kurtz	ATH	132	600	516	133	25	2	38	95	87	73	171	4	5	1	.258	.353	.534	.886	.376	140	-0.4	-0.9	28.2	-12.1	3.8	19.9
30	Zach Neto	LAA	133	599	537	136	29	1	26	83	69	41	143	14	27	8	.252	.320	.456	.775	.333	113	1.8	-1.7	10.7	4.9	3.7	32.3
31	Maikel Garcia	KCR	138	620	558	154	32	4	13	82	62	53	91	2	26	7	.276	.339	.418	.757	.330	109	2.1	3.2	8.7	5.6	3.6	63.2
32	Adley Rutschman	BAL	125	545	475	121	24	2	17	68	67	62	85	3	1	0	.255	.343	.421	.764	.334	116	-1.3	-0.3	8.8	5.3	3.6	148.9
33	Bryce Harper	PHI	135	598	514	140	32	1	27	83	87	75	128	5	9	3	.273	.368	.495	.863	.368	136	-0.2	0.7	25.4	-10.7	3.5	47.9
34	Jeremy Peña	HOU	133	599	547	149	28	2	18	79	64	35	105	10	16	5	.273	.326	.430	.757	.328	111	1.2	-1.6	8.8	5.0	3.5	123.0
35	Wyatt Langford	TEX	126	559	481	123	25	2	22	78	69	67	127	5	19	6	.256	.351	.455	.805	.348	126	1.2	0.5	18.2	-3.2	3.5	37.8
36	Nico Hoerner	CHC	143	602	548	156	28	3	8	67	61	39	58	8	24	6	.285	.339	.392	.731	.321	107	2.2	4.0	7.3	6.5	3.5	101.9
37	Gabriel Moreno	ARI	96	400	355	99	19	1	10	47	48	39	68	3	4	1	.280	.353	.427	.780	.340	117	-0.1	2.0	8.0	9.1	3.4	181.2
38	Bo Bichette	NYM	113	503	462	133	26	1	15	63	64	33	82	4	5	1	.288	.337	.449	.786	.339	121	-0.2	3.1	12.6	3.6	3.4	92.9
39	Manny Machado	SDP	136	591	536	144	26	0	26	75	86	48	115	3	9	3	.268	.329	.465	.795	.340	122	-0.8	-1.8	14.9	-2.1	3.3	37.5
40	Matt Chapman	SFG	135	597	518	123	27	2	22	76	72	67	147	7	9	3	.238	.330	.427	.757	.330	114	-0.5	0.8	9.3	3.1	3.3	163.6
41	Willy Adames	SFG	142	599	525	122	25	2	23	70	72	65	148	4	11	4	.233	.321	.418	.738	.321	108	-0.1	-0.7	5.6	6.4	3.3	133.9
42	Jacob Wilson	ATH	113	478	439	132	27	1	11	58	58	28	39	6	5	2	.301	.348	.445	.794	.344	119	-0.5	-0.2	10.1	5.4	3.3	196.4
43	Matt Olson	ATL	148	651	563	144	29	1	31	89	94	78	157	5	1	0	.256	.349	.479	.828	.356	129	-2.1	1.7	20.1	-10.6	3.2	48.0
