#	Name	Team	G	PA	AB	H	2B	3B	HR	R	RBI	BB	SO	HBP	SB	CS	AVG	OBP	SLG	OPS	wOBA	wRC+	BsR	Fld	Off	Def	WAR	ADP
1	Aaron Judge	NYY	141	624	500	144	25	1	42	107	115	113	153	6	8	2	.288	.421	.594	1.015	.419	175	-0.4	5.5	54.5	-1.4	7.6	2.0
2	Shohei Ohtani	LAD	152	696	592	171	30	5	52	138	138	95	166	5	29	5	.289	.389	.620	1.009	.417	172	2.6	0.0	62.0	-17.5	6.9	1.3
3	Cal Raleigh	SEA	152	621	538	124	22	0	41	82	108	75	168	5	7	2	.230	.329	.500	.829	.349	132	-0.3	9.9	22.9	21.3	6.7	18.4
4	Bobby Witt Jr.	KCR	152	658	598	169	34	9	27	98	93	46	117	7	32	9	.283	.337	.505	.842	.356	127	1.8	7.1	22.3	14.4	6.1	2.8
5	Juan Soto	NYM	152	670	538	146	23	1	37	109	103	124	116	3	23	3	.271	.408	.524	.932	.398	161	2.0	-6.9	50.7	-14.3	6.0	4.3
6	Francisco Lindor	NYM	151	672	596	157	30	1	27	102	90	58	121	12	23	4	.263	.338	.453	.791	.342	123	1.9	5.7	20.1	13.1	5.7	20.0
7	Gunnar Henderson	BAL	152	651	574	156	32	5	28	99	90	67	141	6	21	4	.272	.352	.491	.843	.361	135	1.5	-2.4	28.1	4.8	5.7	13.1
8	Julio Rodríguez	SEA	152	666	609	162	29	2	29	94	98	46	148	9	27	6	.266	.326	.463	.789	.338	124	1.9	6.7	20.7	9.1	5.4	11.0
9	William Contreras	MIL	152	648	566	153	31	1	20	87	82	75	124	3	6	2	.270	.356	.435	.791	.344	122	-0.8	1.5	16.1	13.4	5.2	52.3
10	Fernando Tatis Jr.	SDP	147	644	562	149	28	2	26	101	80	74	126	6	25	5	.265	.356	.461	.816	.353	131	1.8	9.6	25.7	2.5	5.1	15.5
11	Corbin Carroll	ARI	152	661	574	147	27	13	27	112	92	70	140	10	35	6	.256	.344	.490	.834	.356	128	3.5	7.2	25.8	-0.1	4.9	9.5
12	José Ramírez	CLE	148	637	564	153	31	3	26	91	88	63	73	4	28	6	.271	.345	.475	.821	.343	122	2.2	3.7	18.7	6.0	4.8	6.0
13	Pete Crow-Armstrong	CHC	152	614	560	143	28	6	25	91	91	33	151	9	32	8	.255	.304	.461	.765	.327	111	2.3	13.4	10.4	15.7	4.8	29.5
14	Adley Rutschman	BAL	133	559	489	124	28	1	19	65	66	62	89	3	1	0	.254	.338	.431	.770	.334	116	-0.7	6.7	9.9	17.0	4.7	156.5
15	Kyle Tucker	LAD	136	579	496	133	25	2	31	87	96	78	82	2	21	3	.268	.369	.514	.883	.376	144	2.0	0.9	32.2	-5.5	4.7	14.8
16	Alejandro Kirk	TOR	126	476	418	113	17	0	14	43	62	48	56	4	1	0	.270	.347	.411	.758	.331	113	-0.7	13.9	6.7	22.6	4.7	161.9
