#	Name	Team	GS	G	IP	W	L	QS	SV	HLD	H	ER	HR	SO	BB	WHIP	K/9	BB/9	ERA	FIP	WAR	RA9-WAR	ADP	Vol	Skew	Dim
1	Tarik Skubal	DET	29	29	188.0	14	7	18	0	0	145	57	18	228	38	0.97	10.90	1.83	2.72	2.69	5.9	5.8	7.0	3.89	1.08	2.33
2	Paul Skenes	PIT	30	30	185.0	12	8	18	0	0	146	57	15	221	46	1.03	10.77	2.23	2.75	2.66	5.7	5.9	9.6	1.99	0.29	2.64
3	Garrett Crochet	BOS	29	29	183.0	14	8	17	0	0	148	62	20	224	47	1.07	11.04	2.32	3.05	2.93	5.1	5.1	12.2	4.82	1.40	3.06
4	Logan Webb	SFG	30	30	195.1	13	10	17	0	0	188	71	15	187	44	1.19	8.61	2.04	3.29	3.01	5.0	4.5	57.2	4.19	0.71	3.39
5	Cristopher Sánchez	PHI	29	29	188.0	12	8	17	0	0	170	67	16	183	46	1.15	8.74	2.20	3.19	3.14	4.6	4.9	24.8	3.28	0.69	3.50
6	Chris Sale	ATL	26	26	157.0	11	6	14	0	0	130	55	17	193	41	1.09	11.06	2.36	3.18	3.02	3.9	4.1	39.4	3.27	0.24	3.51
7	Yoshinobu Yamamoto	LAD	26	26	161.0	12	7	14	0	0	132	58	16	175	47	1.11	9.78	2.64	3.25	3.21	3.8	3.9	26.6	3.67	0.49	3.62
8	Cole Ragans	KCR	26	26	155.2	10	8	13	0	0	125	59	17	193	55	1.16	11.17	3.19	3.43	3.22	3.8	3.3	48.2	3.42	0.41	3.75
9	Jesús Luzardo	PHI	29	29	176.0	12	9	15	0	0	151	71	22	194	54	1.17	9.91	2.76	3.64	3.53	3.6	3.6	70.6	2.76	0.43	3.65
10	Max Fried	NYY	29	29	180.1	14	8	16	0	0	159	66	17	171	53	1.18	8.54	2.64	3.32	3.43	3.6	4.2	50.0	2.04	2.33	3.45
11	Framber Valdez	DET	29	29	185.0	13	10	16	0	0	166	72	16	173	61	1.23	8.40	2.97	3.49	3.50	3.6	3.7	81.1	3.45	2.57	3.51
12	Dylan Cease	TOR	29	29	169.0	11	9	13	0	0	142	69	21	200	64	1.22	10.65	3.43	3.70	3.58	3.6	2.8	74.8	5.59	1.03	3.57
13	Hunter Brown	HOU	29	29	179.0	12	9	16	0	0	153	69	20	194	58	1.18	9.75	2.92	3.49	3.49	3.6	3.6	36.2	2.61	-0.67	3.63
14	Sonny Gray	BOS	28	28	168.0	12	9	13	0	0	156	71	21	177	44	1.19	9.51	2.34	3.81	3.50	3.5	3.0	138.1	1.96	1.97	3.71
15	Jacob deGrom	TEX	26	26	158.0	10	7	12	0	0	131	60	22	178	36	1.06	10.13	2.05	3.44	3.43	3.5	3.1	50.0	2.62	1.12	3.52
16	Bryan Woo	SEA	29	29	183.1	13	8	15	0	0	152	69	24	185	38	1.04	9.08	1.88	3.41	3.57	3.4	3.2	34.8	3.59	-0.15	3.16
17	Logan Gilbert	SEA	28	28	167.2	11	8	14	0	0	138	64	22	188	37	1.05	10.07	2.00	3.43	3.38	3.3	3.0	37.2	4.44	-1.30	3.37
18	Ranger Suarez	BOS	27	27	164.2	11	9	14	0	0	158	67	17	148	47	1.24	8.11	2.55	3.68	3.60	3.3	3.2	184.0	2.76	-0.91	3.86
19	Joe Ryan	MIN	28	28	168.0	11	10	13	0	0	147	71	25	185	39	1.10	9.91	2.06	3.82	3.72	3.2	2.6	78.5	2.16	-0.60	3.51
20	George Kirby	SEA	28	28	166.0	12	9	14	0	0	152	67	20	162	31	1.11	8.81	1.70	3.62	3.45	3.1	2.4	64.6	3.21	0.82	3.73
21	Kevin Gausman	TOR	29	29	178.1	11	10	14	0	0	163	78	24	175	51	1.20	8.82	2.58	3.91	3.83	3.1	2.5	112.9	2.82	0.32	3.67
