#	Name	Team	GS	G	IP	W	L	QS	SV	HLD	H	ER	HR	SO	BB	WHIP	K/9	BB/9	ERA	FIP	WAR	RA9-WAR	ADP
1	Paul Skenes	PIT	30	30	184.2	14	8	14	0	0	142	58	15	217	46	1.02	10.56	2.23	2.81	2.71	6.1	5.7	10.0
2	Tarik Skubal	DET	30	30	190.0	15	8	15	0	0	144	59	20	229	39	0.96	10.86	1.85	2.80	2.78	6.1	5.8	6.5
3	Garrett Crochet	BOS	29	29	176.2	13	8	14	0	0	142	62	20	214	44	1.05	10.91	2.22	3.15	3.00	5.0	4.6	11.1
4	Logan Webb	SFG	30	30	194.1	14	9	16	0	0	181	73	16	186	46	1.17	8.60	2.13	3.36	3.07	5.0	4.4	63.6
5	Cristopher Sánchez	PHI	29	29	187.1	13	9	15	0	0	168	68	16	183	46	1.15	8.79	2.23	3.29	3.14	4.7	4.4	27.2
6	Bryan Woo	SEA	29	29	182.2	13	8	15	0	0	149	67	24	185	35	1.01	9.13	1.71	3.30	3.46	4.4	4.4	38.7
7	Logan Gilbert	SEA	28	28	164.1	12	8	12	0	0	133	62	22	193	38	1.04	10.55	2.07	3.41	3.28	4.1	3.6	32.8
8	Yoshinobu Yamamoto	LAD	26	26	159.2	13	6	12	0	0	131	58	15	174	49	1.13	9.82	2.74	3.27	3.20	4.0	3.9	26.8
9	Chris Sale	ATL	25	25	153.1	11	8	12	0	0	131	62	17	189	43	1.13	11.09	2.54	3.64	3.15	4.0	3.0	38.2
10	Cole Ragans	KCR	26	26	150.1	11	8	11	0	0	117	56	16	189	53	1.13	11.29	3.19	3.35	3.21	3.9	3.5	45.5
11	Hunter Brown	HOU	29	29	178.0	12	9	14	0	0	149	71	19	193	60	1.18	9.74	3.05	3.58	3.51	3.9	3.7	37.7
12	Jesús Luzardo	PHI	29	29	173.1	11	9	13	0	0	151	72	21	194	55	1.19	10.07	2.84	3.74	3.52	3.9	3.0	75.8
13	George Kirby	SEA	28	28	165.0	11	9	13	0	0	148	67	20	160	33	1.09	8.70	1.79	3.65	3.51	3.8	3.1	69.6
14	Max Fried	NYY	28	28	178.1	13	8	14	0	0	150	65	17	167	57	1.16	8.44	2.85	3.29	3.54	3.8	4.2	54.2
15	Joe Ryan	MIN	28	28	168.1	11	9	13	0	0	140	71	25	185	39	1.06	9.90	2.11	3.77	3.73	3.7	3.0	71.9
16	Dylan Cease	TOR	29	29	172.2	12	9	13	0	0	139	72	23	208	64	1.18	10.83	3.33	3.74	3.65	3.6	3.1	80.0
17	Framber Valdez	DET	28	28	183.2	12	9	15	0	0	165	74	17	166	63	1.24	8.15	3.08	3.63	3.66	3.4	3.5	95.4
18	Hunter Greene	CIN	28	28	165.2	10	10	13	0	0	135	73	25	197	53	1.14	10.68	2.87	3.94	3.85	3.3	2.7	43.3
19	Ranger Suárez	BOS	27	27	164.0	11	9	13	0	0	153	68	17	141	46	1.21	7.76	2.52	3.71	3.70	3.2	3.0	173.9
20	Freddy Peralta	NYM	28	28	164.0	11	9	12	0	0	130	68	22	181	60	1.16	9.94	3.31	3.72	3.91	3.2	3.1	58.7
21	Zack Wheeler	PHI	20	20	126.0	9	6	10	0	0	99	46	15	147	36	1.08	10.53	2.60	3.31	3.34	3.2	3.0	119.3
22	Sonny Gray	BOS	28	28	168.0	11	9	13	0	0	153	74	23	172	46	1.18	9.22	2.45	3.98	3.81	3.2	2.5	133.0
23	Spencer Strider	ATL	26	26	151.2	10	8	12	0	0	135	70	21	178	51	1.23	10.58	3.01	4.14	3.68	3.1	2.0	95.0
24	Jacob deGrom	TEX	25	25	152.0	10	8	12	0	0	121	62	23	166	39	1.06	9.85	2.33	3.69	3.74	3.1	2.9	46.8
25	MacKenzie Gore	TEX	28	28	157.2	10	10	11	0	0	137	70	20	180	59	1.25	10.28	3.37	4.02	3.72	3.0	2.4	176.6
26	Pablo López	MIN	26	26	154.2	9	9	12	0	0	147	70	20	151	40	1.20	8.76	2.31	4.04	3.74	3.0	2.3	140.0
27	Tanner Bibee	CLE	29	29	176.1	10	11	14	0	0	160	79	24	159	51	1.19	8.09	2.59	4.01	4.08	3.0	2.6	185.1
28	Brandon Woodruff	MIL	25	25	143.2	10	8	11	0	0	118	59	21	152	39	1.09	9.50	2.44	3.71	3.83	2.9	2.7	105.1
29	Blake Snell	LAD	24	24	136.0	10	6	10	0	0	112	58	16	162	55	1.23	10.74	3.65	3.82	3.58	2.9	2.3	94.5
30	Matthew Boyd	CHC	27	27	156.1	10	9	12	0	0	138	68	21	143	44	1.16	8.25	2.55	3.89	4.03	2.8	2.5	232.1
