#	Name	Team	GS	G	IP	W	L	QS	SV	HLD	H	ER	HR	SO	BB	WHIP	K/9	BB/9	ERA	FIP	WAR	RA9-WAR	ADP
1	Tarik Skubal	DET	29	29	188.0	15	7	15	0	0	142	55	16	233	37	0.95	11.16	1.77	2.61	2.45	6.8	6.4	7.0
2	Paul Skenes	PIT	30	30	185.0	13	9	14	0	0	150	64	17	221	48	1.07	10.73	2.32	3.09	2.81	5.8	5.0	9.6
3	Logan Webb	SFG	30	30	195.1	14	9	16	0	0	179	71	15	193	48	1.16	8.87	2.20	3.26	3.00	5.2	4.7	57.2
4	Cristopher Sánchez	PHI	29	29	188.0	14	8	15	0	0	165	64	14	192	44	1.12	9.18	2.13	3.08	2.88	5.2	5.1	24.8
5	Garrett Crochet	BOS	29	29	183.0	13	8	15	0	0	152	67	21	218	42	1.06	10.70	2.07	3.27	3.04	5.1	4.5	12.2
6	Chris Sale	ATL	26	26	157.0	11	8	12	0	0	130	62	17	204	42	1.10	11.70	2.42	3.56	2.98	4.5	3.2	39.4
7	Bryan Woo	SEA	29	29	183.1	13	8	15	0	0	151	69	24	189	37	1.03	9.29	1.82	3.40	3.53	4.3	4.1	34.8
8	Max Fried	NYY	29	29	180.1	14	8	14	0	0	152	65	15	174	56	1.15	8.68	2.78	3.25	3.35	4.2	4.4	50.0
9	Dylan Cease	TOR	29	29	169.0	12	8	12	0	0	130	63	19	200	63	1.14	10.66	3.33	3.37	3.38	4.2	3.8	74.8
10	Jesús Luzardo	PHI	29	29	176.0	12	9	14	0	0	153	72	21	195	52	1.17	9.98	2.65	3.68	3.46	4.1	3.2	70.6
11	Cole Ragans	KCR	26	26	155.2	11	8	12	0	0	118	59	20	198	51	1.09	11.41	2.95	3.41	3.37	4.0	3.5	48.2
12	Logan Gilbert	SEA	28	28	167.2	12	9	13	0	0	136	67	25	205	40	1.05	10.98	2.13	3.58	3.45	3.9	3.4	37.2
13	Yoshinobu Yamamoto	LAD	26	26	161.0	13	6	12	0	0	134	60	16	179	52	1.15	9.98	2.89	3.37	3.25	3.9	3.8	26.6
