#	Name	Team	GS	G	IP	W	L	QS	SV	HLD	H	ER	HR	SO	BB	WHIP	K/9	BB/9	ERA	FIP	WAR	RA9-WAR	ADP
1	Tarik Skubal	DET	32	32	201.0	14	7	22	0	0	157	59	19	246	40	0.98	11.01	1.79	2.67	2.61	6.4	6.3	7.0
2	Garrett Crochet	BOS	32	32	195.0	15	8	21	0	0	161	63	19	241	51	1.08	11.11	2.35	2.93	2.82	5.7	5.8	12.2
3	Paul Skenes	PIT	32	32	189.0	13	8	21	0	0	152	60	17	224	50	1.07	10.63	2.37	2.86	2.84	5.4	5.7	9.6
4	Cristopher Sánchez	PHI	32	32	200.0	12	8	20	0	0	182	71	18	195	49	1.16	8.75	2.21	3.18	3.18	4.8	5.2	24.8
5	Logan Webb	SFG	32	32	202.0	14	10	20	0	0	191	72	16	191	45	1.16	8.51	1.99	3.19	3.02	4.5	4.5	57.2
6	Cole Ragans	KCR	29	29	165.0	11	8	17	0	0	135	63	18	203	58	1.17	11.07	3.19	3.44	3.22	4.1	3.7	48.2
7	Chris Sale	ATL	28	28	165.0	11	7	18	0	0	139	58	18	198	44	1.11	10.81	2.38	3.19	3.08	4.0	4.2	39.4
8	Hunter Brown	HOU	31	31	183.0	13	8	19	0	0	156	68	19	198	60	1.18	9.75	2.97	3.33	3.39	3.9	4.0	36.2
9	Max Fried	NYY	31	31	189.0	14	9	19	0	0	170	70	18	176	54	1.18	8.35	2.57	3.34	3.46	3.8	3.8	50.0
10	Jacob deGrom	TEX	29	29	169.0	11	8	17	0	0	143	66	23	188	40	1.08	10.06	2.11	3.50	3.45	3.7	3.3	50.0
11	Dylan Cease	TOR	31	31	173.0	12	9	18	0	0	144	69	20	203	65	1.21	10.53	3.36	3.57	3.52	3.7	3.2	74.8
12	Bryan Woo	SEA	32	32	195.0	13	10	19	0	0	168	75	25	197	42	1.08	9.11	1.94	3.47	3.52	3.7	3.3	34.8
13	Yoshinobu Yamamoto	LAD	26	26	155.0	12	7	16	0	0	130	59	17	166	43	1.11	9.59	2.52	3.40	3.34	3.7	3.5	26.6
14	Sonny Gray	BOS	31	31	178.0	11	10	17	0	0	169	74	21	184	48	1.22	9.33	2.43	3.73	3.53	3.6	3.4	138.1
15	Framber Valdez	DET	31	31	194.0	13	10	18	0	0	179	76	16	175	65	1.26	8.12	3.00	3.54	3.56	3.6	3.6	81.1
16	Jesús Luzardo	PHI	31	31	179.0	12	10	17	0	0	158	74	23	198	56	1.19	9.95	2.80	3.74	3.63	3.5	3.4	70.6
17	Zack Wheeler	PHI	26	26	157.0	11	7	16	0	0	132	58	18	171	41	1.11	9.81	2.36	3.31	3.33	3.5	3.8	110.5
18	Ranger Suarez	BOS	29	29	169.0	12	9	17	0	0	167	68	17	149	49	1.28	7.92	2.62	3.64	3.62	3.4	3.4	184.0
19	George Kirby	SEA	31	31	173.0	12	9	18	0	0	160	68	21	169	33	1.12	8.80	1.71	3.55	3.42	3.2	2.7	64.6
20	Joe Ryan	MIN	29	29	167.0	11	10	16	0	0	147	70	24	182	40	1.12	9.82	2.14	3.80	3.68	3.2	2.8	78.5
21	Shane McClanahan	TBR	24	24	139.0	9	7	15	0	0	120	51	16	151	39	1.14	9.73	2.53	3.32	3.38	3.1	3.1	183.0
22	Aaron Nola	PHI	31	31	180.0	11	10	16	0	0	172	82	26	177	45	1.21	8.85	2.25	4.07	3.89	3.1	2.7	205.5
23	Kevin Gausman	TOR	31	31	182.0	12	10	17	0	0	171	78	24	178	53	1.23	8.79	2.60	3.88	3.83	3.1	2.6	112.9
24	Logan Gilbert	SEA	29	29	164.0	10	7	17	0	0	139	62	21	178	39	1.09	9.78	2.17	3.41	3.45	3.0	2.9	37.2
25	Kyle Bradish	BAL	28	28	146.0	9	6	16	0	0	130	59	16	153	46	1.21	9.43	2.85	3.62	3.56	3.0	2.5	73.0
26	Brandon Woodruff	MIL	28	28	151.0	10	8	15	0	0	133	63	21	160	41	1.15	9.55	2.43	3.78	3.77	3.0	2.7	143.8
27	José Soriano	LAA	31	31	176.0	11	10	17	0	0	162	76	14	165	76	1.36	8.42	3.91	3.86	3.80	3.0	2.8	321.8
28	Nathan Eovaldi	TEX	29	29	173.0	10	10	16	0	0	160	73	22	163	46	1.19	8.47	2.38	3.78	3.79	2.9	2.7	132.5
29	MacKenzie Gore	TEX	29	29	160.0	10	9	16	0	0	139	69	19	180	60	1.25	10.16	3.40	3.89	3.70	2.9	2.3	164.8
30	Drew Rasmussen	TBR	31	31	160.0	10	8	17	0	0	148	65	18	144	42	1.18	8.06	2.33	3.66	3.72	2.9	2.8	132.4
31	Sandy Alcantara	MIA	31	31	188.0	11	11	16	0	0	182	86	21	157	54	1.26	7.52	2.59	4.10	3.90	2.8	2.6	144.6
32	Spencer Strider	ATL	26	26	149.0	11	9	14	0	0	128	63	19	177	51	1.20	10.68	3.09	3.81	3.59	2.7	2.6	124.9
33	Tyler Glasnow	LAD	24	24	134.0	8	6	13	0	0	110	55	17	157	49	1.19	10.54	3.28	3.68	3.57	2.7	2.5	113.7
34	Michael King	SDP	29	29	161.0	10	9	16	0	0	145	68	21	169	58	1.26	9.41	3.26	3.80	3.99	2.7	2.6	129.6
35	Andrew Abbott	CIN	29	29	165.0	9	9	15	0	0	161	78	25	151	51	1.28	8.22	2.76	4.24	4.26	2.7	2.4	221.9
36	Kris Bubic	KCR	24	34	146.0	10	8	12	0	1	137	60	15	142	50	1.28	8.75	3.08	3.73	3.64	2.7	2.6	190.7
37	Freddy Peralta	NYM	29	29	160.0	11	9	16	0	0	135	68	21	175	60	1.22	9.85	3.37	3.83	3.92	2.6	2.5	56.4
38	Tanner Bibee	CLE	31	31	182.0	11	11	17	0	0	170	78	24	171	53	1.23	8.45	2.63	3.88	4.02	2.6	2.7	188.6
39	Nick Pivetta	SDP	29	29	173.0	10	9	16	0	0	151	76	27	188	52	1.18	9.78	2.73	3.96	4.01	2.5	2.4	96.0
40	Jack Flaherty	DET	29	29	160.0	11	10	15	0	0	145	71	21	175	58	1.27	9.87	3.25	4.03	3.89	2.5	2.1	209.0
41	Blake Snell	LAD	23	23	121.0	9	6	13	0	0	97	48	14	150	54	1.24	11.18	4.00	3.55	3.54	2.5	2.6	178.4
42	Brady Singer	CIN	31	31	171.0	10	12	15	0	0	167	83	24	161	55	1.30	8.47	2.91	4.40	4.26	2.4	2.2	388.3
43	Nick Lodolo	CIN	28	28	152.0	9	9	14	0	0	141	70	21	155	42	1.20	9.21	2.46	4.16	4.05	2.4	2.3	127.9
44	Emmet Sheehan	LAD	24	44	146.0	9	7	11	0	1	123	64	20	166	52	1.20	10.22	3.22	3.98	3.88	2.4	2.0	111.2
45	Yusei Kikuchi	LAA	31	31	170.0	9	10	15	0	0	165	80	25	173	63	1.34	9.19	3.32	4.23	4.20	2.3	2.0	506.6
46	Mason Miller	SDP	0	66	66.0	4	2	0	32	2	39	17	6	107	25	0.96	14.62	3.34	2.37	2.28	2.3	2.4	27.9
47	David Peterson	NYM	29	29	166.0	9	8	16	0	0	159	71	16	149	64	1.35	8.07	3.50	3.86	3.89	2.3	2.3	452.0
48	Carlos Rodón	NYY	28	28	155.0	11	9	15	0	0	136	69	21	163	56	1.24	9.45	3.27	4.00	3.98	2.3	2.0	202.3
49	Matthew Boyd	CHC	29	29	167.0	11	10	15	0	0	157	74	23	150	49	1.23	8.09	2.63	3.95	4.10	2.3	2.5	212.8
50	Mitch Keller	PIT	31	31	175.0	10	11	16	0	0	175	82	22	153	53	1.30	7.86	2.74	4.19	4.12	2.3	2.4	518.6
51	Luis Castillo	SEA	31	31	182.0	11	10	17	0	0	170	78	25	170	52	1.22	8.40	2.56	3.86	4.05	2.3	2.0	171.1
52	Eury Pérez	MIA	28	28	135.0	8	9	14	0	0	117	61	19	146	47	1.21	9.73	3.13	4.04	3.93	2.3	2.1	78.7
53	Chase Burns	CIN	19	27	107.0	7	6	10	0	1	94	44	14	123	32	1.18	10.37	2.68	3.75	3.53	2.3	2.0	109.7
54	Shohei Ohtani	LAD	23	23	115.0	8	5	13	0	0	91	45	15	137	40	1.14	10.68	3.13	3.52	3.68	2.2	2.4	1.3
55	Michael Wacha	KCR	29	29	167.0	10	11	14	0	0	167	81	23	132	49	1.30	7.14	2.66	4.36	4.31	2.2	1.9	609.3
56	Steven Matz	TBR	23	35	136.0	7	7	11	0	1	135	60	17	121	38	1.27	7.97	2.51	3.94	3.95	2.2	1.8	713.0
57	Trevor Rogers	BAL	28	28	151.0	9	9	14	0	0	148	69	18	130	49	1.30	7.75	2.91	4.10	4.08	2.2	1.7	146.1
58	Merrill Kelly	ARI	29	29	169.0	11	9	16	0	0	166	75	22	150	51	1.28	7.98	2.69	3.96	4.03	2.2	2.6	284.2
59	Clay Holmes	NYM	28	28	153.0	10	9	15	0	0	151	65	13	127	57	1.36	7.46	3.33	3.85	3.89	2.2	2.1	330.6
60	Jhoan Duran	PHI	0	70	70.0	7	3	0	29	3	55	20	4	85	22	1.10	10.89	2.85	2.62	2.60	2.1	2.4	41.8
61	Reid Detmers	LAA	24	36	146.0	9	9	11	0	1	131	67	19	159	53	1.26	9.78	3.28	4.13	3.89	2.1	1.8	350.5
62	Bailey Ober	MIN	28	28	156.0	8	9	14	0	0	153	74	25	139	37	1.22	8.04	2.12	4.29	4.29	2.1	1.7	494.3
63	Gavin Williams	CLE	31	31	171.0	10	9	17	0	0	151	73	21	175	71	1.30	9.23	3.75	3.86	4.07	2.1	2.5	144.7
64	Joe Musgrove	SDP	26	26	148.0	9	8	14	0	0	141	64	19	136	39	1.21	8.28	2.34	3.89	3.99	2.1	2.2	385.6
65	Griffin Jax	TBR	0	68	68.0	5	3	0	12	12	53	21	6	88	19	1.06	11.63	2.53	2.84	2.60	2.1	1.8	149.2
66	Jeffrey Springs	ATH	29	29	164.0	10	11	14	0	0	164	81	25	141	53	1.32	7.75	2.90	4.41	4.46	2.1	1.8	722.3
67	Luis Severino	ATH	29	29	171.0	9	11	14	0	0	172	85	23	139	54	1.32	7.33	2.84	4.45	4.39	2.0	1.7	642.5
68	Gerrit Cole	NYY	23	23	136.0	8	7	12	0	0	122	59	19	134	39	1.19	8.90	2.61	3.93	4.00	2.0	1.8	232.9
69	Cody Ponce	TOR	23	44	154.0	9	8	11	0	1	145	69	21	150	46	1.24	8.77	2.67	4.04	3.97	2.0	1.6	250.0
70	Reynaldo López	ATL	24	34	143.0	9	8	12	0	1	129	60	17	146	49	1.25	9.19	3.11	3.76	3.75	2.0	2.5	302.9
71	Ryan Pepiot	TBR	28	28	152.0	10	10	14	0	0	133	68	22	155	55	1.24	9.18	3.27	4.04	4.20	2.0	2.1	129.1
72	Zac Gallen	ARI	31	31	182.0	13	11	16	0	0	175	82	23	169	58	1.28	8.35	2.89	4.05	4.02	2.0	2.7	222.7
73	Tatsuya Imai	HOU	26	26	149.0	8	8	13	0	0	138	69	20	155	57	1.31	9.35	3.43	4.15	4.09	2.0	1.8	999.0
74	Brandon Pfaadt	ARI	29	29	162.0	10	10	14	0	0	164	76	22	145	38	1.24	8.05	2.09	4.21	3.95	2.0	2.1	588.6
75	Braxton Ashcraft	PIT	23	45	146.0	9	8	11	0	1	143	62	16	129	44	1.28	7.98	2.72	3.82	3.80	2.0	2.3	239.4
76	Grayson Rodriguez	LAA	21	21	113.0	6	7	11	0	0	104	50	14	119	39	1.26	9.46	3.06	4.00	3.82	2.0	1.6	397.1
77	Casey Mize	DET	28	28	144.0	8	9	14	0	0	143	66	19	128	41	1.28	7.97	2.57	4.11	4.08	2.0	1.7	289.6
78	Brayan Bello	BOS	28	28	152.0	9	10	14	0	0	153	71	17	128	53	1.35	7.58	3.14	4.21	4.11	2.0	2.0	421.4
79	Foster Griffin	WSN	23	35	141.0	7	8	11	0	1	139	64	18	126	40	1.28	8.07	2.59	4.12	4.01	1.9	1.8	999.0
80	Bubba Chandler	PIT	26	38	151.0	8	9	12	0	1	141	69	18	141	59	1.32	8.45	3.50	4.12	4.16	1.9	2.0	150.0
81	Jack Leiter	TEX	28	28	148.0	9	9	14	0	0	133	71	20	142	60	1.30	8.60	3.66	4.28	4.31	1.9	1.4	230.7
82	Chris Bassitt	BAL	29	37	175.0	10	11	14	0	1	175	83	23	158	60	1.34	8.10	3.08	4.27	4.28	1.9	1.5	359.4
83	Shane Smith	CHW	29	29	158.0	8	9	14	0	0	143	74	21	148	60	1.29	8.43	3.41	4.23	4.32	1.9	1.8	245.5
84	Shane Bieber	TOR	19	31	121.0	7	6	10	0	1	116	50	15	111	28	1.19	8.24	2.09	3.70	3.69	1.9	1.9	474.0
85	Nolan McLean	NYM	26	26	145.0	10	8	14	0	0	131	62	16	141	56	1.29	8.73	3.49	3.82	3.97	1.9	2.2	87.3
86	Shane Baz	BAL	28	28	152.0	9	9	14	0	0	142	72	21	149	54	1.29	8.88	3.21	4.25	4.19	1.9	1.5	186.9
87	Shota Imanaga	CHC	26	26	149.0	9	8	13	0	0	141	67	26	136	32	1.17	8.25	1.97	4.06	4.30	1.9	2.1	157.9
88	Taj Bradley	MIN	24	36	143.0	8	8	11	0	1	136	67	19	137	50	1.30	8.60	3.15	4.21	4.10	1.9	1.5	492.5
89	Cade Smith	CLE	0	70	70.0	6	3	0	30	3	53	22	6	90	22	1.07	11.62	2.78	2.85	2.75	1.9	1.9	39.9
90	Cade Cavalli	WSN	26	26	137.0	8	8	13	0	0	134	63	15	118	48	1.32	7.72	3.17	4.15	4.13	1.9	1.8	305.2
91	Hunter Greene	CIN	15	15	83.0	5	4	8	0	0	66	35	11	98	27	1.12	10.62	2.92	3.76	3.73	1.8	1.7	444.3
92	Jacob Misiorowski	MIL	24	32	135.0	9	8	12	0	1	112	60	17	155	61	1.28	10.31	4.08	3.99	4.04	1.8	1.8	114.1
93	Edward Cabrera	CHC	26	26	138.0	9	7	14	0	0	118	60	17	148	55	1.26	9.62	3.60	3.93	3.98	1.8	2.0	174.7
