#	Name	Team	GS	G	IP	W	L	QS	SV	HLD	H	ER	HR	SO	BB	WHIP	K/9	BB/9	ERA	FIP	WAR	RA9-WAR	ADP
1	Tarik Skubal	DET	32	32	202.0	15	7	23	0	0	154	57	19	247	44	0.98	10.97	1.97	2.55	2.71	6.1	6.6	7.0
2	Garrett Crochet	BOS	32	32	199.0	14	8	22	0	0	162	64	20	246	53	1.08	11.09	2.39	2.90	2.87	5.7	5.9	12.2
3	Paul Skenes	PIT	32	32	191.0	14	7	22	0	0	152	58	17	230	51	1.06	10.82	2.42	2.74	2.80	5.5	6.1	9.6
4	Cristopher Sánchez	PHI	32	32	202.0	15	8	21	0	0	177	70	18	206	53	1.13	9.16	2.34	3.09	3.14	5.1	5.5	24.8
5	Logan Webb	SFG	32	32	205.0	13	9	20	0	0	191	74	17	200	48	1.17	8.78	2.11	3.25	3.10	4.6	4.6	57.2
6	Framber Valdez	DET	31	31	194.0	14	8	20	0	0	170	71	15	189	65	1.22	8.80	3.02	3.28	3.36	4.1	4.4	81.1
7	Max Fried	NYY	31	31	188.0	14	9	19	0	0	161	69	18	181	59	1.17	8.68	2.81	3.32	3.51	3.8	3.9	50.0
8	Chris Sale	ATL	28	28	162.0	12	7	18	0	0	130	54	18	198	47	1.09	10.97	2.61	3.02	3.16	3.8	4.5	39.4
9	Bryan Woo	SEA	32	32	197.0	14	9	21	0	0	162	69	24	208	45	1.05	9.46	2.03	3.14	3.44	3.8	4.2	34.8
10	Hunter Brown	HOU	31	31	182.0	12	9	19	0	0	154	68	19	198	61	1.19	9.82	3.02	3.36	3.44	3.8	3.9	36.2
11	Zack Wheeler	PHI	26	26	157.0	12	7	17	0	0	127	55	19	185	43	1.08	10.64	2.48	3.19	3.32	3.7	4.1	110.5
12	Sonny Gray	BOS	31	31	177.0	12	9	18	0	0	166	72	21	188	49	1.21	9.55	2.48	3.68	3.50	3.7	3.4	138.1
13	Jesús Luzardo	PHI	31	31	178.0	13	9	18	0	0	150	69	22	200	57	1.16	10.12	2.88	3.48	3.61	3.6	3.9	70.6
14	Cole Ragans	KCR	29	29	164.0	11	8	18	0	0	135	61	18	196	59	1.18	10.75	3.21	3.37	3.39	3.6	3.8	48.2
15	Yoshinobu Yamamoto	LAD	26	26	155.0	13	7	16	0	0	124	55	16	172	51	1.14	10.04	2.98	3.22	3.36	3.6	3.9	26.6
16	Jacob deGrom	TEX	29	29	170.0	11	8	17	0	0	139	64	22	185	46	1.09	9.78	2.43	3.41	3.58	3.5	3.5	50.0
17	Logan Gilbert	SEA	29	29	164.0	12	7	19	0	0	133	56	20	184	39	1.05	10.10	2.14	3.05	3.30	3.4	3.7	37.2
18	George Kirby	SEA	31	31	172.0	12	8	19	0	0	152	61	20	171	34	1.08	8.93	1.77	3.21	3.39	3.4	3.5	64.6
19	Nathan Eovaldi	TEX	29	29	174.0	11	9	17	0	0	159	71	20	166	48	1.19	8.57	2.50	3.65	3.66	3.3	3.0	132.5
20	Joe Ryan	MIN	29	29	168.0	10	9	17	0	0	146	68	25	183	41	1.11	9.80	2.19	3.62	3.72	3.1	3.1	78.5
21	Dylan Cease	TOR	31	31	172.0	12	9	18	0	0	141	68	21	199	68	1.21	10.44	3.55	3.55	3.75	3.1	3.1	74.8
22	Drew Rasmussen	TBR	31	31	159.0	9	9	18	0	0	141	62	17	148	45	1.17	8.39	2.56	3.54	3.63	3.1	3.1	132.4
23	José Soriano	LAA	31	31	175.0	11	9	18	0	0	162	73	13	162	77	1.37	8.36	3.97	3.73	3.74	3.1	3.1	321.8
24	Ranger Suarez	BOS	29	29	170.0	11	10	15	0	0	169	77	19	154	50	1.29	8.14	2.66	4.06	3.80	2.9	2.4	184.0
25	Kyle Bradish	BAL	28	28	145.0	10	8	16	0	0	128	57	16	157	47	1.20	9.76	2.92	3.52	3.54	2.8	2.7	73.0
26	Tyler Glasnow	LAD	24	24	135.0	11	7	14	0	0	107	51	16	156	50	1.17	10.40	3.37	3.39	3.59	2.8	3.1	113.7
27	Kevin Gausman	TOR	31	31	181.0	12	10	17	0	0	165	79	24	175	57	1.23	8.73	2.81	3.94	4.01	2.8	2.4	112.9
28	Sandy Alcantara	MIA	31	31	187.0	11	10	17	0	0	180	84	21	161	60	1.28	7.78	2.87	4.05	3.97	2.8	2.7	144.6
29	Nick Lodolo	CIN	28	28	150.0	10	9	15	0	0	137	63	21	155	42	1.19	9.24	2.53	3.79	3.89	2.7	2.9	127.9
30	Aaron Nola	PHI	31	31	179.0	12	10	16	0	0	167	81	26	173	51	1.22	8.72	2.55	4.06	4.06	2.7	2.6	205.5
31	Tanner Bibee	CLE	31	31	181.0	10	10	17	0	0	166	77	23	170	54	1.22	8.46	2.67	3.86	3.96	2.7	2.5	188.6
32	Chase Burns	CIN	19	27	109.0	8	3	13	0	1	83	36	13	143	37	1.10	11.80	3.06	2.96	3.19	2.7	3.1	109.7
