#	Name	Team	GS	G	IP	W	L	QS	SV	HLD	H	ER	HR	SO	BB	WHIP	K/9	BB/9	ERA	FIP	WAR	RA9-WAR	ADP
1	Tarik Skubal	DET	32	32	199.2	14	9	23	0	0	159	62	20	243	44	1.02	10.95	1.96	2.79	2.78	5.9	5.8	7.0
2	Paul Skenes	PIT	32	32	194.0	13	9	21	0	0	158	63	18	237	52	1.08	10.99	2.39	2.92	2.78	5.7	5.7	9.6
3	Garrett Crochet	BOS	32	32	193.0	14	9	21	0	0	158	65	19	239	50	1.08	11.14	2.33	3.02	2.84	5.6	5.4	12.2
4	Cristopher Sánchez	PHI	32	32	198.0	14	9	21	0	0	183	69	18	191	51	1.18	8.70	2.30	3.15	3.22	4.7	5.1	24.8
5	Chris Sale	ATL	28	28	168.2	12	8	18	0	0	140	60	18	206	44	1.09	10.98	2.36	3.19	3.04	4.2	4.3	39.4
6	Logan Webb	SFG	32	32	199.1	13	10	21	0	0	194	74	17	187	47	1.21	8.46	2.13	3.32	3.15	4.1	3.9	57.2
7	Cole Ragans	KCR	29	29	172.0	12	9	17	0	0	140	63	19	211	62	1.18	11.02	3.26	3.31	3.30	4.1	4.1	48.2
8	Jacob deGrom	TEX	29	29	174.2	11	9	17	0	0	153	68	24	203	40	1.10	10.44	2.05	3.52	3.34	4.0	3.4	50.0
9	Sonny Gray	BOS	31	31	181.1	12	10	17	0	0	171	74	21	190	48	1.21	9.41	2.38	3.69	3.44	3.9	3.5	138.1
10	Dylan Cease	TOR	31	31	177.2	12	9	17	0	0	149	70	21	209	65	1.21	10.57	3.29	3.54	3.52	3.8	3.2	74.8
11	Framber Valdez	DET	31	31	190.1	12	10	19	0	0	180	73	16	176	62	1.27	8.33	2.93	3.43	3.44	3.7	3.6	81.1
12	Zack Wheeler	PHI	26	26	154.2	11	7	16	0	0	129	55	18	178	39	1.09	10.33	2.27	3.20	3.22	3.7	4.1	110.5
13	Max Fried	NYY	31	31	189.1	13	9	20	0	0	176	69	19	180	54	1.21	8.54	2.58	3.28	3.50	3.7	3.8	50.0
14	Hunter Brown	HOU	31	31	184.1	12	10	18	0	0	165	74	21	200	61	1.23	9.79	2.97	3.63	3.54	3.6	3.3	36.2
15	Jesús Luzardo	PHI	31	31	181.0	12	10	17	0	0	159	72	23	198	57	1.19	9.84	2.85	3.57	3.67	3.5	3.9	70.6
16	Yoshinobu Yamamoto	LAD	26	26	154.1	11	7	15	0	0	139	59	17	163	47	1.21	9.48	2.75	3.45	3.46	3.4	3.3	26.6
17	Nathan Eovaldi	TEX	29	29	174.2	11	9	17	0	0	165	71	21	172	45	1.20	8.85	2.30	3.65	3.58	3.4	3.0	132.5
18	Joe Ryan	MIN	29	29	172.2	11	10	16	0	0	155	73	25	189	42	1.14	9.86	2.18	3.81	3.69	3.3	3.0	78.5
19	Bryan Woo	SEA	32	32	195.0	12	10	19	0	0	176	78	26	196	44	1.13	9.02	2.04	3.60	3.66	3.3	2.9	34.8
20	Ranger Suarez	BOS	29	29	171.2	11	10	16	0	0	170	71	18	153	49	1.28	8.04	2.59	3.74	3.69	3.3	3.2	184.0
21	Drew Rasmussen	TBR	31	31	171.0	11	10	15	0	0	164	71	19	161	45	1.22	8.47	2.37	3.72	3.63	3.2	2.9	132.4
