#	Name	Team	GS	G	IP	W	L	QS	SV	HLD	H	ER	HR	SO	BB	WHIP	K/9	BB/9	ERA	FIP	WAR	RA9-WAR	ADP
1	Tarik Skubal	DET	30	30	184.1	13	5		0	0	141	52	16	227	33	0.94	11.09	1.61	2.54	2.44	6.4	6.2	7.0
2	Garrett Crochet	BOS	29	29	174.2	14	6		0	0	145	55	17	215	46	1.09	11.08	2.37	2.83	2.80	5.1	5.5	12.2
3	Logan Webb	SFG	32	32	200.0	15	9		0	0	183	68	15	190	41	1.12	8.55	1.85	3.06	2.90	5.0	5.2	57.2
4	Paul Skenes	PIT	32	32	180.1	12	7		0	0	143	56	16	205	47	1.05	10.23	2.35	2.80	2.90	5.0	5.7	9.6
5	Cristopher Sánchez	PHI	29	29	178.2	10	6		0	0	161	64	16	175	42	1.14	8.81	2.12	3.22	3.15	4.3	4.6	24.8
6	Yoshinobu Yamamoto	LAD	28	28	169.0	13	7		0	0	130	63	18	182	43	1.02	9.69	2.29	3.36	3.22	4.2	3.9	26.6
7	Hunter Brown	HOU	28	30	166.2	13	6		0	0	135	56	15	180	55	1.14	9.72	2.97	3.02	3.24	3.8	4.3	36.2
8	Max Fried	NYY	28	28	172.0	13	8		0	0	149	65	15	156	49	1.15	8.16	2.56	3.40	3.41	3.7	3.6	50.0
9	Dylan Cease	TOR	30	30	164.2	11	8		0	0	136	66	19	192	63	1.21	10.49	3.44	3.61	3.52	3.6	3.1	74.8
10	Andrew Abbott	CIN	30	30	165.1	9	7		0	0	158	72	20	149	48	1.25	8.11	2.61	3.92	3.85	3.4	3.0	221.9
11	Bryan Woo	SEA	27	28	161.1	11	8		0	0	132	60	19	165	33	1.02	9.21	1.84	3.35	3.38	3.4	3.0	34.8
12	Jesús Luzardo	PHI	28	28	161.0	11	9		0	0	143	70	21	180	49	1.19	10.06	2.74	3.91	3.58	3.2	2.7	70.6
13	Hunter Greene	CIN	24	24	137.0	8	6		0	0	101	55	16	159	43	1.05	10.45	2.82	3.61	3.56	3.2	3.1	444.3
14	Ranger Suarez	BOS	27	28	155.2	12	8		0	0	152	61	14	135	46	1.27	7.80	2.66	3.53	3.53	3.2	3.3	184.0
15	MacKenzie Gore	TEX	29	29	157.0	10	9		0	0	136	69	17	177	59	1.24	10.15	3.38	3.96	3.59	3.0	2.1	164.8
16	Framber Valdez	DET	27	27	173.0	12	9		0	0	156	70	15	152	59	1.24	7.91	3.07	3.64	3.67	3.0	3.1	81.1
17	Joe Ryan	MIN	28	28	154.2	11	9		0	0	134	65	22	168	36	1.10	9.77	2.09	3.78	3.68	3.0	2.6	78.5
18	George Kirby	SEA	27	27	147.2	11	7		0	0	136	59	17	145	28	1.11	8.84	1.71	3.60	3.36	3.0	2.3	64.6
19	Jacob deGrom	TEX	26	26	144.2	10	7		0	0	119	56	20	155	35	1.06	9.64	2.18	3.48	3.56	2.9	2.8	50.0
