#	Name	Team	GS	G	IP	W	L	QS	SV	HLD	H	ER	HR	SO	BB	WHIP	K/9	BB/9	ERA	FIP	WAR	RA9-WAR	ADP
1	Tarik Skubal	DET	32	32	199.0	14	5		0	0	152	56	17	245	36	0.94	11.09	1.61	2.54	2.44	6.9	6.8	7.0
2	Garrett Crochet	BOS	32	32	195.0	16	7		0	0	162	61	19	240	51	1.09	11.08	2.37	2.83	2.80	5.7	6.1	12.2
3	Logan Webb	SFG	32	32	202.0	15	9		0	0	185	69	15	192	42	1.12	8.55	1.85	3.06	2.90	5.1	5.2	57.2
4	Paul Skenes	PIT	32	32	183.0	12	7		0	0	145	57	16	208	48	1.05	10.23	2.35	2.80	2.90	5.0	5.7	9.6
5	Cristopher Sánchez	PHI	32	32	200.0	11	7		0	0	180	72	18	196	47	1.14	8.81	2.12	3.22	3.15	4.9	5.2	24.8
6	Hunter Brown	HOU	31	31	181.0	14	7		0	0	147	61	16	195	60	1.14	9.72	2.97	3.02	3.24	4.2	4.7	36.2
7	Bryan Woo	SEA	32	32	192.0	13	10		0	0	157	72	23	197	39	1.02	9.21	1.84	3.35	3.38	4.0	3.6	34.8
8	Max Fried	NYY	31	31	189.0	14	9		0	0	164	71	16	171	54	1.15	8.16	2.56	3.40	3.41	4.0	4.0	50.0
9	Cole Ragans	KCR	29	29	158.0	10	8		0	0	130	63	16	195	55	1.17	11.12	3.11	3.58	3.13	4.0	3.2	48.2
10	Yoshinobu Yamamoto	LAD	26	26	156.0	12	6		0	0	120	58	17	168	40	1.02	9.69	2.29	3.36	3.22	3.8	3.6	26.6
11	Chris Sale	ATL	28	28	162.0	10	7		0	0	139	57	17	191	43	1.13	10.64	2.39	3.19	3.12	3.8	4.2	39.4
12	Dylan Cease	TOR	31	31	169.0	11	8		0	0	140	68	19	197	65	1.21	10.49	3.44	3.61	3.52	3.7	3.1	74.8
13	Jesús Luzardo	PHI	31	31	177.0	12	10		0	0	157	77	23	198	54	1.19	10.06	2.74	3.91	3.58	3.5	2.9	70.6
14	Ranger Suarez	BOS	29	29	167.0	13	9		0	0	163	65	15	145	49	1.27	7.80	2.66	3.53	3.53	3.5	3.6	184.0
15	Framber Valdez	DET	31	31	197.0	14	10		0	0	178	80	17	173	67	1.24	7.91	3.07	3.64	3.67	3.4	3.5	81.1
16	George Kirby	SEA	31	31	168.0	13	8		0	0	155	67	19	165	32	1.11	8.84	1.71	3.60	3.36	3.4	2.6	64.6
17	Andrew Abbott	CIN	29	29	161.0	9	7		0	0	154	70	19	145	47	1.25	8.11	2.61	3.92	3.85	3.4	2.9	221.9
18	Sonny Gray	BOS	31	31	174.0	11	9		0	0	168	73	22	179	48	1.24	9.25	2.48	3.77	3.62	3.3	3.2	138.1
19	Zack Wheeler	PHI	26	26	159.0	11	6		0	0	136	60	17	164	43	1.13	9.30	2.45	3.43	3.44	3.3	3.7	110.5
20	Jacob deGrom	TEX	29	29	162.0	11	8		0	0	133	63	22	174	39	1.06	9.64	2.18	3.48	3.56	3.3	3.2	50.0
21	Kevin Gausman	TOR	31	31	178.0	12	10		0	0	167	75	23	174	51	1.22	8.78	2.56	3.78	3.76	3.2	2.8	112.9
22	Aaron Nola	PHI	31	31	180.0	12	10		0	0	171	83	26	180	44	1.19	8.98	2.18	4.17	3.81	3.2	2.5	205.5
23	Joe Ryan	MIN	29	29	161.0	11	9		0	0	140	68	23	175	37	1.10	9.77	2.09	3.78	3.68	3.1	2.7	78.5
24	Shane McClanahan	TBR	24	24	136.0	10	6		0	0	117	50	16	143	36	1.12	9.46	2.40	3.29	3.39	3.1	3.2	183.0
25	Kris Bubic	KCR	24	34	142.0	11	8		0	1	131	56	12	142	48	1.26	9.00	3.03	3.53	3.32	3.1	2.9	190.7
26	MacKenzie Gore	TEX	29	29	158.0	10	9		0	0	137	69	17	178	59	1.24	10.15	3.38	3.96	3.59	3.0	2.1	164.8
27	Kyle Bradish	BAL	28	28	138.0	8	4		0	0	118	54	14	143	44	1.18	9.36	2.88	3.51	3.47	3.0	2.7	73.0
28	Sandy Alcantara	MIA	31	31	190.0	12	11		0	0	175	85	20	156	52	1.20	7.41	2.47	4.04	3.80	3.0	2.9	144.6
