,Name,W,W,SO,SO,SVHLD,SVHLD,WHIP,WHIP,ERA,ERA,Team,W_sharpe,W,W,SO_sharpe,SO,SO,WHIP_sharpe,WHIP,WHIP,ERA_sharpe,ERA,ERA,SVHLD_sharpe,SVHLD,SVHLD,Total_sharpe
,,mean,std,mean,std,mean,std,mean,std,mean,std,,,low,high,,low,high,,low,high,,low,high,,low,high,
1,Edwin Diaz (LAD),4.75,1.3887301496588271,89.875,3.1367635732209274,38.875,0.35355339059327484,1.08,0.023904572186687893,3.1225,0.3012711166280061,LAD,0.2520288049380883,0.5838095510235188,8.916190448976481,7.252698352601559,80.46470928033722,99.28529071966278,7.757033674580211,1.1517137165600637,1.0082862834399364,2.637436147967823,4.026313349884019,2.218686650115982,77.42819253992671,37.81433982822018,39.93566017177982,405.0401596797213
2,Carlos Estevez (KCR),3.5,0.5345224838248488,53.875,3.1367635732209274,30.875,0.35355339059327334,1.29125,0.036030740843261785,4.35125,0.22093551095285696,KCR,-1.683745824048261,1.8964325485254536,5.103567451474547,-4.224099040526183,44.46470928033722,63.28529071966278,-0.7166499485468498,1.3993422225297854,1.1831577774702147,-1.965128488372832,5.014056532858572,3.6884434671414295,54.8007755419575,29.81433982822018,31.93566017177982,265.41425440829335
3,Pete Fairbanks (MIA),3.625,1.407885953173359,62.25,3.327375628243462,29.875,0.35355339059327334,1.2037499999999999,0.023867192066576573,3.49625,0.2240495799721889,MIA,-0.5504707240335427,-0.5986578595200767,7.848657859520077,-1.4651186234039757,52.267873115269616,72.23212688473039,2.584240796174171,1.2753515761997296,1.1321484238002701,1.8783044957529984,4.168398739916567,2.824101260083433,51.97234841721131,28.81433982822018,30.93566017177982,262.3086980305463
4,David Bednar (NYY),4.375,1.1877349391654208,76.75,3.5757117173668065,34.625,0.5175491695067661,1.115,0.015118578920369025,3.26625,0.12105931249952288,NYY,-0.021048467276343543,0.8117951825037375,7.9382048174962625,2.691771809581997,66.02286484789958,87.47713515210042,9.94991475196796,1.160355736761107,1.069644263238893,5.376152564354753,3.6294279374985683,2.9030720625014315,44.681744967417394,33.072352491479705,36.177647508520295,241.40551549571535
5,Devin Williams (NYM),4.625,1.407885953173359,83.25,2.866057521105553,34.625,0.5175491695067661,1.1175,0.04200340122282613,3.0525,0.1454795027290295,NYM,0.1598140811710347,0.40134214047992334,8.848657859520078,5.626195525126775,74.65182743668333,91.84817256331667,3.5218236409908164,1.2435102036684782,0.9914897963315216,5.942990710819986,3.4889385081870885,2.616061491812912,44.681744967417394,33.072352491479705,36.177647508520295,238.65954879519558
6,Jeff Hoffman (TOR),4.25,1.2817398889233114,73.75,2.5495097567963936,30.25,0.4629100498862753,1.15875,0.024164614034339005,3.555,0.27469463565410773,TOR,-0.11702842464081883,0.4047803332300659,8.095219666769934,2.598538790580937,66.10147072961082,81.39852927038918,4.4146606801572155,1.231243842103017,1.086256157896983,1.3181303394263009,4.3790839069623235,2.730916093037677,40.50462936504916,28.861269850341174,31.638730149658826,210.73744821076946
7,Emilio Pagan (CIN),3.125,0.3535533905932738,69.75,4.621378891320519,30.625,0.5175491695067657,1.1837499999999999,0.03159452936370926,4.08,0.1652703413026236,CIN,-3.606244584051373,2.0643398282201786,4.185660171779821,0.5680122884817023,55.88586332603845,83.61413667396155,2.5852124742326748,1.2785335880911277,1.088966411908872,-0.9857586387405892,4.575811023907871,3.584188976092129,36.95301070278307,29.072352491479702,32.177647508520295,183.32627505383775
8,Dennis Santana (PIT),3.875,0.8345229603962802,61.375,2.065879266282796,29.625,0.5175491695067657,1.2525,0.06341473465550874,3.85875,0.3396820992802369,PIT,-0.6291019239910339,1.3714311188111594,6.378568881188841,-2.783318509385189,55.17736220115161,67.57263779884839,0.20387330324417807,1.4427442039665261,1.0622557960334738,0.1717291946114837,4.87779629784071,2.8397037021592895,35.020827136624476,28.072352491479702,31.177647508520298,172.06731774760178
9,Raisel Iglesias (ATL),3.875,1.4577379737113252,67.125,4.120939559996344,30.0,0.0,1.14375,0.03814914340921879,3.66375,0.16517847490344661,ATL,-0.3601470287992639,-0.498213921133976,8.248213921133976,0.0,54.76218132001097,79.48781867998903,3.1895492416002122,1.2581974302276564,1.0293025697723437,1.53369458993623,4.1592854247103395,3.16821457528966,30.0,30.0,30.0,154.36309680273718
10,Mason Miller (SDP),3.5,0.7559289460184544,102.25,4.862392121462145,34.75,1.0350983390135313,0.96625,0.037392703642746744,2.38,0.15748015748023603,SDP,-1.1905880899790569,1.232213161944637,5.767786838055363,7.223810651749275,87.66282363561356,116.83717636438644,8.000987954413526,1.0784281109282403,0.8540718890717598,9.760488927160486,2.852440472440708,1.9075595275592918,22.46163395659363,31.644704982959407,37.855295017040596,136.10286922631238
11,Cade Smith (CLE),5.25,1.9820624179302295,89.5,1.8516401995451053,33.75,1.0350983390135313,1.065,0.027255405754769944,2.8737500000000002,0.17328238720160136,CLE,0.4288462322430895,-0.6961872537906881,11.196187253790688,12.083881093906307,83.94507940136468,95.05492059863532,7.353718129604245,1.1467662172643098,0.9832337827356901,6.021000461630824,3.3935971616048044,2.353902838395196,21.495542173514334,30.644704982959407,36.855295017040596,133.36515678495616
12,Daniel Palencia (CHC),4.125,1.246423454758225,73.75,4.891683905218266,34.25,1.0350983390135313,1.225,0.021380899352993976,3.56,0.18516401995451043,CHC,-0.2206312781985769,0.38572963572532526,7.864270364274675,1.3543393498775946,59.0749482843452,88.4250517156548,1.8908732865304028,1.289142698058982,1.1608573019410182,1.9284704092137257,4.115492059863532,3.0045079401364685,21.97858806505398,31.144704982959407,37.355295017040596,114.84599209269305
13,Aroldis Chapman (BOS),4.25,1.164964745021435,81.375,7.0089228844380935,32.25,1.0350983390135309,1.17,0.028284271247461933,2.99,0.18845234335047617,BOS,-0.128759261291837,0.7551057649356947,7.744894235064305,2.0331226687683017,60.34823134668572,102.40176865331428,3.3739094988043874,1.2548528137423858,1.085147186257614,4.9194577093115806,3.555357030051429,2.4246429699485716,20.0464044988954,29.144704982959407,35.35529501704059,110.42975311006944
14,Shawn Armstrong (CLE),3.0,0.7559289460184545,65.5,3.545621041711674,19.0,0.0,1.22375,0.019955307206712927,3.7975,0.20686434478386354,CLE,-1.8520259177452043,0.7322131619446366,5.267786838055363,-0.458311810789435,54.86313687486498,76.13686312513502,2.0885958305142545,1.2836159216201386,1.1638840783798612,0.5780760984125936,4.418093034351591,3.176906965648409,19.0,19.0,19.0,95.3563342003922
15,Grant Taylor (CHW),4.375,1.407885953173359,96.0,16.886173549471092,20.375,0.5175491695067657,1.19375,0.053435541944076244,3.27375,0.2848025631907128,CHW,-0.01775712013010964,0.15134214047992334,8.598657859520078,1.7099788720875975,45.34147935158673,146.6585206484133,1.3414025351064607,1.3540566258322289,1.0334433741677713,2.258874801286591,4.128157689572139,2.4193423104278615,17.148129149657503,18.822352491479702,21.927647508520298,91.03314483663806
16,Graham Ashcraft (CIN),3.875,1.3562026818605375,58.375,6.162965427222749,18.0,0.0,1.275,0.04566962103755939,3.8200000000000003,0.3650440286556443,CIN,-0.38711028006504167,-0.1936080455816125,7.9436080455816125,-1.4197710669201433,39.88610371833175,76.86389628166825,-0.20957976777509615,1.4120088631126781,1.1379911368873217,0.26594965459608777,4.915132085966933,2.7248679140330676,18.0,18.0,18.0,88.2494885398358
17,Hogan Harris (ATH),3.0,0.7559289460184545,66.5,10.056980518170311,21.375,0.5175491695067657,1.3912499999999999,0.02295181287579942,4.33,0.2667797379326781,ATH,-1.8520259177452043,0.7322131619446366,5.267786838055363,-0.0621458895014055,36.32905844548907,96.67094155451093,-5.48198215331807,1.4601054386273982,1.3223945613726016,-1.547781214069812,5.130339213798035,3.5296607862019655,19.080312715816095,19.822352491479702,22.927647508520298,86.45762840444597
18,Clayton Beeter (WSN),2.875,0.6408699444616557,74.5,3.6645015252516204,24.25,0.7071067811865475,1.34125,0.011259916264596036,3.88375,0.16526493881038423,WSN,-2.379577967696746,0.952390166615033,4.797609833384967,2.0125520344799424,63.50649542424514,85.49350457575486,-6.733747106968266,1.3750297487937881,1.307470251206212,0.20169634027201633,4.379544816431153,3.3879551835688475,18.031222920256962,22.128679656440358,26.371320343559642,83.25703790137176
